adapter_accept_calls,adapter_calls,adapter_checkpoint_sha256,atomic_risk_fallback_calls,checkpoint_sha256,coverage,failure_summary_path,fallback_calls,formula,forward_reduction,generation_time_seconds,invalid_risk_fallback_calls,late_exact_calls,logical_score_calls,method,nan_adapter_fallback_calls,nan_risk_fallback_calls,num_atoms,output_path,output_sha256,peak_gpu_memory_bytes,run_summary_path,run_summary_sha256,samples_per_hour,second_forward_avoidance,second_forward_calls,seed,success
0,0,,0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.0,,0,Fe5Sb,0.0,114.39470558403991,0,0,2000,C0,0,0,6,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/C0/67000/generated_crystals.extxyz,cac000ba38ff6f8c4ba01fcd3afb6a78bed5092ce903d7aa2175e51d79c61ca6,273078272,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/C0/67000/run_summary.json,f9d006581bfc9803bf92b918d5c498a53c3da0465fb346bb8380bc5828492a31,31.46998789515888,0.0,1000,67000,True
694,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,6,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.694,,306,Fe4SiRh,0.347,80.07141312095337,0,300,1306,V2_Frozen_Atomic75_Late30,0,0,6,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/V2_Frozen_Atomic75_Late30/67000/generated_crystals.extxyz,4c136a8289b779eb1c23cb30574406620bca3e72030f8cc4bf90571fe31e47ef,272105472,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/V2_Frozen_Atomic75_Late30/67000/run_summary.json,403d4edede4f19f73bd3debadfc00ab4591227c76af42d3f52112e916f9f2556,44.959865945689664,0.694,306,67000,True
0,0,,0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.0,,0,Eu2CuH5O6,0.0,115.36513525806367,0,0,2000,C0,0,0,14,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/C0/67001/generated_crystals.extxyz,658977118474fc1fae5b48ee3781c2a77615a20e25021b8999ced11dab09ac7e,330451968,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/C0/67001/run_summary.json,50c0d933b70b24d316b56458e5980ed116d9b96e0434fc8b9a5d066826ae268c,31.20526831565753,0.0,1000,67001,True
482,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,218,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.482,,518,Cr3Fe3O8,0.241,94.89715817011893,0,300,1518,V2_Frozen_Atomic75_Late30,0,0,14,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/V2_Frozen_Atomic75_Late30/67001/generated_crystals.extxyz,8886557fb101d9a9c992e6cde31a1a4ac9d8006852fd8b8f15f4957096531fc2,329323008,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/V2_Frozen_Atomic75_Late30/67001/run_summary.json,ddabb069cc265b5dd29e37e7a0e452956a067f56720b5a380b874f7c6fe41dad,37.93580407904736,0.482,518,67001,True
0,0,,0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.0,,0,ErSc2Fe9,0.0,115.52811699197628,0,0,2000,C0,0,0,12,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/C0/67002/generated_crystals.extxyz,9e6fcb54fb672059dbe6c6d80aff80aca6022753b137dfcb1610cb2eef486aeb,316996608,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/C0/67002/run_summary.json,867afe4b8e6bb9ab046f90e0679ca6dbb11867df85e92de748f0e1634bf32e3b,31.161245363758756,0.0,1000,67002,True
636,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,64,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.636,,364,RbFe3Cl8,0.318,88.226234247908,0,300,1364,V2_Frozen_Atomic75_Late30,0,0,12,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/V2_Frozen_Atomic75_Late30/67002/generated_crystals.extxyz,aac7543e9eb1a4f573699b5887d913307adf8de2a7a870d86e5d28f7abd904ce,317614080,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/V2_Frozen_Atomic75_Late30/67002/run_summary.json,9c6fef1b3478745f47ccc1519f5227613e814d613a6463e769764cc47a9f2fa9,40.80418971396099,0.636,364,67002,True
0,0,,0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.0,,0,Mn3F8,0.0,121.98554555000737,0,0,2000,C0,0,0,11,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/C0/67003/generated_crystals.extxyz,2611bfef3a75c066c6f63b6acc2f48ba8a1fcee63348134a6ad68dbc6f9b66ad,307223552,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/C0/67003/run_summary.json,81ddabec4e3fe70b607e937fc22a9436e06476381f521aebc02a9479277f1b99,29.51169324011588,0.0,1000,67003,True
680,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,20,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.68,,320,Eu3Cr2O6,0.34,81.74656876688823,0,300,1320,V2_Frozen_Atomic75_Late30,0,0,11,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/V2_Frozen_Atomic75_Late30/67003/generated_crystals.extxyz,fd011a21ec4de94243bc7a1b93936cfece20d4e3c891acafa07a7b9b10017e4f,307239936,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/V2_Frozen_Atomic75_Late30/67003/run_summary.json,6a3df281811eebfd015834a4229ab99a82020cbdfb3941ff4de2f9466f08bb66,44.03854564545581,0.68,320,67003,True
0,0,,0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.0,,0,TbEu2NbO6,0.0,115.21875687781721,0,0,2000,C0,0,0,10,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/C0/67004/generated_crystals.extxyz,650c4ee09b30636c7f34f30a2b0d65883c3ede3482aa3ba6b8b1f5c87a3347eb,303697408,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/C0/67004/run_summary.json,c0857c4630dd7524aa015ac4103c776c488d0df064fa435cfa992013ae983ef4,31.244912699566708,0.0,1000,67004,True
659,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,41,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.659,,341,EuDy2NbO6,0.3295,90.03912242501974,0,300,1341,V2_Frozen_Atomic75_Late30,0,0,10,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/V2_Frozen_Atomic75_Late30/67004/generated_crystals.extxyz,7b77b60b1037e81380acf90ce56f0aa1c4ab53865b2e687d73172e6003e4c87c,300350464,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/V2_Frozen_Atomic75_Late30/67004/run_summary.json,d984658f909585947999d1fafda90dd320f4efc886683dbc631c82fc94f2918c,39.98261981060408,0.659,341,67004,True
0,0,,0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.0,,0,EuZnNi,0.0,114.43687524506822,0,0,2000,C0,0,0,6,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/C0/67005/generated_crystals.extxyz,b063fcb972e4f0d0bed1254349ffdae18b82b6e330068747a55d83ce44fd796f,273389568,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/C0/67005/run_summary.json,7f5cd2cbd23648a1235f8250b5b87319cb207764f230050277e7443bcaa1cadb,31.458391294681437,0.0,1000,67005,True
695,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,5,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.695,,305,EuHoNi,0.3475,81.09797808690928,0,300,1305,V2_Frozen_Atomic75_Late30,0,0,6,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/V2_Frozen_Atomic75_Late30/67005/generated_crystals.extxyz,735ef81ce8872caa35a55ac68662090a1f13ab2258fde630902b349f4f84bf52,272979968,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/V2_Frozen_Atomic75_Late30/67005/run_summary.json,64bd9c944541faafc80a042b8eaab12926a43cca3948076010eb0524c2543794,44.39074912745706,0.695,305,67005,True
0,0,,0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.0,,0,Fe2Co2H,0.0,114.86789319710806,0,0,2000,C0,0,0,10,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/C0/67006/generated_crystals.extxyz,537296ee8dd1328cae1363bdf07a19f1de88c1ae8565960a63d0a9f97d2121f3,300296704,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/C0/67006/run_summary.json,5154cbcf401ae28c198243af5fbcc4425358f99d18ad262565c733c162c3ecea,31.340350204060627,0.0,1000,67006,True
