seed,c0_e_hull,v2_e_hull,delta_e_hull,c0_stable,v2_stable,delta_stable,c0_nus,v2_nus,delta_nus,c0_novel,v2_novel,delta_novel,c0_unique,v2_unique,delta_unique,c0_rmsd,v2_rmsd,delta_rmsd,c0_force_mean,v2_force_mean,delta_force_mean,c0_force_max,v2_force_max,delta_force_max
67000,0.18465718819336008,0.10966365281141499,-0.07499353538194509,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.001488322635524013,0.0017499409357447319,0.00026161830022071886,0.037108480600746556,0.0372756355235376,0.00016715492279104072,0.055430362692767035,0.04984029867604226,-0.005590064016724773
67001,0.1019476524916243,0.21767633789062657,0.11572868539900227,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.03302683545071504,0.02756410369386696,-0.005462731756848079,0.4418507508106722,0.35455213591394,-0.08729861489673219,1.256186271992784,0.5675199821671008,-0.6886662898256833
67002,0.0022786259792777486,0.03022881737060601,0.02795019139132826,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.00829002266857068,0.04409820403706403,0.03580818136849335,0.07111237306180627,0.15654463767021293,0.08543226460840665,0.14843358258943964,0.29201363549871623,0.14358005290927658
67003,0.03236858455965841,0.11025460908380325,0.07788602452414484,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.052971489609665266,0.5747021195810936,0.5217306299714284,0.10880713114723511,0.26768879556511266,0.15888166441787754,0.1571893840022996,0.6876607835680324,0.5304713995657329
67004,0.012547987837926655,0.13398105065892274,0.12143306282099608,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011827364778265135,0.011746765162804648,-8.059961546048704e-05,0.1408149317807826,0.11930283852505216,-0.021512093255730447,0.21840966177732912,0.25001955136874615,0.03160988959141703
67005,0.059860510280922874,0.15937917757161468,0.09951866729069181,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.025956517261275937,0.015992964922626154,-0.009963552338649782,0.08440670660567907,0.04455516554711078,-0.03985154105856829,0.13272365170586325,0.08583220056120022,-0.04689145114466303
67006,0.10789717363281248,0.2719693100292959,0.16407213639648344,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9279310703369863,0.0068417330123982075,-0.9210893373245881,0.14008401734020154,0.08527856936590432,-0.05480544797429722,0.19452519456950815,0.20492093108542742,0.010395736515919268
67007,0.11317735380825766,0.10375509020770224,-0.009422263600555425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.01884280837839486,0.014590103798727223,-0.004252704579667636,0.08113992238607719,0.06159570776646453,-0.019544214619612657,0.11590252520597599,0.140236491100086,0.02433396589411002
67008,0.0393244256953178,0.15499307486523417,0.11566864916991637,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.1320929126339424,0.03612091421660194,-0.09597199841734047,0.15687910364473764,0.1868727562925383,0.029993652647800656,0.3064555842317031,0.5091492333231001,0.20269364909139703
67009,0.3061349577772292,0.2771462341666666,-0.028988723610562595,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.06297395616839487,0.0186528900509045,-0.044321066117490364,0.5955636225454998,0.15458235895173109,-0.44098126359376866,1.6434047846860826,0.2983498075560105,-1.3450549771300722
67010,0.08774679038207989,0.0877339157788084,-1.2874603271484375e-05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.00044407431760105833,0.0008854104254119872,0.0004413361078109289,0.006571581025361971,0.008414539176098593,0.0018429581507366215,0.0065715882715900575,0.008414540592058487,0.0018429523204684297
67011,0.17997285517903805,0.008410003880262806,-0.17156285129877524,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.006421146456052584,0.02004715779336027,0.013626011337307686,0.049439496814225076,0.07190560833185568,0.022466111517630602,0.0906923455225368,0.16247182022810847,0.07177947470557167
67012,0.4482008636009889,0.3738303856161185,-0.0743704779848704,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.00152084559967189,0.17973661260165869,0.1782157670019868,0.014232130145310135,0.7360305938375937,0.7217984636922836,0.041168564541769,2.760164212595843,2.718995648054074
67013,0.20502395310872323,0.026910204105469404,-0.17811374900325383,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,1.0,1.0,0.0,0.07241909549602292,0.002023500770394711,-0.0703955947256282,0.23119051478269664,0.03530505056838898,-0.19588546421430766,0.5794678664975337,0.06147730673375583,-0.5179905597637778
67014,0.025511288090278583,0.018987987144098106,-0.006523300946180477,1.0,1.0,0.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,1.0,0.0,0.012121806271977457,0.001885251696812112,-0.010236554575165344,0.06110156533397301,0.013910469739657138,-0.04719109559431588,0.14358699287230858,0.024286182487453643,-0.11930081038485493
67015,0.09208983898220868,0.03087676138129325,-0.06121307760091543,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.016144247317865044,0.0899635629180998,0.07381931560023476,0.09143215178794094,0.11665580840860529,0.02522365662066435,0.20357477041747263,0.2188749828555381,0.01530021243806548
67016,0.13617302524658204,0.09737946041870238,-0.038793564827879656,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,1.0,1.0,0.0,0.04656635706168636,0.003519947339789149,-0.04304640972189721,0.07905856899658709,0.04933260093072697,-0.029725968065860114,0.10359878469062365,0.09537378109073635,-0.008225003599887301
67017,0.046405739645996036,0.02651993227294991,-0.019885807373046127,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.005221475797390164,0.008532026293706096,0.0033105504963159317,0.09339137505817124,0.07620112712285157,-0.017190247935319675,0.1705568524542878,0.1238875963878039,-0.04666925606648391
67018,0.2753630709258381,0.1363673496272808,-0.1389957212985573,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.001309982193077973,0.0635986920740914,0.06228870988101343,0.020552934523504297,0.29505908173368933,0.274506147210185,0.02623010026379236,0.6316899601014543,0.6054598598376619
