method,seed,success,formula,num_atoms,relaxation_steps,final_energy_ev,force_mean,force_max,e_hull,stable,nus,novel,unique,rmsd
C0,67000,True,Fe5Sb,6,4,-45.413169860839844,0.037108480600746556,0.055430362692767035,0.18465718819336008,0.0,0.0,1.0,1.0,0.001488322635524013
V2_Frozen_Atomic75_Late30,67000,True,Fe4RhSi,6,6,-47.766929626464844,0.0372756355235376,0.04984029867604226,0.10966365281141499,0.0,0.0,1.0,1.0,0.0017499409357447319
C0,67001,True,H5CuEu2O6,14,45,-92.88627624511719,0.4418507508106722,1.256186271992784,0.1019476524916243,0.0,0.0,1.0,1.0,0.03302683545071504
V2_Frozen_Atomic75_Late30,67001,True,Cr3Fe3O8,14,34,-101.29669189453125,0.35455213591394,0.5675199821671008,0.21767633789062657,0.0,0.0,1.0,1.0,0.02756410369386696
C0,67002,True,ErFe9Sc2,12,29,-95.47742462158203,0.07111237306180627,0.14843358258943964,0.0022786259792777486,1.0,1.0,1.0,1.0,0.00829002266857068
V2_Frozen_Atomic75_Late30,67002,True,Cl8Fe3Rb,12,29,-52.556148529052734,0.15654463767021293,0.29201363549871623,0.03022881737060601,1.0,1.0,1.0,1.0,0.04409820403706403
C0,67003,True,F8Mn3,11,56,-64.75970458984375,0.10880713114723511,0.1571893840022996,0.03236858455965841,1.0,1.0,1.0,1.0,0.052971489609665266
V2_Frozen_Atomic75_Late30,67003,True,Cr2Eu3O6,11,516,-101.27835083007812,0.26768879556511266,0.6876607835680324,0.11025460908380325,0.0,0.0,1.0,1.0,0.5747021195810936
C0,67004,True,Eu2NbO6Tb,10,14,-95.2552719116211,0.1408149317807826,0.21840966177732912,0.012547987837926655,1.0,0.0,0.0,1.0,0.011827364778265135
V2_Frozen_Atomic75_Late30,67004,True,Dy2EuNbO6,10,33,-89.6259994506836,0.11930283852505216,0.25001955136874615,0.13398105065892274,0.0,0.0,1.0,1.0,0.011746765162804648
C0,67005,True,Eu2Ni2Zn2,6,22,-35.96928787231445,0.08440670660567907,0.13272365170586325,0.059860510280922874,1.0,1.0,1.0,1.0,0.025956517261275937
V2_Frozen_Atomic75_Late30,67005,True,Eu2Ho2Ni2,6,16,-42.24836730957031,0.04455516554711078,0.08583220056120022,0.15937917757161468,0.0,0.0,1.0,1.0,0.015992964922626154
C0,67006,True,H2Co4Fe4,10,57,-68.39108276367188,0.14008401734020154,0.19452519456950815,0.10789717363281248,0.0,0.0,1.0,1.0,0.9279310703369863
V2_Frozen_Atomic75_Late30,67006,True,Co3Fe4GeSi2,10,18,-71.24524688720703,0.08527856936590432,0.20492093108542742,0.2719693100292959,0.0,0.0,1.0,1.0,0.0068417330123982075
C0,67007,True,Fe6Mn2,8,25,-68.23873901367188,0.08113992238607719,0.11590252520597599,0.11317735380825766,0.0,0.0,0.0,1.0,0.01884280837839486
V2_Frozen_Atomic75_Late30,67007,True,Fe4Mn2Ni2,8,22,-63.24265670776367,0.06159570776646453,0.140236491100086,0.10375509020770224,0.0,0.0,0.0,1.0,0.014590103798727223
C0,67008,True,As3Eu5O2,10,105,-93.22677612304688,0.15687910364473764,0.3064555842317031,0.0393244256953178,1.0,1.0,1.0,1.0,0.1320929126339424
V2_Frozen_Atomic75_Late30,67008,True,As3Eu2MnPt4,10,46,-74.75955963134766,0.1868727562925383,0.5091492333231001,0.15499307486523417,0.0,0.0,1.0,1.0,0.03612091421660194
C0,67009,True,F2Fe4NiO5,12,76,-70.51424407958984,0.5955636225454998,1.6434047846860826,0.3061349577772292,0.0,0.0,1.0,1.0,0.06297395616839487
