seed,c0_time_seconds,v2_time_seconds,paired_speedup_c0_over_v2,v2_logical_score_calls,v2_second_forward_calls,v2_adapter_calls,v2_fallback_calls,v2_coverage,v2_forward_reduction,c0_peak_gpu_memory_bytes,v2_peak_gpu_memory_bytes
67000,120.81556923687458,83.64614253095351,1.4443651025768034,1306,306,700,306,0.694,0.347,273078272,272105472
67001,122.48173144110478,93.10029734903947,1.3155890467450635,1518,518,700,518,0.482,0.241,330451968,329323008
67002,114.70759335090406,86.84427940403111,1.3208422493465886,1364,364,700,364,0.636,0.318,316996608,317614080
67003,115.222494043177,80.20571871707216,1.4365870150684323,1320,320,700,320,0.68,0.34,307223552,307239936
67004,114.46396068087779,87.56256575114094,1.3072248363095313,1341,341,700,341,0.659,0.3295,303697408,300350464
67005,116.9487353968434,78.7341767589096,1.485361760432828,1305,305,700,305,0.695,0.3475,273389568,272979968
67006,120.05445334804244,92.0966207741294,1.3035706667509628,1411,411,700,411,0.589,0.2945,300296704,303387136
67007,112.07977010100149,82.98575835907832,1.3505904183707493,1368,368,700,368,0.632,0.316,286703616,286410240
67008,114.3024142710492,92.12197916489094,1.2407724552514994,1400,400,700,400,0.6,0.3,303449600,304758784
67009,114.02023615688086,109.16815413185395,1.0444459472967411,1697,697,700,697,0.303,0.1515,317280768,317329920
67010,112.1350279378239,81.6662282680627,1.3730893456931779,1347,347,700,347,0.653,0.3265,242691584,242714624
67011,112.41882777097635,89.92611899902113,1.250124313406654,1494,494,700,494,0.506,0.253,316143104,315144192
67012,111.9019548529759,85.74770949594676,1.3050139241126368,1305,305,700,305,0.695,0.3475,286331904,287112704
67013,118.75862796301953,82.31090962607414,1.4428054373657369,1341,341,700,341,0.659,0.3295,301749760,300325888
67014,118.24339752504602,102.19506877101958,1.1570362342040659,1546,546,700,546,0.454,0.227,293748224,293667328
67015,126.43716532713734,89.23834885796532,1.4168478792495238,1448,448,700,448,0.552,0.276,294888960,294330880
