method,n,successful_n,seed_start,seed_end,generation_success_rate,elapsed_seconds_total,attempted_elapsed_seconds_total,elapsed_seconds_mean,elapsed_seconds_std,time_per_sample_mean,time_per_sample_std,samples_per_hour_mean,samples_per_hour_std,mattergen_score_calls_mean,mattergen_score_calls_std,saved_score_calls_mean,saved_score_calls_std,adapter_calls_mean,adapter_calls_std,fallback_calls_mean,fallback_calls_std,adapter_coverage_mean,adapter_coverage_std,forward_reduction_mean,forward_reduction_std,peak_allocated_bytes_mean,peak_allocated_bytes_std,adapter_seconds_mean,adapter_seconds_std,exact_fallback_seconds_mean,exact_fallback_seconds_std,paired_speedup_mean,paired_speedup_std,paired_speedup_n,n_input,pre_relaxation_max_force_max,pre_relaxation_max_force_mean,pre_relaxation_max_force_median,pre_relaxation_max_force_p95,relaxation_batch_error,relaxation_failures,relaxation_mode,relaxation_seconds,relaxation_seconds_per_structure,relaxation_steps_max,relaxation_steps_mean,relaxation_success_rate,avg_energy_above_hull_per_atom,avg_rmsd_from_relaxation,frac_novel_structures,frac_novel_unique_stable_structures,frac_stable_structures,frac_unique_structures,source_summary,quality_n
A0,32,32,63000,63031,1.0,3727.419650439173,3727.419650439173,116.48186407622416,2.5189167325021438,116.48186407622416,2.5189167325021438,30.91976645105115,0.652790838670021,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295281616.0,33501377.80708605,0.0,0.0,0.0,0.0,0.9956904254119465,0.032726477720287035,32,32,1.3197879791259766,0.22780570991017157,0.13222231715917587,0.76473796069622,,[],batch,40.37962915422395,1.2618634110694984,592,58.34375,1.0,0.09838617870153255,0.113913249042594,0.5625,0.21875,0.59375,0.96875,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v1/relaxation/stage_c_quality/A0/quality_summary.json,32
A0+Adapter+Fallback@75,32,32,63000,63031,1.0,2601.004665480694,2601.004665480694,81.28139579627168,5.595569390058495,81.28139579627168,5.595569390058495,44.48314574257,2.898222308608456,1242.125,107.31495701904744,757.875,107.31495701904744,1000.0,0.0,242.125,107.31495701904744,0.757875,0.10731495701904743,0.3789375,0.053657478509523716,294576096.0,33233267.44592501,4.569158024001808,0.2845262651829231,13.251810519206629,5.725106191281918,1.4330418148725586,0.10764282995330544,32,32,9.240060806274414,0.5460763243463589,0.14070510119199753,1.176782795786857,,[],batch,18.067898720037192,0.5646218350011623,383,50.0625,1.0,0.1217938926807389,0.07224844293000536,0.59375,0.21875,0.5625,1.0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v1/relaxation/stage_c_quality/A0_plus_Adapter_plus_Fallback@75/quality_summary.json,32
Adapter,32,32,63000,63031,1.0,2160.4274495409336,2160.4274495409336,67.51335779815417,1.9057772888000604,67.51335779815417,1.9057772888000604,53.36334917531352,1.484167541678707,1000.0,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,294804736.0,33410824.05846302,4.551683098958165,0.2433058868881035,0.0,0.0,1.7187344741042185,0.07333456856572974,32,32,2.2150237560272217,0.6496163853444159,0.37753625214099884,2.1042335629463196,,[],batch,40.84675420098938,1.2764610687809181,584,71.125,1.0,0.18520659517983504,0.08539118641930718,0.75,0.25,0.4375,1.0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v1/relaxation/stage_c_quality/Adapter/quality_summary.json,32
Adapter+Fallback@25,32,32,63000,63031,1.0,3347.915739543503,3347.915739543503,104.62236686073447,11.831868653351227,104.62236686073447,11.831868653351227,34.84486733410358,3.9993450101334442,1669.96875,200.69660690752482,330.03125,200.69660690752482,1000.0,0.0,669.96875,200.69660690752482,0.33003125,0.20069660690752483,0.165015625,0.10034830345376242,294891680.0,33613180.69284159,4.614875913772266,0.2762801137240208,36.69013113523397,11.158448741953475,1.123030863022579,0.13906631853601023,32,32,0.9996299147605896,0.24039154569618404,0.1387353464961052,0.7862715005874633,,[],batch,36.760319837834686,1.148759994932334,577,47.09375,1.0,0.09024891977573746,0.03697582948427361,0.71875,0.375,0.65625,1.0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v1/relaxation/stage_c_quality/Adapter_plus_Fallback@25/quality_summary.json,32
Adapter+Fallback@50,32,32,63000,63031,1.0,2969.077891958179,2969.077891958179,92.78368412369309,11.018762988747252,92.78368412369309,11.018762988747252,39.293717432135765,4.325222988051811,1460.09375,183.5612509842511,539.90625,183.5612509842511,1000.0,0.0,460.09375,183.5612509842511,0.53990625,0.1835612509842511,0.269953125,0.09178062549212555,294730048.0,33651570.6395579,4.579846044362057,0.23780056679124226,25.196825031918706,10.290772884363044,1.2665395913422917,0.1525658849972414,32,32,1.917966604232788,0.29457014887884725,0.1452382728457451,1.1431792557239533,,[],batch,30.704556381097063,0.9595173869092832,457,44.0625,1.0,0.0814515546545799,0.049324625887539664,0.78125,0.53125,0.75,1.0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v1/relaxation/stage_c_quality/Adapter_plus_Fallback@50/quality_summary.json,32
Adapter+Fallback@75,32,32,63000,63031,1.0,2593.381514734123,2593.381514734123,81.04317233544134,6.12235341083134,81.04317233544134,6.12235341083134,44.65548705346651,3.21858262608331,1239.125,95.13309861248557,760.875,95.13309861248557,1000.0,0.0,239.125,95.13309861248557,0.760875,0.09513309861248556,0.3804375,0.04756654930624278,294714832.0,33129369.674262155,4.629032389864733,0.25849071484745867,13.186989337445993,5.3338923068364785,1.4392468920533794,0.1251198716031838,32,32,1.6845062971115112,0.32037888359627686,0.18376612663269043,1.0298142790794371,,[],batch,32.72468776581809,1.0226464926818153,417,55.09375,1.0,0.23195358738876254,0.057794264032214514,0.71875,0.28125,0.53125,1.0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v1/relaxation/stage_c_quality/Adapter_plus_Fallback@75/quality_summary.json,32
Adapter+Fallback@90,32,32,63000,63031,1.0,2334.0716713245492,2334.0716713245492,72.93973972889216,3.1175448556016545,72.93973972889216,3.1175448556016545,49.441244796426886,2.064980563904502,1088.625,25.993485536237355,911.375,25.993485536237355,1000.0,0.0,88.625,25.993485536237355,0.911375,0.02599348553623737,0.4556875,0.012996742768118685,294729152.0,33264654.251291092,4.618764699625899,0.26199305722612637,4.901941789576085,1.4955355279724682,1.5928331394664978,0.09175082913726111,32,32,1.1910665035247803,0.3317600723239593,0.16990108042955399,0.9937951683998105,,[],batch,8.824563775910065,0.2757676179971895,96,34.71875,1.0,0.17567294251446353,0.033989728372507126,0.75,0.25,0.4375,1.0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v1/relaxation/stage_c_quality/Adapter_plus_Fallback@90/quality_summary.json,32
C0,32,32,63000,63031,1.0,3709.931024417514,3709.931024417514,115.93534451304731,3.2201642658052743,115.93534451304731,3.2201642658052743,31.074230756469756,0.8344286156976194,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295300144.0,34160265.416090466,0.0,0.0,0.0,0.0,1.0,0.0,32,32,1.4914679527282715,0.24578371850657277,0.10580513626337051,0.7019333839416502,,[],batch,18.0864286639262,0.5652008957476937,127,36.15625,1.0,0.08861566668089649,0.02270830039206479,0.75,0.40625,0.59375,1.0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v1/relaxation/stage_c_quality/C0/quality_summary.json,32
Reuse,32,32,63000,63031,1.0,2011.3172226964962,2011.3172226964962,62.853663209265505,2.1227994005952207,62.853663209265505,2.1227994005952207,57.33860090927713,1.9169819992234167,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,294746608.0,33604322.500429265,0.0,0.0,0.0,0.0,1.8466683596122087,0.08337192471217739,32,32,4.291481018066406,0.5790937625570223,0.37752610445022583,1.3535534024238582,,[],batch,39.3197447268758,1.2287420227148687,594,56.84375,1.0,0.1499841355724454,0.0805708369050629,0.65625,0.3125,0.59375,1.0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v1/relaxation/stage_c_quality/Reuse/quality_summary.json,32
Skip,32,24,63000,63031,0.75,1431.3150578986388,2325.8201288995333,59.63812741244328,1.7435233154562977,59.63812741244328,1.7435233154562977,60.412270905429715,1.721641272559884,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,296236522.6666667,34737696.13087128,0.0,0.0,0.0,0.0,1.9456250758379399,0.08218509677275737,24,24,68.82566833496094,3.3207737466242784,0.1377415843307972,4.171039962768547,,[],batch,89.18494413397275,3.716039338915531,1846,172.66666666666666,1.0,0.09952329426758895,2.5948421046443397,0.5416666666666666,0.25,0.6666666666666666,1.0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v1/relaxation/stage_c_quality/Skip/quality_summary.json,24
