method,n,n_input,pre_relaxation_max_force_max,pre_relaxation_max_force_mean,pre_relaxation_max_force_median,pre_relaxation_max_force_p95,relaxation_batch_error,relaxation_failures,relaxation_mode,relaxation_seconds,relaxation_seconds_per_structure,relaxation_steps_max,relaxation_steps_mean,relaxation_success_rate,avg_energy_above_hull_per_atom,avg_rmsd_from_relaxation,frac_novel_structures,frac_novel_unique_stable_structures,frac_stable_structures,frac_unique_structures,source_summary
A0,32,32,1.3197879791259766,0.22780570991017157,0.13222231715917587,0.76473796069622,,[],batch,40.37962915422395,1.2618634110694984,592,58.34375,1.0,0.09838617870153255,0.113913249042594,0.5625,0.21875,0.59375,0.96875,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v1/relaxation/stage_c_quality/A0/quality_summary.json
A0+Adapter+Fallback@75,32,32,9.240060806274414,0.5460763243463589,0.14070510119199753,1.176782795786857,,[],batch,18.067898720037192,0.5646218350011623,383,50.0625,1.0,0.1217938926807389,0.07224844293000536,0.59375,0.21875,0.5625,1.0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v1/relaxation/stage_c_quality/A0_plus_Adapter_plus_Fallback@75/quality_summary.json
Adapter,32,32,2.2150237560272217,0.6496163853444159,0.37753625214099884,2.1042335629463196,,[],batch,40.84675420098938,1.2764610687809181,584,71.125,1.0,0.18520659517983504,0.08539118641930718,0.75,0.25,0.4375,1.0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v1/relaxation/stage_c_quality/Adapter/quality_summary.json
Adapter+Fallback@25,32,32,0.9996299147605896,0.24039154569618404,0.1387353464961052,0.7862715005874633,,[],batch,36.760319837834686,1.148759994932334,577,47.09375,1.0,0.09024891977573746,0.03697582948427361,0.71875,0.375,0.65625,1.0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v1/relaxation/stage_c_quality/Adapter_plus_Fallback@25/quality_summary.json
Adapter+Fallback@50,32,32,1.917966604232788,0.29457014887884725,0.1452382728457451,1.1431792557239533,,[],batch,30.704556381097063,0.9595173869092832,457,44.0625,1.0,0.0814515546545799,0.049324625887539664,0.78125,0.53125,0.75,1.0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v1/relaxation/stage_c_quality/Adapter_plus_Fallback@50/quality_summary.json
Adapter+Fallback@75,32,32,1.6845062971115112,0.32037888359627686,0.18376612663269043,1.0298142790794371,,[],batch,32.72468776581809,1.0226464926818153,417,55.09375,1.0,0.23195358738876254,0.057794264032214514,0.71875,0.28125,0.53125,1.0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v1/relaxation/stage_c_quality/Adapter_plus_Fallback@75/quality_summary.json
Adapter+Fallback@90,32,32,1.1910665035247803,0.3317600723239593,0.16990108042955399,0.9937951683998105,,[],batch,8.824563775910065,0.2757676179971895,96,34.71875,1.0,0.17567294251446353,0.033989728372507126,0.75,0.25,0.4375,1.0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v1/relaxation/stage_c_quality/Adapter_plus_Fallback@90/quality_summary.json
C0,32,32,1.4914679527282715,0.24578371850657277,0.10580513626337051,0.7019333839416502,,[],batch,18.0864286639262,0.5652008957476937,127,36.15625,1.0,0.08861566668089649,0.02270830039206479,0.75,0.40625,0.59375,1.0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v1/relaxation/stage_c_quality/C0/quality_summary.json
Reuse,32,32,4.291481018066406,0.5790937625570223,0.37752610445022583,1.3535534024238582,,[],batch,39.3197447268758,1.2287420227148687,594,56.84375,1.0,0.1499841355724454,0.0805708369050629,0.65625,0.3125,0.59375,1.0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v1/relaxation/stage_c_quality/Reuse/quality_summary.json
Skip,24,24,68.82566833496094,3.3207737466242784,0.1377415843307972,4.171039962768547,,[],batch,89.18494413397275,3.716039338915531,1846,172.66666666666666,1.0,0.09952329426758895,2.5948421046443397,0.5416666666666666,0.25,0.6666666666666666,1.0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v1/relaxation/stage_c_quality/Skip/quality_summary.json
