method,baseline,metric,n_paired,mean,median,std,baseline_mean,paired_delta_mean,paired_delta_median,paired_delta_std,paired_delta_bootstrap95_low,paired_delta_bootstrap95_high,bootstrap_samples,bootstrap_seed
C0,C0,e_hull,64,0.11250877161851708,0.09168018087891383,0.0903695756439275,0.11250877161851708,0.0,0.0,0.0,0.0,0.0,10000,20260905
C0,C0,stable,64,0.5625,1.0,0.5,0.5625,0.0,0.0,0.0,0.0,0.0,10000,20260905
C0,C0,nus,64,0.3125,0.0,0.46717659215115676,0.3125,0.0,0.0,0.0,0.0,0.0,10000,20260905
C0,C0,novel,64,0.734375,1.0,0.4451569190068627,0.734375,0.0,0.0,0.0,0.0,0.0,10000,20260905
C0,C0,unique,64,0.984375,1.0,0.125,0.984375,0.0,0.0,0.0,0.0,0.0,10000,20260905
C0,C0,rmsd,64,0.06802688040595395,0.019489138421435195,0.19949959705202053,0.06802688040595395,0.0,0.0,0.0,0.0,0.0,10000,20260905
C0,C0,pre_relaxation_max_force,64,0.3105029794460279,0.18760208785533905,0.3865104524937453,0.3105029794460279,0.0,0.0,0.0,0.0,0.0,10000,20260905
V1_Fallback50,C0,e_hull,64,0.10922235433962431,0.08938002656879362,0.08032666831922541,0.11250877161851708,-0.00328641727889277,0.0004949157599858367,0.1109867186868316,-0.030249448304105163,0.023130602154945477,10000,20260905
V1_Fallback50,C0,stable,64,0.515625,1.0,0.503706499953334,0.5625,-0.046875,0.0,0.6023680122833733,-0.1875,0.109375,10000,20260905
V1_Fallback50,C0,nus,64,0.28125,0.0,0.4531634835874829,0.3125,-0.03125,0.0,0.5335936864527374,-0.15625,0.09375,10000,20260905
V1_Fallback50,C0,novel,64,0.71875,1.0,0.4531634835874829,0.734375,-0.015625,0.0,0.5192237032034015,-0.140625,0.109375,10000,20260905
V1_Fallback50,C0,unique,64,1.0,1.0,0.0,0.984375,0.015625,0.0,0.125,0.0,0.046875,10000,20260905
V1_Fallback50,C0,rmsd,64,0.06474115272230994,0.016425144427005496,0.16332193681953144,0.06802688040595395,-0.0032857276836440186,-0.0025150373525053117,0.26117062752625314,-0.06982063622113667,0.05894642360194529,10000,20260905
V1_Fallback50,C0,pre_relaxation_max_force,64,0.26975979486087454,0.16179798543453217,0.2831351218626361,0.3105029794460279,-0.04074318458515336,-0.017959170043468475,0.36582032646026147,-0.13278021714804708,0.041414508685193134,10000,20260905
V2_Frozen_Atomic75_Late30,C0,e_hull,64,0.13251067350755508,0.10095417000651219,0.1190297646758496,0.11250877161851708,0.020001901889038005,-0.0033774002391888658,0.13404156123468441,-0.01256923597819806,0.051707464635061956,10000,20260905
V2_Frozen_Atomic75_Late30,C0,stable,64,0.5,0.5,0.5039526306789697,0.5625,-0.0625,0.0,0.6636838030841121,-0.21875,0.09375,10000,20260905
V2_Frozen_Atomic75_Late30,C0,nus,64,0.265625,0.0,0.4451569190068627,0.3125,-0.046875,0.0,0.6529466178136507,-0.203125,0.109375,10000,20260905
V2_Frozen_Atomic75_Late30,C0,novel,64,0.75,1.0,0.4364357804719847,0.734375,0.015625,0.0,0.5771354411750481,-0.125,0.15625,10000,20260905
V2_Frozen_Atomic75_Late30,C0,unique,64,0.984375,1.0,0.125,0.984375,0.0,0.0,0.1781741612749496,-0.046875,0.046875,10000,20260905
V2_Frozen_Atomic75_Late30,C0,rmsd,64,0.08092776567426505,0.026938971996463723,0.20929976968582611,0.06802688040595395,0.012900885268311086,0.0008873993665403147,0.2911293868734278,-0.05744853206789501,0.08622666758219633,10000,20260905
V2_Frozen_Atomic75_Late30,C0,pre_relaxation_max_force,64,0.34518277030292666,0.22084205597639084,0.43755664332890554,0.3105029794460279,0.03467979085689876,0.00032374029979109764,0.5496221363464846,-0.09818482625323667,0.1716242688557029,10000,20260905
