method,baseline,seed,metric,value,baseline_value,paired_delta
C0,C0,66000,e_hull,0.23347357097493493,0.23347357097493493,0.0
C0,C0,66000,stable,0.0,0.0,0.0
C0,C0,66000,nus,0.0,0.0,0.0
C0,C0,66000,novel,1.0,1.0,0.0
C0,C0,66000,unique,1.0,1.0,0.0
C0,C0,66000,rmsd,0.05298358235475468,0.05298358235475468,0.0
C0,C0,66000,pre_relaxation_max_force,0.47493642568588257,0.47493642568588257,0.0
C0,C0,66001,e_hull,0.11727159472818904,0.11727159472818904,0.0
C0,C0,66001,stable,0.0,0.0,0.0
C0,C0,66001,nus,0.0,0.0,0.0
C0,C0,66001,novel,0.0,0.0,0.0
C0,C0,66001,unique,1.0,1.0,0.0
C0,C0,66001,rmsd,0.0035222316446459974,0.0035222316446459974,0.0
C0,C0,66001,pre_relaxation_max_force,0.06486776471138,0.06486776471138,0.0
C0,C0,66002,e_hull,0.0528609518457035,0.0528609518457035,0.0
C0,C0,66002,stable,1.0,1.0,0.0
C0,C0,66002,nus,1.0,1.0,0.0
C0,C0,66002,novel,1.0,1.0,0.0
C0,C0,66002,unique,1.0,1.0,0.0
C0,C0,66002,rmsd,0.010446443283248653,0.010446443283248653,0.0
C0,C0,66002,pre_relaxation_max_force,0.1796080768108368,0.1796080768108368,0.0
C0,C0,66003,e_hull,0.06473446656575632,0.06473446656575632,0.0
C0,C0,66003,stable,1.0,1.0,0.0
C0,C0,66003,nus,0.0,0.0,0.0
C0,C0,66003,novel,0.0,0.0,0.0
C0,C0,66003,unique,1.0,1.0,0.0
C0,C0,66003,rmsd,0.01902357026178954,0.01902357026178954,0.0
C0,C0,66003,pre_relaxation_max_force,0.19106890261173248,0.19106890261173248,0.0
C0,C0,66004,e_hull,0.08512573607421814,0.08512573607421814,0.0
C0,C0,66004,stable,1.0,1.0,0.0
C0,C0,66004,nus,0.0,0.0,0.0
C0,C0,66004,novel,0.0,0.0,0.0
C0,C0,66004,unique,1.0,1.0,0.0
C0,C0,66004,rmsd,0.0031285800226544653,0.0031285800226544653,0.0
C0,C0,66004,pre_relaxation_max_force,0.026729576289653778,0.026729576289653778,0.0
C0,C0,66005,e_hull,0.09540641652343851,0.09540641652343851,0.0
C0,C0,66005,stable,1.0,1.0,0.0
C0,C0,66005,nus,1.0,1.0,0.0
C0,C0,66005,novel,1.0,1.0,0.0
C0,C0,66005,unique,1.0,1.0,0.0
C0,C0,66005,rmsd,0.017384258439675143,0.017384258439675143,0.0
C0,C0,66005,pre_relaxation_max_force,0.4353450834751129,0.4353450834751129,0.0
C0,C0,66006,e_hull,0.1302857588395181,0.1302857588395181,0.0
C0,C0,66006,stable,0.0,0.0,0.0
C0,C0,66006,nus,0.0,0.0,0.0
C0,C0,66006,novel,1.0,1.0,0.0
C0,C0,66006,unique,1.0,1.0,0.0
C0,C0,66006,rmsd,0.04274771320840315,0.04274771320840315,0.0
C0,C0,66006,pre_relaxation_max_force,0.1961318701505661,0.1961318701505661,0.0
C0,C0,66007,e_hull,0.019368444494140213,0.019368444494140213,0.0
C0,C0,66007,stable,1.0,1.0,0.0
C0,C0,66007,nus,1.0,1.0,0.0
C0,C0,66007,novel,1.0,1.0,0.0
C0,C0,66007,unique,1.0,1.0,0.0
C0,C0,66007,rmsd,0.016402973781026252,0.016402973781026252,0.0
C0,C0,66007,pre_relaxation_max_force,0.27419838309288025,0.27419838309288025,0.0
C0,C0,66008,e_hull,0.13694291954817395,0.13694291954817395,0.0
C0,C0,66008,stable,0.0,0.0,0.0
C0,C0,66008,nus,0.0,0.0,0.0
C0,C0,66008,novel,1.0,1.0,0.0
C0,C0,66008,unique,1.0,1.0,0.0
C0,C0,66008,rmsd,0.019954706581080846,0.019954706581080846,0.0
C0,C0,66008,pre_relaxation_max_force,0.01768186315894127,0.01768186315894127,0.0
C0,C0,66009,e_hull,0.1372725946991631,0.1372725946991631,0.0
C0,C0,66009,stable,0.0,0.0,0.0
C0,C0,66009,nus,0.0,0.0,0.0
C0,C0,66009,novel,1.0,1.0,0.0
C0,C0,66009,unique,1.0,1.0,0.0
C0,C0,66009,rmsd,0.002688311011536217,0.002688311011536217,0.0
C0,C0,66009,pre_relaxation_max_force,0.012551995925605297,0.012551995925605297,0.0
C0,C0,66010,e_hull,0.08972824764647669,0.08972824764647669,0.0
C0,C0,66010,stable,1.0,1.0,0.0
C0,C0,66010,nus,1.0,1.0,0.0
C0,C0,66010,novel,1.0,1.0,0.0
C0,C0,66010,unique,1.0,1.0,0.0
C0,C0,66010,rmsd,0.03918226156820912,0.03918226156820912,0.0
C0,C0,66010,pre_relaxation_max_force,0.5393255949020386,0.5393255949020386,0.0
C0,C0,66011,e_hull,0.0735760049837264,0.0735760049837264,0.0
C0,C0,66011,stable,1.0,1.0,0.0
C0,C0,66011,nus,0.0,0.0,0.0
C0,C0,66011,novel,0.0,0.0,0.0
C0,C0,66011,unique,1.0,1.0,0.0
C0,C0,66011,rmsd,0.03771899848541041,0.03771899848541041,0.0
C0,C0,66011,pre_relaxation_max_force,0.08670055866241455,0.08670055866241455,0.0
C0,C0,66012,e_hull,0.016319407325846136,0.016319407325846136,0.0
C0,C0,66012,stable,1.0,1.0,0.0
C0,C0,66012,nus,0.0,0.0,0.0
C0,C0,66012,novel,0.0,0.0,0.0
C0,C0,66012,unique,1.0,1.0,0.0
C0,C0,66012,rmsd,0.011413591930987559,0.011413591930987559,0.0
C0,C0,66012,pre_relaxation_max_force,0.18651503324508667,0.18651503324508667,0.0
C0,C0,66013,e_hull,0.03256703177018139,0.03256703177018139,0.0
C0,C0,66013,stable,1.0,1.0,0.0
C0,C0,66013,nus,1.0,1.0,0.0
C0,C0,66013,novel,1.0,1.0,0.0
C0,C0,66013,unique,1.0,1.0,0.0
C0,C0,66013,rmsd,0.01866451794313051,0.01866451794313051,0.0
C0,C0,66013,pre_relaxation_max_force,0.20572948455810547,0.20572948455810547,0.0
C0,C0,66014,e_hull,0.09412120915446032,0.09412120915446032,0.0
C0,C0,66014,stable,1.0,1.0,0.0
C0,C0,66014,nus,0.0,0.0,0.0
C0,C0,66014,novel,0.0,0.0,0.0
C0,C0,66014,unique,1.0,1.0,0.0
C0,C0,66014,rmsd,0.02842938757441892,0.02842938757441892,0.0
C0,C0,66014,pre_relaxation_max_force,0.1350584179162979,0.1350584179162979,0.0
C0,C0,66015,e_hull,0.18939731268945792,0.18939731268945792,0.0
C0,C0,66015,stable,0.0,0.0,0.0
C0,C0,66015,nus,0.0,0.0,0.0
C0,C0,66015,novel,1.0,1.0,0.0
C0,C0,66015,unique,1.0,1.0,0.0
C0,C0,66015,rmsd,0.06345824646255768,0.06345824646255768,0.0
C0,C0,66015,pre_relaxation_max_force,0.7133902907371521,0.7133902907371521,0.0
C0,C0,66016,e_hull,0.15729937334472766,0.15729937334472766,0.0
C0,C0,66016,stable,0.0,0.0,0.0
C0,C0,66016,nus,0.0,0.0,0.0
C0,C0,66016,novel,1.0,1.0,0.0
C0,C0,66016,unique,1.0,1.0,0.0
C0,C0,66016,rmsd,0.007932072627698038,0.007932072627698038,0.0
C0,C0,66016,pre_relaxation_max_force,0.10670347511768341,0.10670347511768341,0.0
C0,C0,66017,e_hull,0.09621305265722668,0.09621305265722668,0.0
C0,C0,66017,stable,1.0,1.0,0.0
C0,C0,66017,nus,0.0,0.0,0.0
C0,C0,66017,novel,0.0,0.0,0.0
C0,C0,66017,unique,1.0,1.0,0.0
C0,C0,66017,rmsd,0.011919940269266871,0.011919940269266871,0.0
C0,C0,66017,pre_relaxation_max_force,0.10473877191543579,0.10473877191543579,0.0
C0,C0,66018,e_hull,0.07832854286254953,0.07832854286254953,0.0
C0,C0,66018,stable,1.0,1.0,0.0
C0,C0,66018,nus,1.0,1.0,0.0
C0,C0,66018,novel,1.0,1.0,0.0
C0,C0,66018,unique,1.0,1.0,0.0
C0,C0,66018,rmsd,0.06349003905359059,0.06349003905359059,0.0
C0,C0,66018,pre_relaxation_max_force,0.5261548161506653,0.5261548161506653,0.0
C0,C0,66019,e_hull,0.07191692803168337,0.07191692803168337,0.0
C0,C0,66019,stable,1.0,1.0,0.0
C0,C0,66019,nus,1.0,1.0,0.0
C0,C0,66019,novel,1.0,1.0,0.0
C0,C0,66019,unique,1.0,1.0,0.0
C0,C0,66019,rmsd,0.02660172307774319,0.02660172307774319,0.0
C0,C0,66019,pre_relaxation_max_force,0.13562794029712677,0.13562794029712677,0.0
C0,C0,66020,e_hull,0.0252873313346349,0.0252873313346349,0.0
C0,C0,66020,stable,1.0,1.0,0.0
C0,C0,66020,nus,0.0,0.0,0.0
C0,C0,66020,novel,0.0,0.0,0.0
C0,C0,66020,unique,1.0,1.0,0.0
C0,C0,66020,rmsd,0.0385008437577353,0.0385008437577353,0.0
C0,C0,66020,pre_relaxation_max_force,0.18868914246559143,0.18868914246559143,0.0
C0,C0,66021,e_hull,0.08626203099826313,0.08626203099826313,0.0
C0,C0,66021,stable,1.0,1.0,0.0
C0,C0,66021,nus,1.0,1.0,0.0
C0,C0,66021,novel,1.0,1.0,0.0
C0,C0,66021,unique,1.0,1.0,0.0
C0,C0,66021,rmsd,0.0013882816889527957,0.0013882816889527957,0.0
C0,C0,66021,pre_relaxation_max_force,0.044425513595342636,0.044425513595342636,0.0
C0,C0,66022,e_hull,0.1017222315761721,0.1017222315761721,0.0
C0,C0,66022,stable,0.0,0.0,0.0
C0,C0,66022,nus,0.0,0.0,0.0
C0,C0,66022,novel,1.0,1.0,0.0
C0,C0,66022,unique,1.0,1.0,0.0
C0,C0,66022,rmsd,0.01674020105035375,0.01674020105035375,0.0
C0,C0,66022,pre_relaxation_max_force,0.49430763721466064,0.49430763721466064,0.0
C0,C0,66023,e_hull,0.21476277866277016,0.21476277866277016,0.0
C0,C0,66023,stable,0.0,0.0,0.0
C0,C0,66023,nus,0.0,0.0,0.0
C0,C0,66023,novel,1.0,1.0,0.0
C0,C0,66023,unique,1.0,1.0,0.0
C0,C0,66023,rmsd,0.07078580000628742,0.07078580000628742,0.0
C0,C0,66023,pre_relaxation_max_force,0.9744464755058289,0.9744464755058289,0.0
C0,C0,66024,e_hull,0.33597802941545574,0.33597802941545574,0.0
C0,C0,66024,stable,0.0,0.0,0.0
C0,C0,66024,nus,0.0,0.0,0.0
C0,C0,66024,novel,1.0,1.0,0.0
C0,C0,66024,unique,1.0,1.0,0.0
C0,C0,66024,rmsd,0.041574723014532605,0.041574723014532605,0.0
C0,C0,66024,pre_relaxation_max_force,2.1948370933532715,2.1948370933532715,0.0
C0,C0,66025,e_hull,0.06922536733235685,0.06922536733235685,0.0
C0,C0,66025,stable,1.0,1.0,0.0
C0,C0,66025,nus,0.0,0.0,0.0
C0,C0,66025,novel,1.0,1.0,0.0
C0,C0,66025,unique,0.0,0.0,0.0
C0,C0,66025,rmsd,0.0075603252030827075,0.0075603252030827075,0.0
C0,C0,66025,pre_relaxation_max_force,0.08212977647781372,0.08212977647781372,0.0
C0,C0,66026,e_hull,0.18742570648315482,0.18742570648315482,0.0
C0,C0,66026,stable,0.0,0.0,0.0
C0,C0,66026,nus,0.0,0.0,0.0
C0,C0,66026,novel,1.0,1.0,0.0
C0,C0,66026,unique,1.0,1.0,0.0
C0,C0,66026,rmsd,0.09500283367851967,0.09500283367851967,0.0
C0,C0,66026,pre_relaxation_max_force,0.19217972457408905,0.19217972457408905,0.0
C0,C0,66027,e_hull,0.06572572238240593,0.06572572238240593,0.0
C0,C0,66027,stable,1.0,1.0,0.0
C0,C0,66027,nus,0.0,0.0,0.0
C0,C0,66027,novel,0.0,0.0,0.0
C0,C0,66027,unique,1.0,1.0,0.0
C0,C0,66027,rmsd,0.0018125374652153165,0.0018125374652153165,0.0
C0,C0,66027,pre_relaxation_max_force,0.007033356465399265,0.007033356465399265,0.0
C0,C0,66028,e_hull,0.16236471618431203,0.16236471618431203,0.0
C0,C0,66028,stable,0.0,0.0,0.0
C0,C0,66028,nus,0.0,0.0,0.0
C0,C0,66028,novel,1.0,1.0,0.0
C0,C0,66028,unique,1.0,1.0,0.0
C0,C0,66028,rmsd,0.0776549752130083,0.0776549752130083,0.0
