dataset,adapter,stage,timestep_bin,field,count,residual_mse,residual_rmse,residual_cosine
exact_validation,V1,decile,0,atomic_numbers,1656400,5.519302127762596,2.3493195031248084,0.279903121116078
exact_validation,V1,decile,0,cell,14400,0.012781676902195614,0.1130560785725191,0.9683586217168626
exact_validation,V1,decile,0,pos,49200,0.014490827245565193,0.12037785197271628,-0.003639784885809079
exact_validation,V1,decile,1,atomic_numbers,1656400,6.220307959681172,2.4940545221949684,0.29247861640132294
exact_validation,V1,decile,1,cell,14400,0.01421358334869688,0.11922073371983952,0.9635434943371186
exact_validation,V1,decile,1,pos,49200,0.01890117091470041,0.13748152935831204,-0.00031335594155094954
exact_validation,V1,decile,2,atomic_numbers,1656400,6.0563460938776785,2.460964464163934,0.2778261386966106
exact_validation,V1,decile,2,cell,14400,0.02296550451400132,0.1515437379570707,0.9361993504268019
exact_validation,V1,decile,2,pos,49200,0.043115802881176814,0.20764345133227008,-0.005839240716480587
exact_validation,V1,decile,3,atomic_numbers,1656400,5.241680877061893,2.2894717462903738,0.2875769303839213
exact_validation,V1,decile,3,cell,14400,0.007226796597513183,0.0850105675637634,0.9797273645234652
exact_validation,V1,decile,3,pos,49200,0.6951739024283834,0.8337708932484891,0.0009652562219394664
exact_validation,V1,decile,4,atomic_numbers,1656400,5.576382775162764,2.361436591391512,0.32262498620003366
exact_validation,V1,decile,4,cell,14400,0.029250078209956377,0.17102654241361595,0.915468340516904
exact_validation,V1,decile,4,pos,49200,22.037294488864216,4.694389682255215,0.4302453027942708
exact_validation,V1,decile,5,atomic_numbers,1656400,5.131450989261913,2.265270621639259,0.3164179357798195
exact_validation,V1,decile,5,cell,14400,0.06747329672253626,0.2597562255703148,0.8338520381360661
exact_validation,V1,decile,5,pos,49200,115.75264764051127,10.758840441260912,0.49524055227479774
exact_validation,V1,decile,6,atomic_numbers,1656400,2.6894044945171505,1.6399403935866543,0.22831194762904103
exact_validation,V1,decile,6,cell,14400,0.09982873991527919,0.3159568640103886,0.8799281608145771
exact_validation,V1,decile,6,pos,49200,380.7355589843378,19.51244625833311,0.4287717133775811
exact_validation,V1,decile,7,atomic_numbers,1656400,1.4638637041999534,1.2099023531673758,0.18934623393289848
exact_validation,V1,decile,7,cell,14400,0.20633414037218448,0.4542401791697697,0.8916929874422784
exact_validation,V1,decile,7,pos,49200,1259.7093147912065,35.49238389839722,0.3886390371302579
exact_validation,V1,decile,8,atomic_numbers,1656400,0.4156372651803957,0.6446993603071091,0.07028348869417791
exact_validation,V1,decile,8,cell,14400,0.1410343899434277,0.3755454565607574,0.9275290143987291
exact_validation,V1,decile,8,pos,49200,4516.280312197306,67.20327605256537,0.3880177535517275
exact_validation,V1,decile,9,atomic_numbers,1656400,0.12128464062032249,0.3482594444093692,0.02483263532126988
exact_validation,V1,decile,9,cell,14400,58.64567879488472,7.658046669672673,0.23553120261089294
exact_validation,V1,decile,9,pos,49200,15367.762532016164,123.96677995340592,0.3857456843875758
exact_validation,V1,early,-1,atomic_numbers,5515812,5.917747376940616,2.4326420568880693,0.28441778924860095
exact_validation,V1,early,-1,cell,47952,0.01573187547457354,0.12542677335630356,0.9587887263985239
exact_validation,V1,early,-1,pos,163836,0.03385731517942319,0.18400357382242116,-0.006326924119214225
exact_validation,V1,late,-1,atomic_numbers,5532376,0.8064964188192971,0.8980514566656507,0.16008535717888286
exact_validation,V1,late,-1,cell,48096,17.675028389038538,4.204167978213827,0.2655290868975148
exact_validation,V1,late,-1,pos,164328,6384.992015140488,79.90614503991847,0.386724832320715
exact_validation,V1,middle,-1,atomic_numbers,5515812,4.81557481178893,2.194441799590258,0.29952840465608965
exact_validation,V1,middle,-1,cell,47952,0.0479895005079473,0.21906505998891584,0.8819186478886769
exact_validation,V1,middle,-1,pos,163836,101.22020011804317,10.060825021738683,0.4366660495685104
exact_validation,V1,overall,-1,atomic_numbers,16564000,3.843566092732584,1.960501490112309,0.2843790356662971
exact_validation,V1,overall,-1,cell,144000,5.924678700141051,2.4340662891838116,0.29279345233517373
exact_validation,V1,overall,-1,pos,492000,2166.3049341821843,46.543581020181335,0.38734942057749006
exact_validation,V2_DAgger,decile,0,atomic_numbers,1656400,5.53431796301911,2.3525131164393347,0.2808597007431655
exact_validation,V2_DAgger,decile,0,cell,14400,0.01133878236779209,0.1064837187920862,0.9732419901408002
exact_validation,V2_DAgger,decile,0,pos,49200,0.8483679949544721,0.9210689414774945,0.005007047575004178
exact_validation,V2_DAgger,decile,1,atomic_numbers,1656400,6.05717377931189,2.461132621235981,0.32995034193890355
exact_validation,V2_DAgger,decile,1,cell,14400,0.013445633234906482,0.11595530705796299,0.9645991079316445
exact_validation,V2_DAgger,decile,1,pos,49200,0.8852971420322788,0.9409023020655646,0.004823841989154849
exact_validation,V2_DAgger,decile,2,atomic_numbers,1656400,5.8959669402554775,2.4281612261658982,0.31844486937532446
exact_validation,V2_DAgger,decile,2,cell,14400,0.023238017619268147,0.152440209981711,0.9349504564965958
exact_validation,V2_DAgger,decile,2,pos,49200,0.9330785861019707,0.9659599298635377,0.006188005873842476
exact_validation,V2_DAgger,decile,3,atomic_numbers,1656400,5.093138135446209,2.25679820441399,0.331724440977186
exact_validation,V2_DAgger,decile,3,cell,14400,0.0070787082369942154,0.0841350594995583,0.9793849692042185
exact_validation,V2_DAgger,decile,3,pos,49200,1.6931145401635184,1.3011973486614237,0.09736999761103789
exact_validation,V2_DAgger,decile,4,atomic_numbers,1656400,5.33099825051406,2.3088954611489148,0.37989525044520017
exact_validation,V2_DAgger,decile,4,cell,14400,0.0343539748787023,0.18534825296911298,0.9054948759298073
exact_validation,V2_DAgger,decile,4,pos,49200,19.171621320906695,4.378541003679958,0.4800055000918501
exact_validation,V2_DAgger,decile,5,atomic_numbers,1656400,4.856644314904341,2.203779552247534,0.38419840006601647
exact_validation,V2_DAgger,decile,5,cell,14400,0.06541618241027916,0.25576587420975294,0.8298244804518704
exact_validation,V2_DAgger,decile,5,pos,49200,104.847523555775,10.23950797430106,0.5487887514129645
exact_validation,V2_DAgger,decile,6,atomic_numbers,1656400,2.5699567703094153,1.6031084711613919,0.3069271444645664
exact_validation,V2_DAgger,decile,6,cell,14400,0.07814595296501163,0.2795459764779519,0.8676799565409008
exact_validation,V2_DAgger,decile,6,pos,49200,366.1121606158435,19.134057609818246,0.46296636054133583
exact_validation,V2_DAgger,decile,7,atomic_numbers,1656400,1.421253043798052,1.19216317834349,0.2529828866552408
exact_validation,V2_DAgger,decile,7,cell,14400,0.1653212623126132,0.4065971745015123,0.8820933696434956
exact_validation,V2_DAgger,decile,7,pos,49200,1231.9657865155227,35.09937017263305,0.4112443047062422
exact_validation,V2_DAgger,decile,8,atomic_numbers,1656400,0.4193257911415873,0.6475536974966534,0.09309231178468813
exact_validation,V2_DAgger,decile,8,cell,14400,0.20708795264790145,0.4550691734757491,0.9332822859031211
