row_type,field,stage,coverage_target,threshold,marginal_quantile,joint_coverage,correlation
correlation,pos,overall,,,,,0.9579096564042858
correlation,pos,early,,,,,0.6084931406379505
correlation,pos,middle,,,,,0.8268729111066262
correlation,pos,late,,,,,0.906722153372335
correlation,cell,overall,,,,,0.798670087626488
correlation,cell,early,,,,,0.25262555474687187
correlation,cell,middle,,,,,0.243774428638665
correlation,cell,late,,,,,0.787942596713932
correlation,atomic_numbers,overall,,,,,0.8116337692895415
correlation,atomic_numbers,early,,,,,0.5392314574574201
correlation,atomic_numbers,middle,,,,,0.467855431599384
correlation,atomic_numbers,late,,,,,0.70197863397247
threshold,pos,overall,0.25,0.33659344994954404,0.6520407525476912,0.2500625,
threshold,cell,overall,0.25,0.10573034046799144,0.6520407525476912,0.2500625,
threshold,atomic_numbers,overall,0.25,0.7046715134486496,0.6520407525476912,0.2500625,
threshold,pos,overall,0.5,0.5753940645371769,0.7744234014626272,0.5,
threshold,cell,overall,0.5,0.16460769420938232,0.7744234014626272,0.5,
threshold,atomic_numbers,overall,0.5,0.7710464923348767,0.7744234014626272,0.5,
threshold,pos,overall,0.75,0.8313652990028692,0.8905556597292161,0.7500625,
threshold,cell,overall,0.75,0.30773043549195506,0.8905556597292161,0.7500625,
threshold,atomic_numbers,overall,0.75,0.8289545722625317,0.8905556597292161,0.7500625,
threshold,pos,overall,0.9,1.062656383888129,0.9566847927999333,0.9000625,
threshold,cell,overall,0.9,0.5256294405654249,0.9566847927999333,0.9000625,
threshold,atomic_numbers,overall,0.9,0.878287564868365,0.9566847927999333,0.9000625,
