method,baseline,seed,time_per_sample,baseline_time_per_sample,paired_time_delta,paired_speedup,logical_score_calls,second_forward_calls,adapter_calls,fallback_calls,adapter_acceptance_overall,second_forward_avoidance,forward_reduction,peak_allocated_bytes
C0,C0,66000,121.02815651521087,121.02815651521087,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,316721664.0
C0,C0,66001,122.70726366597228,122.70726366597228,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,294673408.0
C0,C0,66002,120.3642859919928,120.3642859919928,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,316062720.0
C0,C0,66003,117.67175141605549,117.67175141605549,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,271877120.0
C0,C0,66004,117.5025226790458,117.5025226790458,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,286743040.0
C0,C0,66005,112.67409030208364,112.67409030208364,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,334032896.0
C0,C0,66006,118.37297323299572,118.37297323299572,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,258938880.0
C0,C0,66007,119.6701129260473,119.6701129260473,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,301481984.0
V1_Fallback50,C0,66000,102.63292170315981,121.02815651521087,-18.395234812051058,1.1792332762897924,1587.0,587.0,1000.0,587.0,0.413,0.413,0.2065,315772416.0
V1_Fallback50,C0,66001,87.33472449798137,122.70726366597228,-35.37253916799091,1.4050226226889684,1346.0,346.0,1000.0,346.0,0.654,0.654,0.327,287067648.0
V1_Fallback50,C0,66002,98.61037319200113,120.3642859919928,-21.753912799991667,1.2206047101924593,1556.0,556.0,1000.0,556.0,0.444,0.444,0.222,318069760.0
V1_Fallback50,C0,66003,81.0162211228162,117.67175141605549,-36.65553029323928,1.4524468036798641,1313.0,313.0,1000.0,313.0,0.687,0.687,0.3435,271984640.0
V1_Fallback50,C0,66004,89.08894380996935,117.5025226790458,-28.413578869076446,1.3189349615557668,1387.0,387.0,1000.0,387.0,0.613,0.613,0.3065,286352384.0
V1_Fallback50,C0,66005,100.70775471394882,112.67409030208364,-11.966335588134825,1.1188223848513366,1655.0,655.0,1000.0,655.0,0.345,0.345,0.1725,333224960.0
V1_Fallback50,C0,66006,87.76347301411442,118.37297323299572,-30.609500218881294,1.3487726632463437,1268.0,268.0,1000.0,268.0,0.732,0.732,0.366,260455936.0
V1_Fallback50,C0,66007,95.52693489100784,119.6701129260473,-24.143178035039455,1.2527368648704764,1440.0,440.0,1000.0,440.0,0.56,0.56,0.28,303143424.0
V2_Frozen_Atomic75_Late30,C0,66000,94.41956657008268,121.02815651521087,-26.608589945128188,1.2818122441324493,1453.0,453.0,700.0,453.0,0.547,0.547,0.2735,315738112.0
V2_Frozen_Atomic75_Late30,C0,66001,92.83372212992981,122.70726366597228,-29.873541536042467,1.321796227175202,1447.0,447.0,700.0,447.0,0.553,0.553,0.2765,287902720.0
V2_Frozen_Atomic75_Late30,C0,66002,93.75860241288319,120.3642859919928,-26.60568357910961,1.2837679198965297,1518.0,518.0,700.0,518.0,0.482,0.482,0.241,315405824.0
V2_Frozen_Atomic75_Late30,C0,66003,84.73558895406313,117.67175141605549,-32.93616246199235,1.3886933798247123,1305.0,305.0,700.0,305.0,0.695,0.695,0.3475,271551488.0
V2_Frozen_Atomic75_Late30,C0,66004,84.42981987493113,117.5025226790458,-33.07270280411467,1.3917182679426112,1408.0,408.0,700.0,408.0,0.592,0.592,0.296,286475264.0
V2_Frozen_Atomic75_Late30,C0,66005,82.21462520794012,112.67409030208364,-30.459465094143525,1.370487185426004,1335.0,335.0,700.0,335.0,0.665,0.665,0.3325,327553024.0
V2_Frozen_Atomic75_Late30,C0,66006,86.05203036800958,118.37297323299572,-32.32094286498614,1.3755976788317787,1302.0,302.0,700.0,302.0,0.698,0.698,0.349,260121088.0
V2_Frozen_Atomic75_Late30,C0,66007,80.62573166703805,119.6701129260473,-39.04438125900924,1.4842670007666006,1319.0,319.0,700.0,319.0,0.681,0.681,0.3405,301607936.0
