method,baseline,metric,n_paired,mean,median,std,baseline_mean,paired_delta_mean,paired_delta_median,paired_delta_std,paired_delta_bootstrap95_low,paired_delta_bootstrap95_high,bootstrap_samples,bootstrap_seed
B0_C0,B0_C0,e_hull,16,0.12366424429291395,0.09980041808301632,0.070605705317348,0.12366424429291395,0.0,0.0,0.0,0.0,0.0,10000,20260905
B0_C0,B0_C0,stable,16,0.5,0.5,0.5163977794943222,0.5,0.0,0.0,0.0,0.0,0.0,10000,20260905
B0_C0,B0_C0,nus,16,0.1875,0.0,0.4031128874149275,0.1875,0.0,0.0,0.0,0.0,0.0,10000,20260905
B0_C0,B0_C0,novel,16,0.6875,1.0,0.47871355387816905,0.6875,0.0,0.0,0.0,0.0,0.0,10000,20260905
B0_C0,B0_C0,unique,16,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10000,20260905
B0_C0,B0_C0,rmsd,16,0.08891314160902569,0.02704427465366905,0.17243609642509478,0.08891314160902569,0.0,0.0,0.0,0.0,0.0,10000,20260905
B0_C0,B0_C0,pre_relaxation_max_force,16,0.49401790311094373,0.25165271759033203,0.8258091942389749,0.49401790311094373,0.0,0.0,0.0,0.0,0.0,10000,20260905
B1_V1_Global50,B0_C0,e_hull,16,0.1028805151180412,0.09055942417237217,0.09812439137679342,0.12366424429291395,-0.020783729174872756,-0.017113765479564336,0.10290852118530962,-0.06476773070559652,0.031365442863334196,10000,20260905
B1_V1_Global50,B0_C0,stable,16,0.5,0.5,0.5163977794943222,0.5,0.0,0.0,0.5163977794943222,-0.25,0.25,10000,20260905
B1_V1_Global50,B0_C0,nus,16,0.1875,0.0,0.4031128874149275,0.1875,0.0,0.0,0.5163977794943222,-0.25,0.25,10000,20260905
B1_V1_Global50,B0_C0,novel,16,0.625,1.0,0.5,0.6875,-0.0625,0.0,0.5737304826019501,-0.3125,0.1875,10000,20260905
B1_V1_Global50,B0_C0,unique,16,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10000,20260905
B1_V1_Global50,B0_C0,rmsd,16,0.03975138083277152,0.037782889171402004,0.035220656740314916,0.08891314160902569,-0.04916176077625417,-0.0011763351865773624,0.17221421750542262,-0.14401621766604392,0.013775075779530422,10000,20260905
B1_V1_Global50,B0_C0,pre_relaxation_max_force,16,0.31798972049728036,0.19685643911361694,0.28563469146587317,0.49401790311094373,-0.17602818261366338,-0.016770608723163605,0.7968528781242598,-0.6059554600709816,0.11144727637438334,10000,20260905
B2_V2_Global50,B0_C0,e_hull,16,0.1601504736456527,0.10481644280356495,0.2308966286381821,0.12366424429291395,0.036486229352738764,-0.01707790686389954,0.25080796200096717,-0.051908319084803804,0.17378471317421942,10000,20260905
B2_V2_Global50,B0_C0,stable,16,0.4375,0.0,0.51234753829798,0.5,-0.0625,0.0,0.6800735254367721,-0.375,0.25,10000,20260905
B2_V2_Global50,B0_C0,nus,16,0.3125,0.0,0.47871355387816905,0.1875,0.125,0.0,0.6191391873668903,-0.1875,0.4375,10000,20260905
B2_V2_Global50,B0_C0,novel,16,0.875,1.0,0.3415650255319866,0.6875,0.1875,0.0,0.4031128874149275,0.0,0.375,10000,20260905
B2_V2_Global50,B0_C0,unique,16,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10000,20260905
B2_V2_Global50,B0_C0,rmsd,16,0.06553813080072038,0.023017417650004576,0.1693092912483567,0.08891314160902569,-0.023375010808305313,-0.0037850822668137407,0.2502574454201538,-0.14097427790507447,0.09665483857980323,10000,20260905
B2_V2_Global50,B0_C0,pre_relaxation_max_force,16,0.30085411114851013,0.2422810047864914,0.3363085782346112,0.49401790311094373,-0.1931637919624336,-0.01690729148685932,0.889790377213566,-0.6836403246386908,0.16274512651289091,10000,20260905
B3_V2_Global75_Late20,B0_C0,e_hull,16,0.13211107472351108,0.09800596958862329,0.12209922616430116,0.12366424429291395,0.00844683043059713,-0.00977149447278114,0.1262147510380859,-0.04805937620782119,0.0689940842141514,10000,20260905
B3_V2_Global75_Late20,B0_C0,stable,16,0.5,0.5,0.5163977794943222,0.5,0.0,0.0,0.6324555320336759,-0.3125,0.3125,10000,20260905
B3_V2_Global75_Late20,B0_C0,nus,16,0.3125,0.0,0.47871355387816905,0.1875,0.125,0.0,0.7187952884282609,-0.1875,0.4375,10000,20260905
B3_V2_Global75_Late20,B0_C0,novel,16,0.75,1.0,0.4472135954999579,0.6875,0.0625,0.0,0.4425306015783918,-0.125,0.25,10000,20260905
B3_V2_Global75_Late20,B0_C0,unique,16,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10000,20260905
B3_V2_Global75_Late20,B0_C0,rmsd,16,0.06437013856004556,0.018043222523658035,0.12842071665038535,0.08891314160902569,-0.024543003048980126,-0.001207063459737867,0.17881182346192312,-0.12031233105976924,0.041138336417489575,10000,20260905
B3_V2_Global75_Late20,B0_C0,pre_relaxation_max_force,16,0.3021237124921754,0.14142236858606339,0.31365089735407564,0.49401790311094373,-0.19189419061876833,-0.02973392978310585,0.8166132969523608,-0.6240662706200965,0.06244213270401814,10000,20260905
B3_V2_Global75_Late30,B0_C0,e_hull,16,0.13922217190990388,0.11601062123474115,0.11643498292577298,0.12366424429291395,0.01555792761698993,-0.00988532850709456,0.11094713223861456,-0.03341785322949543,0.07171090817627648,10000,20260905
B3_V2_Global75_Late30,B0_C0,stable,16,0.4375,0.0,0.51234753829798,0.5,-0.0625,0.0,0.5737304826019501,-0.3125,0.1875,10000,20260905
B3_V2_Global75_Late30,B0_C0,nus,16,0.25,0.0,0.4472135954999579,0.1875,0.0625,0.0,0.6800735254367721,-0.25,0.375,10000,20260905
B3_V2_Global75_Late30,B0_C0,novel,16,0.75,1.0,0.4472135954999579,0.6875,0.0625,0.0,0.4425306015783918,-0.125,0.25,10000,20260905
B3_V2_Global75_Late30,B0_C0,unique,16,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10000,20260905
B3_V2_Global75_Late30,B0_C0,rmsd,16,0.07236242475269392,0.02805435601829673,0.13100739255493835,0.08891314160902569,-0.01655071685633177,-0.003987101763559892,0.1394654230719737,-0.09166901672287624,0.03896897138009196,10000,20260905
B3_V2_Global75_Late30,B0_C0,pre_relaxation_max_force,16,0.32656063191825524,0.14234914630651474,0.3208489112895507,0.49401790311094373,-0.1674572711926885,-0.029711104929447174,0.7657993379885174,-0.5754470129963011,0.0819288169746869,10000,20260905
B3_V2_Global75_Late40,B0_C0,e_hull,16,0.1397327845470714,0.0830026271082902,0.1421713434145267,0.12366424429291395,0.016068540254157437,-0.03335638006836117,0.15514814809925367,-0.051195895741731196,0.09452779749609658,10000,20260905
B3_V2_Global75_Late40,B0_C0,stable,16,0.625,1.0,0.5,0.5,0.125,0.0,0.7187952884282609,-0.25,0.5,10000,20260905
B3_V2_Global75_Late40,B0_C0,nus,16,0.3125,0.0,0.47871355387816905,0.1875,0.125,0.0,0.7187952884282609,-0.25,0.4375,10000,20260905
B3_V2_Global75_Late40,B0_C0,novel,16,0.6875,1.0,0.47871355387816905,0.6875,0.0,0.0,0.5163977794943222,-0.25,0.25,10000,20260905
B3_V2_Global75_Late40,B0_C0,unique,16,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10000,20260905
B3_V2_Global75_Late40,B0_C0,rmsd,16,0.06415255740532845,0.012013101277457205,0.13597895540326468,0.08891314160902569,-0.02476058420369723,-0.01142713483738816,0.22580030495594702,-0.139825673954309,0.07809638285511547,10000,20260905
B3_V2_Global75_Late40,B0_C0,pre_relaxation_max_force,16,0.3049228294985369,0.1660957783460617,0.35669713644625145,0.49401790311094373,-0.18909507361240685,-0.05995854642242193,0.8819742383402308,-0.6775270785190515,0.15795150457561238,10000,20260905
B4_V2_Field75_Late30,B0_C0,e_hull,16,0.1260997272638577,0.09288252473007663,0.0993912047318171,0.12366424429291395,0.0024354829709437587,0.00255063567118885,0.1178000266795905,-0.05270626861702553,0.059530778520945404,10000,20260905
B4_V2_Field75_Late30,B0_C0,stable,16,0.5625,1.0,0.51234753829798,0.5,0.0625,0.0,0.6800735254367721,-0.25,0.375,10000,20260905
B4_V2_Field75_Late30,B0_C0,nus,16,0.375,0.0,0.5,0.1875,0.1875,0.0,0.6551081335677849,-0.125,0.5,10000,20260905
B4_V2_Field75_Late30,B0_C0,novel,16,0.75,1.0,0.4472135954999579,0.6875,0.0625,0.0,0.5737304826019501,-0.1875,0.3125,10000,20260905
B4_V2_Field75_Late30,B0_C0,unique,16,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10000,20260905
B4_V2_Field75_Late30,B0_C0,rmsd,16,0.056555900820717604,0.030032414051055653,0.09718219514024246,0.08891314160902569,-0.032357240788308095,-0.005936751122385523,0.19728479028701718,-0.13574454131621683,0.05094985400234455,10000,20260905
B4_V2_Field75_Late30,B0_C0,pre_relaxation_max_force,16,0.5000520346220583,0.19512242078781128,0.7248946481036007,0.49401790311094373,0.006034131511114538,0.0464035146869719,1.08982825874017,-0.5328055905803921,0.5104703064629575,10000,20260905
B4a_V2_Atomic75_Late30,B0_C0,e_hull,16,0.12668823337332918,0.09510021247175171,0.10602265744728889,0.12366424429291395,0.0030239890804152347,0.0025507237026642926,0.12245827560264347,-0.053641114754539955,0.06324126444030352,10000,20260905
B4a_V2_Atomic75_Late30,B0_C0,stable,16,0.5625,1.0,0.51234753829798,0.5,0.0625,0.0,0.6800735254367721,-0.25,0.375,10000,20260905
B4a_V2_Atomic75_Late30,B0_C0,nus,16,0.375,0.0,0.5,0.1875,0.1875,0.0,0.6551081335677849,-0.125,0.5,10000,20260905
B4a_V2_Atomic75_Late30,B0_C0,novel,16,0.75,1.0,0.4472135954999579,0.6875,0.0625,0.0,0.5737304826019501,-0.1875,0.3125,10000,20260905
B4a_V2_Atomic75_Late30,B0_C0,unique,16,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10000,20260905
B4a_V2_Atomic75_Late30,B0_C0,rmsd,16,0.05443177344907782,0.03270353910584915,0.08153350567062516,0.08891314160902569,-0.034481368159947866,-0.005936738595694737,0.1884596695455088,-0.13026122694070397,0.044827831324635706,10000,20260905
B4a_V2_Atomic75_Late30,B0_C0,pre_relaxation_max_force,16,0.41700264252722263,0.19512216746807098,0.4591243848540664,0.49401790311094373,-0.0770152605837211,0.04640342528000474,0.9044773193678786,-0.5681795676006004,0.27959790697350395,10000,20260905
