method,baseline,seed,metric,value,baseline_value,paired_delta
B0_C0,B0_C0,65000,e_hull,0.2182105039063602,0.2182105039063602,0.0
B0_C0,B0_C0,65000,stable,0.0,0.0,0.0
B0_C0,B0_C0,65000,nus,0.0,0.0,0.0
B0_C0,B0_C0,65000,novel,1.0,1.0,0.0
B0_C0,B0_C0,65000,unique,1.0,1.0,0.0
B0_C0,B0_C0,65000,rmsd,0.06397255339087012,0.06397255339087012,0.0
B0_C0,B0_C0,65000,pre_relaxation_max_force,0.2741708755493164,0.2741708755493164,0.0
B0_C0,B0_C0,65001,e_hull,0.1593434256253614,0.1593434256253614,0.0
B0_C0,B0_C0,65001,stable,0.0,0.0,0.0
B0_C0,B0_C0,65001,nus,0.0,0.0,0.0
B0_C0,B0_C0,65001,novel,1.0,1.0,0.0
B0_C0,B0_C0,65001,unique,1.0,1.0,0.0
B0_C0,B0_C0,65001,rmsd,0.08798622686308669,0.08798622686308669,0.0
B0_C0,B0_C0,65001,pre_relaxation_max_force,0.7314927577972412,0.7314927577972412,0.0
B0_C0,B0_C0,65002,e_hull,0.06524279367920016,0.06524279367920016,0.0
B0_C0,B0_C0,65002,stable,1.0,1.0,0.0
B0_C0,B0_C0,65002,nus,0.0,0.0,0.0
B0_C0,B0_C0,65002,novel,0.0,0.0,0.0
B0_C0,B0_C0,65002,unique,1.0,1.0,0.0
B0_C0,B0_C0,65002,rmsd,0.04964934366115585,0.04964934366115585,0.0
B0_C0,B0_C0,65002,pre_relaxation_max_force,0.15262770652770996,0.15262770652770996,0.0
B0_C0,B0_C0,65003,e_hull,0.06911517929086486,0.06911517929086486,0.0
B0_C0,B0_C0,65003,stable,1.0,1.0,0.0
B0_C0,B0_C0,65003,nus,1.0,1.0,0.0
B0_C0,B0_C0,65003,novel,1.0,1.0,0.0
B0_C0,B0_C0,65003,unique,1.0,1.0,0.0
B0_C0,B0_C0,65003,rmsd,0.02433187230865006,0.02433187230865006,0.0
B0_C0,B0_C0,65003,pre_relaxation_max_force,0.190921351313591,0.190921351313591,0.0
B0_C0,B0_C0,65004,e_hull,0.231977066672016,0.231977066672016,0.0
B0_C0,B0_C0,65004,stable,0.0,0.0,0.0
B0_C0,B0_C0,65004,nus,0.0,0.0,0.0
B0_C0,B0_C0,65004,novel,1.0,1.0,0.0
B0_C0,B0_C0,65004,unique,1.0,1.0,0.0
B0_C0,B0_C0,65004,rmsd,0.6745899969207836,0.6745899969207836,0.0
B0_C0,B0_C0,65004,pre_relaxation_max_force,3.366518974304199,3.366518974304199,0.0
B0_C0,B0_C0,65005,e_hull,0.13009585014648373,0.13009585014648373,0.0
B0_C0,B0_C0,65005,stable,0.0,0.0,0.0
B0_C0,B0_C0,65005,nus,0.0,0.0,0.0
B0_C0,B0_C0,65005,novel,1.0,1.0,0.0
B0_C0,B0_C0,65005,unique,1.0,1.0,0.0
B0_C0,B0_C0,65005,rmsd,0.017005051896144263,0.017005051896144263,0.0
B0_C0,B0_C0,65005,pre_relaxation_max_force,0.22913455963134766,0.22913455963134766,0.0
B0_C0,B0_C0,65006,e_hull,0.06880231986487839,0.06880231986487839,0.0
B0_C0,B0_C0,65006,stable,1.0,1.0,0.0
B0_C0,B0_C0,65006,nus,0.0,0.0,0.0
B0_C0,B0_C0,65006,novel,0.0,0.0,0.0
B0_C0,B0_C0,65006,unique,1.0,1.0,0.0
B0_C0,B0_C0,65006,rmsd,0.0009972894927156415,0.0009972894927156415,0.0
B0_C0,B0_C0,65006,pre_relaxation_max_force,0.010208654217422009,0.010208654217422009,0.0
B0_C0,B0_C0,65007,e_hull,0.07408067232618976,0.07408067232618976,0.0
B0_C0,B0_C0,65007,stable,1.0,1.0,0.0
B0_C0,B0_C0,65007,nus,1.0,1.0,0.0
B0_C0,B0_C0,65007,novel,1.0,1.0,0.0
B0_C0,B0_C0,65007,unique,1.0,1.0,0.0
B0_C0,B0_C0,65007,rmsd,0.07151171548690417,0.07151171548690417,0.0
B0_C0,B0_C0,65007,pre_relaxation_max_force,0.36783021688461304,0.36783021688461304,0.0
B0_C0,B0_C0,65008,e_hull,0.28680647068536835,0.28680647068536835,0.0
B0_C0,B0_C0,65008,stable,0.0,0.0,0.0
B0_C0,B0_C0,65008,nus,0.0,0.0,0.0
B0_C0,B0_C0,65008,novel,1.0,1.0,0.0
B0_C0,B0_C0,65008,unique,1.0,1.0,0.0
B0_C0,B0_C0,65008,rmsd,0.3057979223689237,0.3057979223689237,0.0
B0_C0,B0_C0,65008,pre_relaxation_max_force,1.1992942094802856,1.1992942094802856,0.0
