method,seed,success,formula,num_atoms,guidance_schedule,coverage_target,checkpoint_sha256,adapter_checkpoint_sha256,timing_includes_teacher_recording,failure_return_code,failure_log_path,run_summary_path,structure_path,elapsed_seconds,time_per_sample,samples_per_hour,mattergen_score_calls,saved_score_calls,adapter_calls,adapter_accept_calls,adapter_acceptance_overall,adapter_acceptance_eligible,fallback_calls,adapter_coverage,second_forward_avoidance,forward_reduction,peak_allocated_bytes,adapter_seconds,exact_fallback_seconds,dagger_teacher_seconds,dagger_teacher_calls,late_exact_calls,early_reuse_calls,field_risk_fallback_calls
C0,66000,True,Fe5O5F2,12,constant,0.0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False,0,,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66000/run_summary.json,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66000/generated_crystals.extxyz,113.53034981503151,113.53034981503151,31.709582555371963,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316721664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,66001,True,LiEu3,8,constant,0.0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False,0,,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66001/run_summary.json,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66001/generated_crystals.extxyz,113.53531802585348,113.53531802585348,31.708194970486915,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294673408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,66002,True,Fe7Ni5,12,constant,0.0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False,0,,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66002/run_summary.json,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66002/generated_crystals.extxyz,113.80170294013806,113.80170294013806,31.633973016147845,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316062720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,66003,True,Fe2Rh,6,constant,0.0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False,0,,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66003/run_summary.json,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66003/generated_crystals.extxyz,116.35810922994278,116.35810922994278,30.93896956408777,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271877120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,66004,True,PrEu3,8,constant,0.0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False,0,,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66004/run_summary.json,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66004/generated_crystals.extxyz,111.7674417339731,111.7674417339731,32.2097378641685,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286743040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,66005,True,Mn2FeO4,14,constant,0.0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False,0,,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66005/run_summary.json,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66005/generated_crystals.extxyz,115.29348403005861,115.29348403005861,31.22466139596779,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334032896.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,66006,True,Eu2AlAu,4,constant,0.0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False,0,,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66006/run_summary.json,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66006/generated_crystals.extxyz,121.09141998481937,121.09141998481937,29.729604297738966,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258938880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,66007,True,Zn2Fe6HN,10,constant,0.0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False,0,,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66007/run_summary.json,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66007/generated_crystals.extxyz,121.63939989288338,121.63939989288338,29.595673796238625,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301481984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,66008,True,Eu2MnIrO6,10,constant,0.0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False,0,,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66008/run_summary.json,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66008/generated_crystals.extxyz,113.77920385985635,113.77920385985635,31.64022842376518,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301214208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,66009,True,EuAl4Pb,6,constant,0.0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False,0,,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66009/run_summary.json,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66009/generated_crystals.extxyz,113.46439719595946,113.46439719595946,31.728014152162597,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273557504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
