method,baseline,seed,time_per_sample,baseline_time_per_sample,paired_time_delta,paired_speedup,logical_score_calls,second_forward_calls,adapter_calls,fallback_calls,adapter_acceptance_overall,second_forward_avoidance,forward_reduction,peak_allocated_bytes
C0,C0,66000,113.53034981503151,113.53034981503151,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,316721664.0
C0,C0,66001,113.53531802585348,113.53531802585348,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,294673408.0
C0,C0,66002,113.80170294013806,113.80170294013806,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,316062720.0
C0,C0,66003,116.35810922994278,116.35810922994278,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,271877120.0
C0,C0,66004,111.7674417339731,111.7674417339731,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,286743040.0
C0,C0,66005,115.29348403005861,115.29348403005861,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,334032896.0
C0,C0,66006,121.09141998481937,121.09141998481937,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,258938880.0
C0,C0,66007,121.63939989288338,121.63939989288338,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,301481984.0
C0,C0,66008,113.77920385985635,113.77920385985635,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,301214208.0
C0,C0,66009,113.46439719595946,113.46439719595946,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,273557504.0
C0,C0,66010,114.24613513797522,114.24613513797522,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,328158208.0
C0,C0,66011,113.48385279602371,113.48385279602371,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,316137984.0
C0,C0,66012,112.26147704012692,112.26147704012692,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,286730752.0
C0,C0,66013,120.95575421792455,120.95575421792455,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,264457728.0
C0,C0,66014,118.69934493000619,118.69934493000619,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,257890304.0
C0,C0,66015,116.60242051607929,116.60242051607929,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,302016512.0
C0,C0,66016,112.97637639497407,112.97637639497407,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,259383808.0
C0,C0,66017,113.83111524605192,113.83111524605192,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,303209984.0
C0,C0,66018,114.63432058296166,114.63432058296166,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,286782464.0
C0,C0,66019,120.04203752917238,120.04203752917238,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,295481856.0
C0,C0,66020,113.58641769713722,113.58641769713722,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,316673536.0
C0,C0,66021,110.98498700815253,110.98498700815253,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,271905792.0
C0,C0,66022,120.95538690686226,120.95538690686226,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,304610304.0
C0,C0,66023,114.04616314405575,114.04616314405575,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,366770688.0
C0,C0,66024,113.06825431413017,113.06825431413017,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,282759168.0
C0,C0,66025,122.15741740702651,122.15741740702651,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,316256256.0
C0,C0,66026,120.56110861594789,120.56110861594789,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,286328832.0
C0,C0,66027,112.24451120593585,112.24451120593585,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,259490816.0
C0,C0,66028,116.91825921810232,116.91825921810232,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,307940864.0
C0,C0,66029,120.56383990496397,120.56383990496397,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,347749376.0
C0,C0,66030,112.89896325091831,112.89896325091831,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,359276544.0
C0,C0,66031,113.74482324393466,113.74482324393466,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,362205696.0
C0,C0,66032,114.11649756901897,114.11649756901897,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,288819712.0
C0,C0,66033,113.63316969503649,113.63316969503649,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,265241088.0
C0,C0,66034,119.36960028414614,119.36960028414614,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,360824832.0
C0,C0,66035,117.66336385696195,117.66336385696195,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,308454912.0
C0,C0,66036,112.7372489280533,112.7372489280533,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,287026688.0
C0,C0,66037,115.29221038799733,115.29221038799733,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,307507200.0
C0,C0,66038,115.33723401813768,115.33723401813768,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,352584704.0
C0,C0,66039,121.3349993340671,121.3349993340671,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,318070272.0
C0,C0,66040,121.93171400600113,121.93171400600113,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,286829056.0
C0,C0,66041,112.75376548990607,112.75376548990607,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,273198592.0
C0,C0,66042,119.22538653202355,119.22538653202355,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,264430592.0
C0,C0,66043,112.43037594202906,112.43037594202906,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,303191040.0
C0,C0,66044,122.67279801797122,122.67279801797122,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,309688320.0
C0,C0,66045,123.42903996584937,123.42903996584937,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,273187840.0
C0,C0,66046,116.08270560321398,116.08270560321398,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,316062720.0
C0,C0,66047,114.00065844296478,114.00065844296478,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,317941760.0
C0,C0,66048,114.8920367360115,114.8920367360115,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,302017024.0
C0,C0,66049,122.40484711201862,122.40484711201862,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,316279808.0
C0,C0,66050,117.13677397905849,117.13677397905849,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,257396224.0
C0,C0,66051,118.37653628294356,118.37653628294356,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,273374720.0
C0,C0,66052,114.1556729990989,114.1556729990989,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,345503744.0
C0,C0,66053,113.71067651500925,113.71067651500925,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,344749568.0
C0,C0,66054,115.20214254385792,115.20214254385792,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,257134592.0
C0,C0,66055,112.87880615098402,112.87880615098402,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,273266176.0
C0,C0,66056,113.6363853099756,113.6363853099756,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,303696384.0
C0,C0,66057,112.23058147309348,112.23058147309348,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,259194880.0
C0,C0,66058,120.08294823300093,120.08294823300093,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,280897536.0
C0,C0,66059,114.08153616008349,114.08153616008349,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,377216000.0
C0,C0,66060,113.30402637901716,113.30402637901716,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,343976448.0
C0,C0,66061,119.56012446596287,119.56012446596287,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,317587968.0
C0,C0,66062,115.39274645107798,115.39274645107798,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,317990912.0
C0,C0,66063,113.08290766295977,113.08290766295977,0.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,286883840.0
V1_Fallback50,C0,66000,98.48351025208831,113.53034981503151,-15.046839562943205,1.1527853701033584,1587.0,587.0,1000.0,587.0,0.413,0.413,0.2065,315772416.0
V1_Fallback50,C0,66001,85.88701686193235,113.53531802585348,-27.648301163921133,1.321914791945413,1346.0,346.0,1000.0,346.0,0.654,0.654,0.327,287067648.0
V1_Fallback50,C0,66002,96.71961787994951,113.80170294013806,-17.082085060188547,1.1766144804396477,1556.0,556.0,1000.0,556.0,0.444,0.444,0.222,318069760.0
V1_Fallback50,C0,66003,81.48103882279247,116.35810922994278,-34.87707040715031,1.428039098556439,1313.0,313.0,1000.0,313.0,0.687,0.687,0.3435,271984640.0
V1_Fallback50,C0,66004,87.0257196740713,111.7674417339731,-24.741722059901804,1.2843035616661889,1387.0,387.0,1000.0,387.0,0.613,0.613,0.3065,286352384.0
V1_Fallback50,C0,66005,101.03480844409205,115.29348403005861,-14.258675585966557,1.1411263682838242,1655.0,655.0,1000.0,655.0,0.345,0.345,0.1725,333224960.0
V1_Fallback50,C0,66006,83.89827658701688,121.09141998481937,-37.19314339780249,1.4433123648163002,1268.0,268.0,1000.0,268.0,0.732,0.732,0.366,260455936.0
V1_Fallback50,C0,66007,90.43514416902326,121.63939989288338,-31.204255723860115,1.3450456789844816,1440.0,440.0,1000.0,440.0,0.56,0.56,0.28,303143424.0
V1_Fallback50,C0,66008,99.22721275407821,113.77920385985635,-14.551991105778143,1.1466532285033881,1477.0,477.0,1000.0,477.0,0.523,0.523,0.2615,300048384.0
V1_Fallback50,C0,66009,82.34769367892295,113.46439719595946,-31.116703517036512,1.377869763279125,1311.0,311.0,1000.0,311.0,0.689,0.689,0.3445,273393152.0
V1_Fallback50,C0,66010,93.37812138092704,114.24613513797522,-20.868013757048175,1.2234786205637949,1506.0,506.0,1000.0,506.0,0.494,0.494,0.247,315836416.0
V1_Fallback50,C0,66011,99.22235508891754,113.48385279602371,-14.261497707106173,1.1437327071538044,1575.0,575.0,1000.0,575.0,0.425,0.425,0.2125,314885120.0
V1_Fallback50,C0,66012,87.51508936099708,112.26147704012692,-24.74638767912984,1.2827670960495938,1439.0,439.0,1000.0,439.0,0.561,0.561,0.2805,287668736.0
V1_Fallback50,C0,66013,79.3400203329511,120.95575421792455,-41.61573388497345,1.5245238621106052,1282.0,282.0,1000.0,282.0,0.718,0.718,0.359,264625664.0
V1_Fallback50,C0,66014,85.5269096698612,118.69934493000619,-33.172435260144994,1.387859626732598,1253.0,253.0,1000.0,253.0,0.747,0.747,0.3735,257783296.0
V1_Fallback50,C0,66015,91.70355255994946,116.60242051607929,-24.898867956129834,1.2715147588186693,1370.0,370.0,1000.0,370.0,0.63,0.63,0.315,304078848.0
V1_Fallback50,C0,66016,78.38080908497795,112.97637639497407,-34.59556730999611,1.4413780326315426,1255.0,255.0,1000.0,255.0,0.745,0.745,0.3725,257906688.0
V1_Fallback50,C0,66017,95.90685554617085,113.83111524605192,-17.924259699881077,1.1868923717476285,1553.0,553.0,1000.0,553.0,0.447,0.447,0.2235,301187584.0
V1_Fallback50,C0,66018,99.21273167803884,114.63432058296166,-15.421588904922828,1.1554396159050266,1566.0,566.0,1000.0,566.0,0.434,0.434,0.217,286900224.0
V1_Fallback50,C0,66019,92.01319021102972,120.04203752917238,-28.028847318142653,1.3046177102854413,1442.0,442.0,1000.0,442.0,0.558,0.558,0.279,294586368.0
V1_Fallback50,C0,66020,100.65805707499385,113.58641769713722,-12.928360622143373,1.1284384081893344,1535.0,535.0,1000.0,535.0,0.465,0.465,0.2325,315490816.0
V1_Fallback50,C0,66021,79.05252320086583,110.98498700815253,-31.932463807286695,1.4039398429592056,1239.0,239.0,1000.0,239.0,0.761,0.761,0.3805,273317376.0
V1_Fallback50,C0,66022,88.56376100704074,120.95538690686226,-32.39162589982152,1.3657435674761647,1409.0,409.0,1000.0,409.0,0.591,0.591,0.2955,304282624.0
V1_Fallback50,C0,66023,117.64617913705297,114.04616314405575,3.600015992997214,0.9693996352503438,1927.0,927.0,1000.0,927.0,0.073,0.073,0.0365,371380736.0
V1_Fallback50,C0,66024,92.95498970686458,113.06825431413017,-20.11326460726559,1.2163763846426445,1348.0,348.0,1000.0,348.0,0.652,0.652,0.326,280122368.0
V1_Fallback50,C0,66025,102.3247842490673,122.15741740702651,-19.832633157959208,1.1938204248707223,1584.0,584.0,1000.0,584.0,0.416,0.416,0.208,319469568.0
