adapter_accept_calls,adapter_calls,adapter_checkpoint_sha256,adapter_streak_max,adapter_streak_mean,adapter_streak_p95,anchor_k,atomic_risk_fallback_calls,checkpoint_sha256,coverage,fallback_calls,formula,forward_reduction,generation_time_seconds,invalid_risk_fallback_calls,late_exact_calls,logical_score_calls,method,nonfinite_adapter_fallback_calls,nonfinite_risk_fallback_calls,num_atoms,output_path,output_sha256,peak_gpu_memory_bytes,periodic_exact_calls,periodic_trace_calls,run_summary_path,samples_per_hour,second_forward_calls,seed,success
510,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,106,7.183098591549296,27,0,190,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.51,490,Mn11Ni5,0.255,90.9411142708268,0,300,1490,V2_Frozen_Atomic75_Late30,0,0,16,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/smoke/generation/V2_Frozen_Atomic75_Late30/67900/generated_crystals.extxyz,81ec3781952442c9f6e3998e9ca504b67b5ac5bc65770c2e5b2d828d7a0b8fc8,346607616,0,0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/smoke/generation/V2_Frozen_Atomic75_Late30/67900/run_summary.json,39.58605553566273,490,67900,True
459,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,4,3.0805369127516777,4,4,166,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.459,541,MnFe7,0.2295,95.53443087893538,0,300,1541,V3_AnchorK4,0,0,16,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/smoke/generation/V3_AnchorK4/67900/generated_crystals.extxyz,1e341dba3004db74c7972a76d27dfb83dae7bbb535009e4dc6643e0588bc39f5,343312896,75,75,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/smoke/generation/V3_AnchorK4/67900/run_summary.json,37.68274921281572,541,67900,True
467,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,8,4.169642857142857,8,8,200,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.467,533,Mn3Ni5,0.2335,92.5416047279723,0,300,1533,V3_AnchorK8,0,0,16,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/smoke/generation/V3_AnchorK8/67900/generated_crystals.extxyz,ea0ddc8f6d17a2cc37b68d392460d675f727a7fccca807f6eeb1a5c54aacb6c2,346145792,33,33,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/smoke/generation/V3_AnchorK8/67900/run_summary.json,38.90142180462792,533,67900,True
485,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,16,4.5327102803738315,16,16,203,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.485,515,MnFe7,0.2425,91.05866825184785,0,300,1515,V3_AnchorK16,0,0,16,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/smoke/generation/V3_AnchorK16/67900/generated_crystals.extxyz,890d2a4e1a89fa5d5d555a269e2d0ff5c276f8ee7faa9cde14bfec2aa24f8bf2,345069568,12,12,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/smoke/generation/V3_AnchorK16/67900/run_summary.json,39.53495113769079,515,67900,True
700,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,700,700.0,700,0,0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.7,300,Eu2GaPb,0.35,80.68944667698815,0,300,1300,V2_Frozen_Atomic75_Late30,0,0,4,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/smoke/generation/V2_Frozen_Atomic75_Late30/67901/generated_crystals.extxyz,70bf6491b2bd4e6ffe2e08dd51a8cece6d38cba2dc493b536c526377c4eef473,257161728,0,0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/smoke/generation/V2_Frozen_Atomic75_Late30/67901/run_summary.json,44.61549989816308,300,67901,True
560,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,4,4.0,4,4,0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.56,440,CaEu2Pb,0.28,85.86000476917252,0,300,1440,V3_AnchorK4,0,0,4,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/smoke/generation/V3_AnchorK4/67901/generated_crystals.extxyz,228f4d94c9d44d2a3ce9dd132c928beffe75bcc96e52f39ff575c635aef75803,257458176,140,140,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/smoke/generation/V3_AnchorK4/67901/run_summary.json,41.928718845035014,440,67901,True
623,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,8,7.987179487179487,8,8,0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.623,377,Eu3Pb,0.3115,90.51325245108455,0,300,1377,V3_AnchorK8,0,0,4,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/smoke/generation/V3_AnchorK8/67901/generated_crystals.extxyz,b2bf9b0f9ca0c24bef6c2044d743bd3caa70fb923d10c72f241f6352f92c007d,257327104,77,77,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/smoke/generation/V3_AnchorK8/67901/run_summary.json,39.77318130232391,377,67901,True
659,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,16,15.69047619047619,16,16,0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.659,341,Eu2FeIr,0.3295,83.86262341798283,0,300,1341,V3_AnchorK16,0,0,4,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/smoke/generation/V3_AnchorK16/67901/generated_crystals.extxyz,c2482f4d4b3f18060b0c66eb6c2ec50cd83d4249151c53410f4b5a75a24ac2cb,257404416,41,41,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/smoke/generation/V3_AnchorK16/67901/run_summary.json,42.92734776560835,341,67901,True
647,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,270,14.704545454545455,37,0,53,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.647,353,EuErNi2,0.3235,82.42402188503183,0,300,1353,V2_Frozen_Atomic75_Late30,0,0,4,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/smoke/generation/V2_Frozen_Atomic75_Late30/67902/generated_crystals.extxyz,a28605790bbc5baad7fca3f9bfcdd6d847c6a59282a4ee2d63f65710c9b198de,257779200,0,0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/smoke/generation/V2_Frozen_Atomic75_Late30/67902/run_summary.json,43.67658745191319,353,67902,True
560,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,4,3.971631205673759,4,4,1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.56,440,EuSiNi2,0.28,86.83580329595134,0,300,1440,V3_AnchorK4,0,0,4,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/smoke/generation/V3_AnchorK4/67902/generated_crystals.extxyz,ccb29fd54066a7588c44029e76f456a0a46428fcffd52a0d62676688fd558dd3,257161728,139,139,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/smoke/generation/V3_AnchorK4/67902/run_summary.json,41.45755395076593,440,67902,True
595,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,8,6.467391304347826,8,8,45,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.595,405,EuErNi2,0.2975,85.66072706808336,0,300,1405,V3_AnchorK8,0,0,4,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/smoke/generation/V3_AnchorK8/67902/generated_crystals.extxyz,991b74d5b9a45abf57caa9ea07b7d682dc02d5151c3493263422c78f881d9eed,259705344,60,60,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/smoke/generation/V3_AnchorK8/67902/run_summary.json,42.02626014531386,405,67902,True
658,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,16,15.666666666666666,16,16,3,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.658,342,EuErPt2,0.329,91.45944700785913,0,300,1342,V3_AnchorK16,0,0,4,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/smoke/generation/V3_AnchorK16/67902/generated_crystals.extxyz,1d5c6f2f782050ecde5c1dbf0669613e566bf916b0df4d6f24fe3d3765c775ea,257058816,39,39,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/smoke/generation/V3_AnchorK16/67902/run_summary.json,39.36170748649564,342,67902,True
573,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,293,13.022727272727273,24,0,127,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.573,427,Eu7Sb3N2,0.2865,86.11902573797852,0,300,1427,V2_Frozen_Atomic75_Late30,0,0,12,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/smoke/generation/V2_Frozen_Atomic75_Late30/67903/generated_crystals.extxyz,eeb8a1de3cb6fee3191a8b8e70a8f594d5253d96dbe4c7183c34aa7deb191e89,317799936,0,0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/smoke/generation/V2_Frozen_Atomic75_Late30/67903/run_summary.json,41.8026094599953,427,67903,True
487,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,4,3.121794871794872,4,4,122,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.487,513,Dy3Fe7Ni2,0.2435,97.43002729211003,0,300,1513,V3_AnchorK4,0,0,12,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/smoke/generation/V3_AnchorK4/67903/generated_crystals.extxyz,d681d7621c3cfad8d508443ad296ac83fdce317b9c2e2a9d20ff80fdbf0d5ed9,315848192,91,91,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/smoke/generation/V3_AnchorK4/67903/run_summary.json,36.949594494176345,513,67903,True
462,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,8,4.2,8,8,197,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.462,538,Dy3Fe7Ni2,0.231,92.82723760395311,0,300,1538,V3_AnchorK8,0,0,12,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/smoke/generation/V3_AnchorK8/67903/generated_crystals.extxyz,deb7c4446d9c2f08b7bc450405a506e81324b95faf9110dcb7b408e29d11dc2c,314870784,41,41,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/smoke/generation/V3_AnchorK8/67903/run_summary.json,38.78172067727987,538,67903,True
573,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,16,7.1625,16,16,104,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.573,427,DyFe3,0.2865,88.9574026898481,0,300,1427,V3_AnchorK16,0,0,12,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/smoke/generation/V3_AnchorK16/67903/generated_crystals.extxyz,28af901cce61128b660d272afd06d3932fdf4067a0b091813cf0300fa969bc55,315420672,23,23,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/smoke/generation/V3_AnchorK16/67903/run_summary.json,40.468807442045915,427,67903,True
