adapter_accept_calls,adapter_calls,adapter_checkpoint_sha256,adapter_streak_max,adapter_streak_mean,adapter_streak_p95,anchor_k,atomic_risk_fallback_calls,checkpoint_sha256,coverage,fallback_calls,formula,forward_reduction,generation_time_seconds,invalid_risk_fallback_calls,late_exact_calls,logical_score_calls,method,nonfinite_adapter_fallback_calls,nonfinite_risk_fallback_calls,num_atoms,output_path,output_sha256,peak_gpu_memory_bytes,periodic_exact_calls,periodic_trace_calls,run_summary_path,samples_per_hour,second_forward_calls,seed,success
0,0,,0,0.0,0,0,0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.0,0,Li2TaMn4Fe2O11,0.0,115.79653276596218,0,0,2000,C0,0,0,20,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_b/generation/C0/68000/generated_crystals.extxyz,662862ebbac08e0837c882000d0742a1e5e0735cf584d530f6d440a3a6abb033,375215616,0,0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_b/generation/C0/68000/run_summary.json,31.089013755498232,1000,68000,True
556,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,128,10.10909090909091,44,0,144,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.556,444,GdFe2SiO6,0.278,89.0571202239953,0,300,1444,V2_Frozen_Atomic75_Late30,0,0,20,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_b/generation/V2_Frozen_Atomic75_Late30/68000/generated_crystals.extxyz,9826270b6dafec7831023871f56957b35691abf61bcbbc66bba8042b8bf74522,370640384,0,0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_b/generation/V2_Frozen_Atomic75_Late30/68000/run_summary.json,40.423494392647406,444,68000,True
473,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,4,3.2620689655172415,4,4,137,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.473,527,GdFe7SiO11,0.2365,96.86023353086784,0,300,1527,V3_AnchorK4,0,0,20,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_b/generation/V3_AnchorK4/68000/generated_crystals.extxyz,78d50c261f248cb6191fa169d8bbec1490b77fdbf787401c8be8a751a05f890a,373381120,90,90,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_b/generation/V3_AnchorK4/68000/run_summary.json,37.16695560983483,527,68000,True
557,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,8,5.355769230769231,8,8,98,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.557,443,EuFeO3,0.2785,88.5395378798712,0,300,1443,V3_AnchorK8,0,0,20,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_b/generation/V3_AnchorK8/68000/generated_crystals.extxyz,194163bbc2a7534402bb5a457d4610a83211ee6122ae2b5f67951ee042b5d700,370784256,45,45,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_b/generation/V3_AnchorK8/68000/run_summary.json,40.6598011035975,443,68000,True
578,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,16,7.135802469135802,16,16,102,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.578,422,GdFe4(MoO4)3,0.289,86.2330565690063,0,300,1422,V3_AnchorK16,0,0,20,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_b/generation/V3_AnchorK16/68000/generated_crystals.extxyz,6b975ea8af9cf7ad24a1471f7679dd33dd95739b471fdd1a436d8d63cc77cc6b,371441152,20,20,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_b/generation/V3_AnchorK16/68000/run_summary.json,41.747331513399054,422,68000,True
0,0,,0,0.0,0,0,0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.0,0,Mn7CdO8,0.0,122.45541255711578,0,0,2000,C0,0,0,16,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_b/generation/C0/68001/generated_crystals.extxyz,d0718dc5099eced837e7ba320e91678ffd678de9f974ec4aca8b50ff938024b0,349100032,0,0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_b/generation/C0/68001/run_summary.json,29.398455526176797,1000,68001,True
630,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,176,11.25,43,0,70,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.63,370,Mn5GaFeO9,0.315,91.37225444195792,0,300,1370,V2_Frozen_Atomic75_Late30,0,0,16,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_b/generation/V2_Frozen_Atomic75_Late30/68001/generated_crystals.extxyz,09b0d45ce4f1f2a165ff54fa764500afb304958e24ef6295274bccef1bdc1e4e,344712704,0,0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_b/generation/V2_Frozen_Atomic75_Late30/68001/run_summary.json,39.39926865093184,370,68001,True
489,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,4,3.5179856115107913,4,4,107,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.489,511,Mn7O7F2,0.2445,93.10265930695459,0,300,1511,V3_AnchorK4,0,0,16,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_b/generation/V3_AnchorK4/68001/generated_crystals.extxyz,01c81f05c0abfde003ccf3b16d1d454ec40dfac54b0883ab4c1bcf134b546acc,345183232,104,104,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_b/generation/V3_AnchorK4/68001/run_summary.json,38.66699433504889,511,68001,True
533,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,8,6.126436781609195,8,8,110,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.533,467,Mn3O3F2,0.2665,88.84007443999872,0,300,1467,V3_AnchorK8,0,0,16,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_b/generation/V3_AnchorK8/68001/generated_crystals.extxyz,013c2f10389f50034fc095375da9e9cb77b83de102e489229b6a9819b4b70e4d,348116480,57,57,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_b/generation/V3_AnchorK8/68001/run_summary.json,40.52225330395673,467,68001,True
553,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,16,8.919354838709678,16,16,123,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.553,447,Mn7O5F4,0.2765,87.85624579200521,0,300,1447,V3_AnchorK16,0,0,16,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_b/generation/V3_AnchorK16/68001/generated_crystals.extxyz,120238d1ed5fd5ff8cb2d5f5b6213ad42b569d3f3fab6669a392f7ae82a3e2b9,344249856,24,24,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_b/generation/V3_AnchorK16/68001/run_summary.json,40.97602814173053,447,68001,True
