baseline,method,metric,n_paired,baseline_value,method_value,delta_method_minus_baseline,paired_bootstrap95_low,paired_bootstrap95_high,wilcoxon_pratt_p,mcnemar_exact_p,bootstrap_samples,bootstrap_seed
C0,V2_Frozen_Atomic75_Late30,e_hull,32,0.11552433038439361,0.10737237361718573,-0.008151956767207882,-0.06241294633814536,0.043141768078176,0.8176742987707257,,20000,20260905
C0,V2_Frozen_Atomic75_Late30,stable,32,0.59375,0.6875,0.09375,-0.09375,0.28125,0.36571229628151325,0.548828125,20000,20260905
C0,V2_Frozen_Atomic75_Late30,nus,32,0.25,0.3125,0.0625,-0.09375,0.21875,0.47950012218695337,0.7265625,20000,20260905
C0,V2_Frozen_Atomic75_Late30,novel,32,0.59375,0.59375,0.0,-0.15625,0.15625,1.0,1.0,20000,20260905
C0,V2_Frozen_Atomic75_Late30,unique,32,1.0,1.0,0.0,0.0,0.0,1.0,1.0,20000,20260905
C0,V2_Frozen_Atomic75_Late30,rmsd,32,0.08459043684485033,0.06381724424701148,-0.020773192597838858,-0.13087801186763653,0.05787542770867231,0.2386409710161388,,20000,20260905
C0,V2_Frozen_Atomic75_Late30,force_mean,32,0.18490009562471527,0.12960308539542514,-0.05529701022929012,-0.22301946796720226,0.05221421633863782,0.91921989293769,,20000,20260905
C0,V2_Frozen_Atomic75_Late30,force_max,32,0.5447135193445964,0.2614885287003339,-0.28322499064426254,-0.9500169090410834,0.10636831877236594,0.9926442098803818,,20000,20260905
C0,V2_Frozen_Atomic75_Late30,force_p95,32,1.2688633905530184,0.7112579130376477,-0.5576054775153707,-8.761074239318964,1.2435805026278928,,,20000,20260905
C0,V2_Frozen_Atomic75_Late30,force_p99,32,7.133126685181679,1.5679982124876406,-5.565128472694038,-8.754294857375212,1.2435805026278928,,,20000,20260905
C0,V2_Frozen_Atomic75_Late30,force_gt1,32,0.0625,0.03125,-0.03125,-0.15625,0.0625,0.5637028616507731,1.0,20000,20260905
C0,V2_Frozen_Atomic75_Late30,force_gt2,32,0.03125,0.0,-0.03125,-0.09375,0.0,0.31731050786291415,1.0,20000,20260905
C0,V3_AnchorK4,e_hull,32,0.11552433038439361,0.11449702244420601,-0.0010273079401875995,-0.054864999105036026,0.04487857736399634,0.4883263139054179,,20000,20260905
C0,V3_AnchorK4,stable,32,0.59375,0.46875,-0.125,-0.34375,0.09375,0.28504940740261275,0.4239501953125,20000,20260905
C0,V3_AnchorK4,nus,32,0.25,0.21875,-0.03125,-0.25,0.1875,0.7815112949987133,1.0,20000,20260905
C0,V3_AnchorK4,novel,32,0.59375,0.75,0.15625,0.0,0.3125,0.05878172135535886,0.125,20000,20260905
C0,V3_AnchorK4,unique,32,1.0,1.0,0.0,0.0,0.0,1.0,1.0,20000,20260905
C0,V3_AnchorK4,rmsd,32,0.08459043684485033,0.03627863567595216,-0.048311801168898175,-0.1500724086074749,0.018092710749071227,0.4319446589797735,,20000,20260905
C0,V3_AnchorK4,force_mean,32,0.18490009562471527,0.12841835509754368,-0.05648174052717159,-0.22127219754562233,0.04327177593861646,0.31266863038763404,,20000,20260905
C0,V3_AnchorK4,force_max,32,0.5447135193445964,0.2572678602119747,-0.28744565913262177,-0.9339265467596823,0.07963947045623772,0.5859751221723855,,20000,20260905
C0,V3_AnchorK4,force_p95,32,1.2688633905530184,0.6588201394140326,-0.6100432511389858,-8.920130281423464,0.4996894687789373,,,20000,20260905
C0,V3_AnchorK4,force_p99,32,7.133126685181679,1.0763423999990864,-6.056784285182593,-8.912950141551464,0.4996894687789373,,,20000,20260905
C0,V3_AnchorK4,force_gt1,32,0.0625,0.03125,-0.03125,-0.15625,0.0625,0.5637028616507731,1.0,20000,20260905
C0,V3_AnchorK4,force_gt2,32,0.03125,0.0,-0.03125,-0.09375,0.0,0.31731050786291415,1.0,20000,20260905
C0,V3_AnchorK8,e_hull,32,0.11552433038439361,0.1051513664247726,-0.010372963959621007,-0.07023239273299943,0.05315910875986402,0.8737098936787782,,20000,20260905
C0,V3_AnchorK8,stable,32,0.59375,0.65625,0.0625,-0.15625,0.28125,0.5637028616507731,0.7744140625,20000,20260905
C0,V3_AnchorK8,nus,32,0.25,0.4375,0.1875,0.0,0.375,0.057779571123597245,0.109375,20000,20260905
C0,V3_AnchorK8,novel,32,0.59375,0.78125,0.1875,0.0625,0.34375,0.014305878435429648,0.03125,20000,20260905
C0,V3_AnchorK8,unique,32,1.0,1.0,0.0,0.0,0.0,1.0,1.0,20000,20260905
C0,V3_AnchorK8,rmsd,32,0.08459043684485033,0.022422803857662675,-0.06216763298718766,-0.15604507283799193,-0.005829637710760507,0.0099095250479877,,20000,20260905
C0,V3_AnchorK8,force_mean,32,0.18490009562471527,0.11935704990859726,-0.065543045716118,-0.23069789616982642,0.0528142621281888,0.34029899863526225,,20000,20260905
