adapter_accept_calls,adapter_calls,adapter_checkpoint_sha256,adapter_streak_max,adapter_streak_mean,adapter_streak_p95,anchor_k,atomic_risk_fallback_calls,checkpoint_sha256,coverage,fallback_calls,formula,forward_reduction,generation_time_seconds,invalid_risk_fallback_calls,late_exact_calls,logical_score_calls,method,nonfinite_adapter_fallback_calls,nonfinite_risk_fallback_calls,num_atoms,output_path,output_sha256,peak_gpu_memory_bytes,periodic_exact_calls,periodic_trace_calls,run_summary_path,samples_per_hour,second_forward_calls,seed,success
0,0,,0,0.0,0,0,0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.0,0,LiLa3Eu3Mn3O10,0.0,115.757102743024,0,0,2000,C0,0,0,20,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/C0/69000/generated_crystals.extxyz,e89b3df9fe84f71478cfdafe7e02a11ad7438cd3d9bd528d8d21985965e00289,371528192,0,0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/C0/69000/run_summary.json,31.09960352058786,1000,69000,True
571,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,199,8.784615384615385,39,0,129,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.571,429,Eu4PCNO11F2,0.2855,87.17933065397665,0,300,1429,V2_Frozen_Atomic75_Late30,0,0,20,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/V2_Frozen_Atomic75_Late30/69000/generated_crystals.extxyz,7e37fc2c18f8502f7dbd160ee6f489cecbf5e6ddf0e88f22fb59781fd6bb405b,372324352,0,0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/V2_Frozen_Atomic75_Late30/69000/run_summary.json,41.2941917882893,429,69000,True
524,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,16,6.717948717948718,16,16,154,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.524,476,La2V2Fe3HO12,0.262,95.78878633491695,0,300,1476,V3_AnchorK16,0,0,20,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/V3_AnchorK16/69000/generated_crystals.extxyz,e876c3ecfd7402e5b898d5cd7b6b23e74d2b32b39121c48a769cf0be8ef5d17a,377950208,22,22,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/V3_AnchorK16/69000/run_summary.json,37.58268726166882,476,69000,True
0,0,,0,0.0,0,0,0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.0,0,Co5Ni,0.0,115.14860882400535,0,0,2000,C0,0,0,6,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/C0/69001/generated_crystals.extxyz,d655e740f333c19e10606a05e95a7d5855ed03af70f401460ec1d8c2cda2c19f,271779328,0,0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/C0/69001/run_summary.json,31.26394697049521,1000,69001,True
695,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,287,115.83333333333333,287,0,5,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.695,305,CrCo4Pd,0.3475,80.00524550210685,0,300,1305,V2_Frozen_Atomic75_Late30,0,0,6,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/V2_Frozen_Atomic75_Late30/69001/generated_crystals.extxyz,9a491d191e204ba16b247d6434bc4fd79d4248c7e8db6381231ab881a68b1624,271717376,0,0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/V2_Frozen_Atomic75_Late30/69001/run_summary.json,44.99704959851911,305,69001,True
656,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,16,14.909090909090908,16,16,5,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.656,344,EuZnNi4,0.328,81.82737632491626,0,300,1344,V3_AnchorK16,0,0,6,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/V3_AnchorK16/69001/generated_crystals.extxyz,0a3c8b15c2b340c69800e307af2262ffbf254b2e63e25ca80f55724c8ee7a9a7,273383936,39,39,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/V3_AnchorK16/69001/run_summary.json,43.99505595419913,344,69001,True
0,0,,0,0.0,0,0,0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.0,0,LiEu2Pd,0.0,112.44586394820362,0,0,2000,C0,0,0,4,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/C0/69002/generated_crystals.extxyz,e14abcf624a5369c0179cffefc20450b49e3162d5784b6bd6448cdc266273c73,257437184,0,0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/C0/69002/run_summary.json,32.01540611274312,1000,69002,True
700,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,700,700.0,700,0,0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.7,300,EuFePd2,0.35,79.46973970811814,0,300,1300,V2_Frozen_Atomic75_Late30,0,0,4,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/V2_Frozen_Atomic75_Late30/69002/generated_crystals.extxyz,3a583884f433d98a847b7a96c824b7b101c11528d73c0ce9a0b92893e9832c39,257906688,0,0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/V2_Frozen_Atomic75_Late30/69002/run_summary.json,45.30026162439093,300,69002,True
659,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,16,15.69047619047619,16,16,0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.659,341,EuGdZnPd,0.3295,81.9412097921595,0,300,1341,V3_AnchorK16,0,0,4,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/V3_AnchorK16/69002/generated_crystals.extxyz,3e194eb53c6be1cdb008345e58e3aab25b415fb208b00d674e1f6f16d4a8b099,257161728,41,41,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/V3_AnchorK16/69002/run_summary.json,43.933937625905834,341,69002,True
0,0,,0,0.0,0,0,0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.0,0,EuInNi,0.0,112.65693045803346,0,0,2000,C0,0,0,12,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/C0/69003/generated_crystals.extxyz,a28c3fc8221afb67ded2f0f5946a9044bb5a4a1edd08b8d5e5d4cd37f3b765e4,316153344,0,0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/C0/69003/run_summary.json,31.955424183522013,1000,69003,True
