method,seed,formula,num_atoms,relaxation_steps,e_hull,stable,nus,novel,unique,rmsd,force_mean,force_max,streak_mean,streak_p95,streak_max,periodic_exact_calls
C0,69000,Eu3La3LiMn3O10,20,565,0.24229981471571982,0.0,0.0,1.0,1.0,0.3814448311637286,0.255855349042577,0.7980533141013093,0.0,0.0,0,0
C0,69001,Co5Ni,6,8,0.23433914631673236,0.0,0.0,1.0,1.0,0.002324577243894655,0.08325107677235907,0.13293439138890548,0.0,0.0,0,0
C0,69002,Eu2LiPd,4,7,0.06127035860270347,1.0,0.0,0.0,1.0,0.000989335075063857,0.038685015875260784,0.07732531517272853,0.0,0.0,0,0
C0,69003,Eu4In4Ni4,12,47,0.07096397548502686,1.0,1.0,1.0,1.0,0.02314211483916591,0.16884684230776562,0.19893774602607847,0.0,0.0,0,0
C0,69004,EuFe3Ni2,6,9,0.17545732055175822,0.0,0.0,1.0,1.0,0.0013950652668393549,0.00784143721681632,0.01519981183844392,0.0,0.0,0,0
C0,69005,Co4Fe4Si4,12,47,0.07548712102701938,1.0,0.0,0.0,1.0,0.0226909625380804,0.18589420425902345,0.3146689667297347,0.0,0.0,0,0
C0,69006,Fe6Rh2,8,26,0.11052658610595678,0.0,0.0,0.0,1.0,0.02968597310723515,0.14942469943585207,0.2310783830776622,0.0,0.0,0,0
C0,69007,Eu4Fe2Ge2O12,20,77,-0.0013378147421878595,1.0,1.0,1.0,1.0,0.016777456434665952,0.16120413566295297,0.2682132890924285,0.0,0.0,0,0
C0,69008,Gd4O2S4,10,43,0.07562965354687634,1.0,1.0,1.0,1.0,0.019570935835784186,0.16719349515942583,0.4765663147300492,0.0,0.0,0,0
C0,69009,BCo4Fe5Sm2,12,53,0.27477318314952903,0.0,0.0,1.0,1.0,0.053947982563067216,0.4381592036459961,0.987707647425629,0.0,0.0,0,0
C0,69010,EuFeGd3O7,12,231,0.18471571559516242,0.0,0.0,1.0,1.0,0.20798021744699752,0.38287618346923263,0.7409065725485873,0.0,0.0,0,0
C0,69011,Eu2Mn4O8,14,72,0.13558725082869216,0.0,0.0,1.0,1.0,0.09692819813672826,0.38925449763737097,0.8315347778863798,0.0,0.0,0,0
C0,69012,H4F2Fe2Mn2O6,16,481,0.1325489462609859,0.0,0.0,1.0,1.0,0.46644434515250804,0.6362302581255297,1.7356567174260111,0.0,0.0,0,0
C0,69013,H3BFe8,12,28,0.1527972708968095,0.0,0.0,1.0,1.0,0.02595016225430352,0.18819564082450313,0.47941706146274066,0.0,0.0,0,0
C0,69014,EuTmZn2,4,14,0.04251254014770467,1.0,0.0,0.0,1.0,0.0018346087806348956,0.011435809490592589,0.017872517891788498,0.0,0.0,0,0
C0,69015,B5Co5Gd2,12,100,1.098695123214518,0.0,0.0,1.0,1.0,0.17756664983148257,0.5603307505198892,1.187921374656652,0.0,0.0,0,0
C0,69016,Cu4Eu4Ge4,12,42,-0.0055500472227647535,1.0,0.0,0.0,1.0,0.007912550180796287,0.087047985167387,0.10574460445321407,0.0,0.0,0,0
C0,69017,Eu4P4Pr4,12,26,0.13043496818033784,0.0,0.0,1.0,1.0,0.024371572687330388,0.10501419045984868,0.1640728351944785,0.0,0.0,0,0
C0,69018,Be5Fe9Ir2,16,28,0.12814703164550867,0.0,0.0,1.0,1.0,0.031160281993692415,0.09121725604774075,0.23701051673391946,0.0,0.0,0,0
C0,69019,Fe2Ni2,4,16,0.028069189521484184,1.0,0.0,0.0,1.0,0.027240042123734376,0.08646300762788178,0.1641594121778188,0.0,0.0,0,0
C0,69020,FeMn,2,3,0.07091632232354428,1.0,0.0,0.0,1.0,0.0008334668777752587,0.005927876267427891,0.005927880162469548,0.0,0.0,0,0
C0,69021,Fe7Ni4Pt,12,13,0.06776465416178468,1.0,1.0,1.0,1.0,0.014196300807675848,0.08142761341374433,0.19123323505393824,0.0,0.0,0,0
C0,69022,FFe2O8P2,13,101,0.08085616778011584,1.0,1.0,1.0,1.0,0.06767193921348366,0.26244885161965575,0.43001833092617725,0.0,0.0,0,0
C0,69023,Ba2Eu2O6,10,15,0.10220144397656306,0.0,0.0,1.0,1.0,0.001629867862103676,0.0708090541232412,0.16884285201069868,0.0,0.0,0,0
C0,69024,GeMn3O6,10,32,0.060876843620450316,1.0,1.0,1.0,1.0,0.01719310501028523,0.1192208416425303,0.1830537920068713,0.0,0.0,0,0
