method,seed,success,formula,num_atoms,elapsed_seconds,sampling_steps,corrector_steps_per_time,guidance_scale,target_dft_mag_density,checkpoint_sha256,adapter_checkpoint_sha256,dft_verified
C0,79000,True,Mn3ZnO4,8,112.2546888301149,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,79000,True,Eu2PI,8,115.9629042041488,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
CFI,79000,True,Eu4AsPI2,8,120.85271087102592,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,5573b71a6bd6a8b57beb36ff27ce309f81bc3f82fb7b4759c3a7aa1b248b5d1b,False
C0,79001,True,Eu2FeSi,4,121.34226216305979,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,79001,True,Eu2AlSi,4,115.96532145095989,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
CFI,79001,True,Eu3Si,4,124.59103082004003,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,5573b71a6bd6a8b57beb36ff27ce309f81bc3f82fb7b4759c3a7aa1b248b5d1b,False
C0,79002,True,Eu5Co7,12,116.6951335631311,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,79002,True,Eu2Al3Au,12,117.64982818905264,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
CFI,79002,True,Eu2Al3Cu,12,120.92100047506392,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,5573b71a6bd6a8b57beb36ff27ce309f81bc3f82fb7b4759c3a7aa1b248b5d1b,False
C0,79003,True,Eu3Mg,4,113.82779302098788,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,79003,True,PrEu2Mg,4,124.10679590585642,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
CFI,79003,True,Eu2AgPb,4,122.79539566906169,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,5573b71a6bd6a8b57beb36ff27ce309f81bc3f82fb7b4759c3a7aa1b248b5d1b,False
C0,79004,True,KV3Cr2O8,14,117.24568394594826,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,79004,True,K2Mn3VO8,14,114.74870842206292,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
CFI,79004,True,MgMn3V2O8,14,122.65298980008811,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,5573b71a6bd6a8b57beb36ff27ce309f81bc3f82fb7b4759c3a7aa1b248b5d1b,False
C0,79005,True,EuCuGe,6,115.33666324708611,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,79005,True,EuMn2FeGe2,6,116.06164951901883,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
CFI,79005,True,EuMnFe4,6,121.3003050191328,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,5573b71a6bd6a8b57beb36ff27ce309f81bc3f82fb7b4759c3a7aa1b248b5d1b,False
C0,79006,True,Ce2SmFe9,12,121.24226314714178,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,79006,True,YTm2Fe9,12,116.46035617403686,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
CFI,79006,True,EuFe3Si2,12,123.51055295905098,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,5573b71a6bd6a8b57beb36ff27ce309f81bc3f82fb7b4759c3a7aa1b248b5d1b,False
C0,79007,True,Mn2GaCo,4,113.94084029807709,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,79007,True,MnCo,4,125.7078685190063,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
CFI,79007,True,MnFeCo2,4,123.63337108399719,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,5573b71a6bd6a8b57beb36ff27ce309f81bc3f82fb7b4759c3a7aa1b248b5d1b,False
C0,79008,True,EuYPd,3,115.04645102610812,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,79008,True,EuSbPd,3,116.23923555808142,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
