comparison,metric,n_pairs,mean_delta,ci95_lower,ci95_upper,unit,n_bootstrap,bootstrap_seed
CFI-C0,e_hull_mean,32,-0.012160726542741057,-0.05646555055123046,0.03443475025386019,eV/atom,20000,20260906
CFI-C0,stable,32,9.375,-9.375,28.125,percentage_points,20000,20260906
CFI-C0,nus,32,-6.25,-21.875,9.375,percentage_points,20000,20260906
CFI-C0,novel,32,-18.75,-37.5,0.0,percentage_points,20000,20260906
CFI-C0,rmsd_mean,32,-0.010223750239851264,-0.07303745084685462,0.0358192532996891,angstrom,20000,20260906
CFI-C0,atomic_force_mean,32,-0.016685669988185173,-0.05059740430131914,0.014629650668103983,eV/angstrom,20000,20260906
CFI-C0,structure_max_force_mean,32,-0.026203277727757837,-0.10349567762258494,0.053230077688371506,eV/angstrom,20000,20260906
CFI-C0,relaxation_steps_mean,32,7.40625,-16.0,35.1875,steps,20000,20260906
CFI-MLP,e_hull_mean,32,0.002759981788919369,-0.049109263676081844,0.050673803172024655,eV/atom,20000,20260906
CFI-MLP,stable,32,-12.5,-34.375,9.375,percentage_points,20000,20260906
CFI-MLP,nus,32,-25.0,-43.75,-6.25,percentage_points,20000,20260906
CFI-MLP,novel,32,-15.625,-31.25,0.0,percentage_points,20000,20260906
CFI-MLP,rmsd_mean,32,-0.08062686077917414,-0.21506298816132138,0.016364337249054083,angstrom,20000,20260906
CFI-MLP,atomic_force_mean,32,-0.08902204142028017,-0.18938327275599975,-0.018965179685217423,eV/angstrom,20000,20260906
CFI-MLP,structure_max_force_mean,32,-0.20587478885287108,-0.5161696250247156,-0.005700044339852585,eV/angstrom,20000,20260906
CFI-MLP,relaxation_steps_mean,32,-18.21875,-71.40703125,21.188281249999932,steps,20000,20260906
