descriptor,quality_target,spearman_rho,p_value,n_train,abs_rho_ge_0_25_and_p_lt_0_05
num_atoms,chgnet_force_max_ev_ang,0.3104972244502893,0.002077918964940321,96,True
num_atoms,chgnet_force_mean_ev_ang,0.3210046176608306,0.0014285144214016613,96,True
num_atoms,chgnet_force_rms_ev_ang,0.28663540556085354,0.004635648503862857,96,True
num_atoms,chgnet_energy_per_atom_ev,0.04807183599442559,0.6418562810373367,96,False
num_unique_elements,chgnet_force_max_ev_ang,-0.1304670653236397,0.20515925845194768,96,False
num_unique_elements,chgnet_force_mean_ev_ang,-0.14730152536539964,0.15209415008220756,96,False
num_unique_elements,chgnet_force_rms_ev_ang,-0.14667291620172737,0.15386989144952715,96,False
num_unique_elements,chgnet_energy_per_atom_ev,0.09819335094485579,0.34120140356878825,96,False
mean_atomic_number,chgnet_force_max_ev_ang,-0.2619161470251998,0.00994330733049336,96,True
mean_atomic_number,chgnet_force_mean_ev_ang,-0.2731481011238565,0.007088785155541538,96,True
mean_atomic_number,chgnet_force_rms_ev_ang,-0.2542043524538394,0.012445396512785534,96,True
mean_atomic_number,chgnet_energy_per_atom_ev,0.22617194527403955,0.026705811147140192,96,False
std_atomic_number,chgnet_force_max_ev_ang,0.1888978191065498,0.06529985320449459,96,False
std_atomic_number,chgnet_force_mean_ev_ang,0.20028554085011005,0.050399618113516724,96,False
std_atomic_number,chgnet_force_rms_ev_ang,0.202021846249962,0.04839591631570742,96,False
std_atomic_number,chgnet_energy_per_atom_ev,-0.06256125393841569,0.544822533601241,96,False
mean_atomic_mass,chgnet_force_max_ev_ang,-0.25435431361909927,0.01239194395520475,96,True
mean_atomic_mass,chgnet_force_mean_ev_ang,-0.2672951709169832,0.008470248391473196,96,True
mean_atomic_mass,chgnet_force_rms_ev_ang,-0.24716494845360823,0.015191396467840672,96,False
mean_atomic_mass,chgnet_energy_per_atom_ev,0.22664134563212152,0.026383951705506163,96,False
std_atomic_mass,chgnet_force_max_ev_ang,0.1927428106348345,0.05991342157260239,96,False
std_atomic_mass,chgnet_force_mean_ev_ang,0.20434074877916442,0.04582300079016092,96,False
std_atomic_mass,chgnet_force_rms_ev_ang,0.20651112316874662,0.04351862096074346,96,False
std_atomic_mass,chgnet_energy_per_atom_ev,-0.04077590884427564,0.6932478910161028,96,False
oxygen_fraction,chgnet_force_max_ev_ang,0.06054460913837786,0.5578884527891044,96,False
oxygen_fraction,chgnet_force_mean_ev_ang,0.05978477025199501,0.5628500798788278,96,False
oxygen_fraction,chgnet_force_rms_ev_ang,0.057359752529496565,0.5788236543047824,96,False
oxygen_fraction,chgnet_energy_per_atom_ev,-0.23451538055041635,0.0214570174004368,96,False
transition_metal_fraction,chgnet_force_max_ev_ang,-0.037245883695535664,0.7186390694573935,96,False
transition_metal_fraction,chgnet_force_mean_ev_ang,-0.0530430409484868,0.6077644885650286,96,False
transition_metal_fraction,chgnet_force_rms_ev_ang,-0.033174030231197395,0.7483102081717974,96,False
transition_metal_fraction,chgnet_energy_per_atom_ev,-0.12022862311006824,0.24329035432992568,96,False
alkali_fraction,chgnet_force_max_ev_ang,0.0037700597244043595,0.9709194537300443,96,False
alkali_fraction,chgnet_force_mean_ev_ang,0.004476945922730176,0.9654699374212015,96,False
alkali_fraction,chgnet_force_rms_ev_ang,-0.0064163516463420335,0.950527593196387,96,False
alkali_fraction,chgnet_energy_per_atom_ev,0.2686530059380837,0.008130224055435935,96,True
