stage,method,category,item,count,share
screen16,C0,element,B,1,0.0055248618784530384
screen16,C0,element,Eu,55,0.30386740331491713
screen16,C0,element,F,7,0.03867403314917127
screen16,C0,element,Fe,15,0.08287292817679558
screen16,C0,element,Gd,2,0.011049723756906077
screen16,C0,element,Ge,8,0.04419889502762431
screen16,C0,element,H,2,0.011049723756906077
screen16,C0,element,In,1,0.0055248618784530384
screen16,C0,element,Li,11,0.06077348066298342
screen16,C0,element,Mg,1,0.0055248618784530384
screen16,C0,element,Mn,8,0.04419889502762431
screen16,C0,element,N,1,0.0055248618784530384
screen16,C0,element,Ni,13,0.0718232044198895
screen16,C0,element,O,39,0.2154696132596685
screen16,C0,element,Pd,1,0.0055248618784530384
screen16,C0,element,Sb,5,0.027624309392265192
screen16,C0,element,Si,6,0.03314917127071823
screen16,C0,element,Tl,3,0.016574585635359115
screen16,C0,element,Zn,2,0.011049723756906077
screen16,C0,family,B-Eu-Fe-O,1,0.0625
screen16,C0,family,Eu-Gd-O,1,0.0625
screen16,C0,family,Eu-Ge-Li,1,0.0625
screen16,C0,family,Eu-Ge-Zn,1,0.0625
screen16,C0,family,Eu-H-Tl,1,0.0625
screen16,C0,family,Eu-In-O,1,0.0625
screen16,C0,family,Eu-Li-O,1,0.0625
screen16,C0,family,Eu-Li-O-Si,1,0.0625
screen16,C0,family,Eu-N,1,0.0625
screen16,C0,family,Eu-O-Pd,1,0.0625
screen16,C0,family,Eu-O-Sb,1,0.0625
screen16,C0,family,F-Li-Mn-O,1,0.0625
screen16,C0,family,Fe-Li-Ni-Si,1,0.0625
screen16,C0,family,Fe-Mg-Mn-Ni,1,0.0625
screen16,C0,family,Fe-Mn-O-Zn,1,0.0625
screen16,C0,family,Mn-Ni-Si,1,0.0625
screen16,C0,formula,Eu10Sb5O,1,0.0625
screen16,C0,formula,Eu3Fe4BO10,1,0.0625
screen16,C0,formula,Eu3InO,1,0.0625
screen16,C0,formula,Eu3N,1,0.0625
screen16,C0,formula,Eu6PdO9,1,0.0625
screen16,C0,formula,Eu7Tl3H2,1,0.0625
screen16,C0,formula,Eu7ZnGe4,1,0.0625
screen16,C0,formula,EuGdO3,1,0.0625
screen16,C0,formula,Li2Fe7Si3Ni8,1,0.0625
screen16,C0,formula,Li3Eu6Si2O,1,0.0625
screen16,C0,formula,LiEu4O5,1,0.0625
screen16,C0,formula,LiEuGe,1,0.0625
screen16,C0,formula,LiMn4O2F7,1,0.0625
screen16,C0,formula,MgMn(FeNi2)2,1,0.0625
screen16,C0,formula,Mn2SiNi,1,0.0625
screen16,C0,formula,MnZn(FeO2)2,1,0.0625
screen16,C0,atom_count,10,2,0.125
screen16,C0,atom_count,12,4,0.25
screen16,C0,atom_count,14,1,0.0625
screen16,C0,atom_count,16,2,0.125
screen16,C0,atom_count,18,1,0.0625
screen16,C0,atom_count,20,1,0.0625
screen16,C0,atom_count,4,2,0.125
screen16,C0,atom_count,5,1,0.0625
screen16,C0,atom_count,8,2,0.125
screen16,M1,element,Al,4,0.022099447513812154
screen16,M1,element,As,10,0.055248618784530384
screen16,M1,element,B,3,0.016574585635359115
screen16,M1,element,C,1,0.0055248618784530384
screen16,M1,element,Co,1,0.0055248618784530384
screen16,M1,element,Cu,1,0.0055248618784530384
screen16,M1,element,Eu,29,0.16022099447513813
screen16,M1,element,F,5,0.027624309392265192
screen16,M1,element,Fe,5,0.027624309392265192
screen16,M1,element,Ga,1,0.0055248618784530384
screen16,M1,element,Gd,3,0.016574585635359115
screen16,M1,element,H,12,0.06629834254143646
screen16,M1,element,La,1,0.0055248618784530384
screen16,M1,element,Li,8,0.04419889502762431
screen16,M1,element,Mn,24,0.13259668508287292
screen16,M1,element,N,4,0.022099447513812154
screen16,M1,element,Ni,48,0.26519337016574585
screen16,M1,element,O,14,0.07734806629834254
screen16,M1,element,Os,2,0.011049723756906077
screen16,M1,element,Pt,4,0.022099447513812154
screen16,M1,element,Si,1,0.0055248618784530384
screen16,M1,family,Al-Eu-Pt,1,0.0625
screen16,M1,family,As-Eu-Li,2,0.125
screen16,M1,family,B-Eu-Ni,1,0.0625
screen16,M1,family,C-Eu-Ni,1,0.0625
screen16,M1,family,Co-H-Ni,1,0.0625
screen16,M1,family,Cu-Fe-H-Mn-Ni,1,0.0625
screen16,M1,family,Eu-La-O,1,0.0625
screen16,M1,family,Eu-Mn-N,1,0.0625
screen16,M1,family,Eu-O,1,0.0625
screen16,M1,family,F-Li-Mn-O,1,0.0625
screen16,M1,family,Fe-Mn-Ni-Si,1,0.0625
screen16,M1,family,Fe-Mn-Os,1,0.0625
screen16,M1,family,Fe-Ni,1,0.0625
