stage,method,seed,success,formula,num_atoms,elapsed_seconds,sampling_steps,corrector_steps_per_time,guidance_scale,target_dft_mag_density,checkpoint_sha256,adapter_checkpoint_sha256,dft_verified
screen16,C0,73000,True,Li2Fe7Si3Ni8,20,115.83131846389733,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
screen16,M1,73000,True,Mn3Ni12H5,20,125.70080083305947,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,7b55836bd69eb315465c2bb91230c2a6e04498d22054d39127805dd9196bc7bc,False
screen16,M2,73000,True,Mn7Ni8H5,20,119.94482855685055,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,9bdbaa254e8cec9cf3710e6028d003575b6d54f3a9f4ae6cd19313e21657bfd1,False
screen16,M2-DB,73000,True,Mn3Ni13H4,20,116.39969545789063,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,38fffcb25e577afa897ed437875ec0c59740c16ab2ead43dfcad35dd7ba40779,False
screen16,C0,73001,True,Eu3Fe4BO10,18,114.47661515604705,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
screen16,M1,73001,True,Li2Mn6(OF)5,18,116.88402788713574,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,7b55836bd69eb315465c2bb91230c2a6e04498d22054d39127805dd9196bc7bc,False
screen16,M2,73001,True,Fe7Ni11,18,125.01795161305927,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,9bdbaa254e8cec9cf3710e6028d003575b6d54f3a9f4ae6cd19313e21657bfd1,False
screen16,M2-DB,73001,True,Fe2Ni5Pd2,18,117.43953837407753,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,38fffcb25e577afa897ed437875ec0c59740c16ab2ead43dfcad35dd7ba40779,False
screen16,C0,73002,True,Eu7Tl3H2,12,115.18339095590636,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
screen16,M1,73002,True,EuNi2B,12,114.38833433808759,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,7b55836bd69eb315465c2bb91230c2a6e04498d22054d39127805dd9196bc7bc,False
screen16,M2,73002,True,EuNi2,12,115.02751549612731,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,9bdbaa254e8cec9cf3710e6028d003575b6d54f3a9f4ae6cd19313e21657bfd1,False
screen16,M2-DB,73002,True,EuSiNi,12,122.94492551498115,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,38fffcb25e577afa897ed437875ec0c59740c16ab2ead43dfcad35dd7ba40779,False
screen16,C0,73003,True,Li3Eu6Si2O,12,112.45520270196721,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
screen16,M1,73003,True,EuAlPt,12,116.82874911115505,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,7b55836bd69eb315465c2bb91230c2a6e04498d22054d39127805dd9196bc7bc,False
screen16,M2,73003,True,Li2Eu3AlO6,12,125.15802985010669,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,9bdbaa254e8cec9cf3710e6028d003575b6d54f3a9f4ae6cd19313e21657bfd1,False
screen16,M2-DB,73003,True,FeNi3,12,115.84575230302289,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,38fffcb25e577afa897ed437875ec0c59740c16ab2ead43dfcad35dd7ba40779,False
screen16,C0,73004,True,Eu3N,4,119.8472816417925,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
screen16,M1,73004,True,CoNi2H,4,116.62779257888906,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,7b55836bd69eb315465c2bb91230c2a6e04498d22054d39127805dd9196bc7bc,False
screen16,M2,73004,True,Eu2MgNi,4,120.65089196688496,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,9bdbaa254e8cec9cf3710e6028d003575b6d54f3a9f4ae6cd19313e21657bfd1,False
screen16,M2-DB,73004,True,CoNi3,4,117.78070437489077,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,38fffcb25e577afa897ed437875ec0c59740c16ab2ead43dfcad35dd7ba40779,False
screen16,C0,73005,True,MnZn(FeO2)2,8,115.18391964095645,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
