stage,comparison,metric,preferred_direction,n_pairs,reference_mean,candidate_mean,mean_delta_candidate_minus_reference,median_paired_delta,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_replicates,favorable_pairs,unfavorable_pairs,ties
screen16_exploratory,M2-DB-C0,e_hull_ev_per_atom,lower,16,0.09786846163189611,0.11281762924172173,0.01494916760982562,-0.03662062854515513,-0.04511688934021123,0.0866191482383613,20000,10,6,0
screen16_exploratory,M2-DB-C0,stable,higher,16,0.5,0.5,0.0,0.0,-0.4375,0.4375,20000,6,6,4
screen16_exploratory,M2-DB-C0,nus,higher,16,0.4375,0.3125,-0.125,0.0,-0.4375,0.1875,20000,3,5,8
screen16_exploratory,M2-DB-C0,novel,higher,16,0.875,0.75,-0.125,0.0,-0.375,0.125,20000,1,3,12
screen16_exploratory,M2-DB-C0,unique,higher,16,1.0,1.0,0.0,0.0,0.0,0.0,20000,0,0,16
screen16_exploratory,M2-DB-C0,rmsd_a,lower,16,0.03784801777808806,0.1502395245543979,0.11239150677630985,-0.009991846052041765,-0.010204408091492123,0.29985699348323364,20000,9,7,0
screen16_exploratory,M2-DB-C0,structure_force_mean_ev_per_a,lower,16,0.11859979669196491,0.13663584111503063,0.018036044423065736,-0.010932327052685632,-0.05411918773046954,0.11067990564462431,20000,10,6,0
screen16_exploratory,M2-DB-C0,structure_max_force_ev_per_a,lower,16,0.24068720365488858,0.2553701788595117,0.014682975204623125,-0.07722263475974431,-0.13378137213061533,0.20031162750179002,20000,11,5,0
screen16_exploratory,M2-DB-C0,relaxation_steps,lower,16,41.25,58.125,16.875,-2.5,-14.5,54.1875,20000,8,8,0
screen16_exploratory,M2-DB-M1,e_hull_ev_per_atom,lower,16,0.08624849582813937,0.11281762924172173,0.026569133413582358,-0.024440942336468652,-0.04014217393830458,0.10905900737366399,20000,10,6,0
screen16_exploratory,M2-DB-M1,stable,higher,16,0.625,0.5,-0.125,0.0,-0.4375,0.25,20000,3,5,8
screen16_exploratory,M2-DB-M1,nus,higher,16,0.5,0.3125,-0.1875,0.0,-0.5,0.125,20000,2,5,9
screen16_exploratory,M2-DB-M1,novel,higher,16,0.8125,0.75,-0.0625,0.0,-0.3125,0.1875,20000,2,3,11
screen16_exploratory,M2-DB-M1,unique,higher,16,1.0,1.0,0.0,0.0,0.0,0.0,20000,0,0,16
screen16_exploratory,M2-DB-M1,rmsd_a,lower,16,0.06193797384518244,0.1502395245543979,0.08830155070921546,-0.010649655091518766,-0.04921514464843981,0.28293887687301733,20000,10,6,0
screen16_exploratory,M2-DB-M1,structure_force_mean_ev_per_a,lower,16,0.16376485971922872,0.13663584111503063,-0.02712901860419807,-0.03740496760446462,-0.12857388314045498,0.06159243307272105,20000,10,6,0
screen16_exploratory,M2-DB-M1,structure_max_force_ev_per_a,lower,16,0.3908322604765078,0.2553701788595117,-0.1354620816169961,-0.0387158931414231,-0.4847220450214318,0.11830286235299252,20000,9,7,0
screen16_exploratory,M2-DB-M1,relaxation_steps,lower,16,51.5,58.125,6.625,-7.0,-27.4390625,45.0,20000,9,6,1
screen16_exploratory,M2-DB-M2,e_hull_ev_per_atom,lower,16,0.13310138872906607,0.11281762924172173,-0.020283759487344344,-0.07717669091125501,-0.08943940793455818,0.05653488847785522,20000,10,6,0
screen16_exploratory,M2-DB-M2,stable,higher,16,0.4375,0.5,0.0625,0.0,-0.3125,0.4375,20000,5,4,7
screen16_exploratory,M2-DB-M2,nus,higher,16,0.1875,0.3125,0.125,0.0,-0.1875,0.4375,20000,4,2,10
screen16_exploratory,M2-DB-M2,novel,higher,16,0.6875,0.75,0.0625,0.0,-0.125,0.25,20000,2,1,13
screen16_exploratory,M2-DB-M2,unique,higher,16,1.0,1.0,0.0,0.0,0.0,0.0,20000,0,0,16
screen16_exploratory,M2-DB-M2,rmsd_a,lower,16,0.03346838537568601,0.1502395245543979,0.11677113917871189,-0.0009207044389591161,0.00205574227049943,0.2960659001877737,20000,8,8,0
screen16_exploratory,M2-DB-M2,structure_force_mean_ev_per_a,lower,16,0.1490222510517435,0.13663584111503063,-0.012386409936712844,-0.02023075196207899,-0.10277758569159502,0.08549388009006727,20000,10,6,0
screen16_exploratory,M2-DB-M2,structure_max_force_ev_per_a,lower,16,0.2815412928522478,0.2553701788595117,-0.026171113992736104,-0.06865959700259983,-0.18260776760999592,0.1644000808752635,20000,10,6,0
screen16_exploratory,M2-DB-M2,relaxation_steps,lower,16,33.25,58.125,24.875,5.5,1.125,54.189062499999864,20000,6,10,0
