method,seed,formula,num_atoms,elapsed_seconds,sampling_steps,guidance_scale,target_dft_mag_density,adapter_parameter_l2,peak_allocated_bytes
C0,78000,CrFe4Ir,6,113.8943095849827,1000,2.0,0.1,,276185600
C0,78001,Eu3MgPb2,12,115.94101506494917,1000,2.0,0.1,,318350848
C0,78002,EuO,8,115.73324262886308,1000,2.0,0.1,,285227520
C0,78003,NaH2Pt,4,115.13128759805113,1000,2.0,0.1,,258553856
C0,78004,Mn6CoIrN3,11,113.47699694801122,1000,2.0,0.1,,308855296
C0,78005,Eu2(CoAs)5,12,113.21540403505787,1000,2.0,0.1,,313921024
C0,78006,Fe2Ni3W,12,128.4046785859391,1000,2.0,0.1,,314052608
C0,78007,Mn5V2FeO7,15,117.23483146214858,1000,2.0,0.1,,334228480
M1,78000,AlFe4Pd,6,122.31669515511021,1000,2.0,0.1,32.92327117919922,273996800
M1,78001,NaEuGe,12,115.50107933185063,1000,2.0,0.1,32.92327117919922,316858368
M1,78002,MnCu2Ni5,8,113.62370205298066,1000,2.0,0.1,32.92327117919922,287024640
M1,78003,MnAgHPd,4,117.90653890301473,1000,2.0,0.1,32.92327117919922,258134016
M1,78004,Mn6Ir2N3,11,114.72415556199849,1000,2.0,0.1,32.92327117919922,309572608
M1,78005,LiCo5Ni6,12,115.53000036510639,1000,2.0,0.1,32.92327117919922,317248512
M1,78006,FeNi3,12,122.75249948911369,1000,2.0,0.1,32.92327117919922,314199040
M1,78007,EuV2(FeO3)3,15,115.01762673491612,1000,2.0,0.1,32.92327117919922,335920640
M2,78000,AlFe2Ni3,6,116.53560274490155,1000,2.0,0.1,32.9241828918457,273251840
M2,78001,Eu2Ge3Pd,12,118.83178297895938,1000,2.0,0.1,32.9241828918457,314574336
M2,78002,Eu3MnO4,8,114.93812250508927,1000,2.0,0.1,32.9241828918457,285891072
M2,78003,MnNi,4,115.99285601801239,1000,2.0,0.1,32.9241828918457,257843712
M2,78004,Mn4FeIrN5,11,118.51303056394681,1000,2.0,0.1,32.9241828918457,308870144
M2,78005,Co5Ni7,12,122.78736100299284,1000,2.0,0.1,32.9241828918457,314685952
M2,78006,FeNi2,12,122.31186538795009,1000,2.0,0.1,32.9241828918457,313960448
M2,78007,Mn4V2Fe2H7,15,118.68787355697714,1000,2.0,0.1,32.9241828918457,336093696
