split,split_index,structure_id,formula,chemical_system,num_atoms,dft_mag_density,chgnet_energy_per_atom_ev,chgnet_force_rms_ev_ang,chgnet_force_mean_ev_ang,chgnet_force_max_ev_ang,minimum_distance_angstrom,volume_per_atom_ang3,quality_weight,quality_bin
train,0,alex<agm003158783>,AlNiPt,Al-Ni-Pt,3,-0.0001258031751427,-5.8841938972473145,0.06809218014483819,0.10347769702456285,0.1552165579631181,2.522374428202302,13.3981816460837,1.0,middle
train,1,alex<agm005072714>,KAlVF6,Al-F-K-V,18,0.022559793519174,-6.25494909286499,0.031560302201825124,0.0430743466005746,0.07707946771152406,1.8169372075016847,14.810087990044018,1.0,middle
train,2,alex<agm003057588>,CsBrCl3,Br-Cl-Cs,10,-0.0,-2.6950740814208984,0.24371544054521307,0.36620997918010323,0.6166784083647995,2.2984935281006003,44.218042721804196,0.75,high_force
train,3,alex<agm001141780>,TbEuAu2,Au-Eu-Tb,4,0.0675113410953525,-6.210179805755615,0.041437510542349135,0.050750569899597996,0.10150107741380568,3.119844356991491,26.179662351306227,1.0,middle
train,4,alex<agm003412288>,Pr2CdIn3,Cd-In-Pr,12,-3.353432492761351e-06,-3.5728542804718018,0.017781158596382077,0.021850758888398675,0.050817101725365625,2.8746470467102596,27.54147915527369,1.25,low_force
train,5,alex<agm002350283>,ErCuP2,Cu-Er-P,8,2.2408313968018578e-07,-5.708093643188477,0.11388226937815497,0.16236898759383692,0.3253892400850592,2.2842027004455168,16.73485641604243,0.75,high_force
train,6,alex<agm005022537>,NaCoAs2Pd,As-Co-Na-Pd,5,0.0129051485109762,-4.9510416984558105,0.011963676280034917,0.013112768021656193,0.0327643861257112,2.4500077257517106,18.17726638099238,1.25,low_force
train,7,mp-865223,LuMgCd2,Cd-Lu-Mg,4,2.031150305608745e-05,-2.236581325531006,6.222183309610496e-07,9.89074253323777e-07,1.4658952977845166e-06,3.092088055617185,22.75801473832432,1.25,low_force
train,8,alex<agm003035117>,AlTlTe2,Al-Te-Tl,8,8.183549394023316e-05,-3.7269458770751953,0.05121206949993482,0.07055132034188157,0.15353317504786532,2.654140373328147,34.42681722598531,1.0,middle
train,9,alex<agm005206862>,DyHoGaSn,Dy-Ga-Ho-Sn,4,-9.729675988895549e-08,-4.733779430389404,0.08099086654556092,0.10769103077030678,0.19998899734776182,2.7950428407256895,25.694594928447582,0.75,high_force
train,10,alex<agm001935987>,Y2InC,C-In-Y,4,8.604206973721359e-05,-6.6346330642700195,0.0033527978305951693,0.004107160909321647,0.008213156689540969,2.4947147226533763,23.12187028648733,1.25,low_force
train,11,alex<agm004647992>,Pr6AsPd2I3,As-I-Pd-Pr,12,0.0001102515856482,-5.118058681488037,0.052983306905299773,0.07586882804324484,0.12877231252143284,2.9136048324267305,32.095773980190955,1.0,middle
train,12,alex<agm004852393>,Cs2ZrPbO4,Cs-O-Pb-Zr,16,3.441575017489647e-05,-6.617776870727539,0.1148607681192302,0.1621607155196083,0.33650000540571745,1.9757707149332886,24.578172090268662,0.75,high_force
train,13,alex<agm003629006>,Tm2SiAu,Au-Si-Tm,8,0.0003492094571876,-5.266729354858398,0.04074976087923205,0.06565649003825333,0.08526323704674961,2.750532304185163,22.568437910982844,1.0,middle
train,14,alex<agm002020798>,CdSiPt,Cd-Pt-Si,6,5.386281880206292e-05,-4.582766532897949,0.15929739310254254,0.15930129240221585,0.47789280562014796,2.454671509010765,18.977189507282993,0.75,high_force
train,15,alex<agm003046590>,BeOsRu,Be-Os-Ru,6,-3.4275682984841174e-05,-8.195158958435059,0.460567128680318,0.6568317526419234,1.0797209735084694,2.417935444739123,12.012411371147394,0.75,high_force
train,16,alex<agm003300905>,Nd2Pt15Rh2,Nd-Pt-Rh,19,0.0001706326119062,-6.477618217468262,0.12250874505576362,0.13790760822899953,0.5856499729630419,2.6637188019176015,17.589001290314226,0.75,high_force
train,17,alex<agm004865141>,LaTb4Nd2Tm,La-Nd-Tb-Tm,8,0.0010403726638973,-4.653705596923828,0.021360907442577723,0.026161872446025032,0.05232349783357528,3.5686739686343403,33.16090813923498,1.25,low_force
train,18,alex<agm003521595>,Ti(GeBr4)2,Br-Ge-Ti,11,-4.8127772845150674e-08,-3.9946882724761963,0.045626754841683534,0.07264980598285563,0.105989422266173,2.37574607453618,39.66713733543596,1.0,middle
train,19,alex<agm003339304>,Zr3(Ga2Ni)2,Ga-Ni-Zr,9,-4.319302572050605e-05,-6.065954208374023,0.075592135587805,0.10722303148089099,0.23755398780707043,2.3764968708371366,17.2036552179411,0.75,high_force
train,20,alex<agm003318067>,K2Cu2F7,Cu-F-K,11,0.0055224751994031,-4.418667316436768,0.09603548414717625,0.14492900190838165,0.280796484121951,1.8261915521038568,16.498214835730142,0.75,high_force
train,21,alex<agm003188354>,MnAl,Al-Mn,4,-5.769380060661932e-07,-6.586881637573242,0.2605237340479854,0.3449044190353096,0.6358667016029386,2.4626102536764445,12.436342754486503,0.75,high_force
train,22,alex<agm002170075>,NaRhO2,Na-O-Rh,8,0.0,-6.088089942932129,0.04845412389507544,0.05934513542935474,0.11868929866715464,2.09806189496844,11.389282961402376,1.0,middle
train,23,alex<agm004772352>,RbIn(PPt2)2,In-P-Pt-Rb,8,3.398045358238087e-05,-5.388625144958496,0.06993074911418053,0.10444520980363738,0.15759626033309282,2.337855225253485,21.731961148584748,1.0,middle
train,24,alex<agm003677651>,Tb5ScBi6,Bi-Sc-Tb,12,-2.087384906416961e-06,-5.244912147521973,0.021291812862486444,0.02998523138132239,0.05016600249209962,3.0749491288752533,31.38295657948754,1.25,low_force
train,25,alex<agm002175812>,KRb(ClO4)2,Cl-K-O-Rb,12,0.0,-4.847506999969482,0.034322913811953785,0.050957061618294726,0.078777123452547,1.4610093144925966,17.40837635103732,1.0,middle
train,26,alex<agm003217815>,MnNi3,Mn-Ni,16,0.1135949065193318,-6.644842147827148,0.05341760182338987,0.09148452835919302,0.1030476429730962,2.4565568748812434,11.398468660268323,1.0,middle
train,27,alex<agm002180880>,Lu6Te2Rh,Lu-Rh-Te,9,0.0003142899345389,-5.416990280151367,0.03982585957020335,0.0555816786281503,0.09703110390181668,2.7821192767665828,25.237747082576924,1.0,middle
train,28,alex<agm004716791>,La8Si3HCl4,Cl-H-La-Si,16,0.0006739372342836,-5.495405673980713,0.10061784298316538,0.11647178745507983,0.27942751486909884,2.946415011555132,27.10118388551494,0.75,high_force
