method,category,item,count,share,value,reference_method
C0,summary,structure_count,,,32,
C0,summary,total_atom_count,,,290,
C0,summary,unique_element_count,,,34,
C0,summary,unique_atom_count_count,,,12,
C0,summary,unique_composition_family_count,,,31,
C0,summary,unique_reduced_formula_count,,,32,
C0,summary,element_entropy_nats,,,2.669654539274857,
C0,summary,atom_count_entropy_nats,,,2.279351688255802,
C0,summary,composition_family_entropy_nats,,,3.422414204014729,
C0,summary,atom_count_mean,,,9.0625,
C0,summary,atom_count_median,,,8.0,
C0,summary,atom_count_std,,,4.795424251304571,
C0,summary,atom_count_min,,,3,
C0,summary,atom_count_max,,,20,
C0,summary,largest_composition_family_share,,,0.0625,
C0,summary,largest_reduced_formula_share,,,0.03125,
C0,element_frequency,As,4,0.013793103448275862,,
C0,element_frequency,Au,3,0.010344827586206896,,
C0,element_frequency,B,3,0.010344827586206896,,
C0,element_frequency,Ba,1,0.0034482758620689655,,
C0,element_frequency,Ca,2,0.006896551724137931,,
C0,element_frequency,Cd,2,0.006896551724137931,,
C0,element_frequency,Co,15,0.05172413793103448,,
C0,element_frequency,Cr,1,0.0034482758620689655,,
C0,element_frequency,Eu,46,0.15862068965517243,,
C0,element_frequency,F,11,0.03793103448275862,,
C0,element_frequency,Fe,49,0.16896551724137931,,
C0,element_frequency,Gd,1,0.0034482758620689655,,
C0,element_frequency,Ge,3,0.010344827586206896,,
C0,element_frequency,H,11,0.03793103448275862,,
C0,element_frequency,Ir,3,0.010344827586206896,,
C0,element_frequency,K,2,0.006896551724137931,,
C0,element_frequency,Li,11,0.03793103448275862,,
C0,element_frequency,Mg,3,0.010344827586206896,,
C0,element_frequency,Mn,10,0.034482758620689655,,
C0,element_frequency,N,5,0.017241379310344827,,
C0,element_frequency,Nd,2,0.006896551724137931,,
C0,element_frequency,Ni,5,0.017241379310344827,,
C0,element_frequency,O,67,0.23103448275862068,,
C0,element_frequency,Rb,2,0.006896551724137931,,
C0,element_frequency,Rh,2,0.006896551724137931,,
C0,element_frequency,Sb,3,0.010344827586206896,,
C0,element_frequency,Si,4,0.013793103448275862,,
C0,element_frequency,Sm,1,0.0034482758620689655,,
C0,element_frequency,Sn,2,0.006896551724137931,,
C0,element_frequency,Sr,3,0.010344827586206896,,
C0,element_frequency,Tb,1,0.0034482758620689655,,
C0,element_frequency,Ti,5,0.017241379310344827,,
C0,element_frequency,W,1,0.0034482758620689655,,
C0,element_frequency,Zn,6,0.020689655172413793,,
C0,atom_count_frequency,10,4,0.125,,
C0,atom_count_frequency,11,1,0.03125,,
C0,atom_count_frequency,12,3,0.09375,,
C0,atom_count_frequency,14,2,0.0625,,
C0,atom_count_frequency,16,1,0.03125,,
C0,atom_count_frequency,18,1,0.03125,,
C0,atom_count_frequency,20,2,0.0625,,
C0,atom_count_frequency,3,2,0.0625,,
C0,atom_count_frequency,4,7,0.21875,,
C0,atom_count_frequency,6,3,0.09375,,
C0,atom_count_frequency,8,5,0.15625,,
C0,atom_count_frequency,9,1,0.03125,,
C0,composition_family_frequency,As-Eu-Mg-O,1,0.03125,,
C0,composition_family_frequency,As-Fe-H-Li,1,0.03125,,
C0,composition_family_frequency,As-Li-Mn-Ni-Sb,1,0.03125,,
C0,composition_family_frequency,Au-Eu-O,1,0.03125,,
C0,composition_family_frequency,Au-Eu-Tb,1,0.03125,,
C0,composition_family_frequency,B-Co-Fe,1,0.03125,,
C0,composition_family_frequency,Ba-Eu-Mg-Sr,1,0.03125,,
C0,composition_family_frequency,Ca-Eu-Zn,1,0.03125,,
C0,composition_family_frequency,Ca-N-O,1,0.03125,,
C0,composition_family_frequency,Cd-Eu,1,0.03125,,
C0,composition_family_frequency,Co-Fe-Rh,2,0.0625,,
C0,composition_family_frequency,Co-Si,1,0.03125,,
C0,composition_family_frequency,Cr-Eu-H,1,0.03125,,
C0,composition_family_frequency,Eu-F,1,0.03125,,
C0,composition_family_frequency,Eu-Gd-O-Ti,1,0.03125,,
C0,composition_family_frequency,Eu-Ge-Sn-Zn,1,0.03125,,
C0,composition_family_frequency,Eu-Ge-Zn,1,0.03125,,
C0,composition_family_frequency,Eu-K-O,1,0.03125,,
C0,composition_family_frequency,Eu-Li-O-Si,1,0.03125,,
C0,composition_family_frequency,Eu-Li-O-W,1,0.03125,,
C0,composition_family_frequency,Eu-Mg,1,0.03125,,
C0,composition_family_frequency,Eu-O-Rb,1,0.03125,,
C0,composition_family_frequency,Eu-Sn-Sr,1,0.03125,,
C0,composition_family_frequency,F-Li-Mn-O,1,0.03125,,
C0,composition_family_frequency,Fe-H-Zn,1,0.03125,,
C0,composition_family_frequency,Fe-Ir-N,1,0.03125,,
C0,composition_family_frequency,Fe-Ir-Zn,1,0.03125,,
C0,composition_family_frequency,Fe-Li-O-Ti,1,0.03125,,
C0,composition_family_frequency,Fe-Nd-Sm,1,0.03125,,
C0,composition_family_frequency,Fe-Ni,1,0.03125,,
C0,composition_family_frequency,Fe-Ni-Si,1,0.03125,,
C0,reduced_formula_frequency,BaSr2Eu6Mg,1,0.03125,,
C0,reduced_formula_frequency,CaEuZn,1,0.03125,,
C0,reduced_formula_frequency,CaN2O5,1,0.03125,,
C0,reduced_formula_frequency,Co3Si,1,0.03125,,
C0,reduced_formula_frequency,Eu2GdTi3O10,1,0.03125,,
C0,reduced_formula_frequency,Eu2MgAsO6,1,0.03125,,
C0,reduced_formula_frequency,Eu2ZnGe,1,0.03125,,
C0,reduced_formula_frequency,Eu3Mg,1,0.03125,,
C0,reduced_formula_frequency,Eu4Zn2SnGe2,1,0.03125,,
C0,reduced_formula_frequency,EuAuO2,1,0.03125,,
C0,reduced_formula_frequency,EuCd,1,0.03125,,
C0,reduced_formula_frequency,EuCrH6,1,0.03125,,
C0,reduced_formula_frequency,EuF2,1,0.03125,,
C0,reduced_formula_frequency,Fe10Co7B3,1,0.03125,,
C0,reduced_formula_frequency,Fe2Co3Rh,1,0.03125,,
C0,reduced_formula_frequency,Fe2Ni,1,0.03125,,
C0,reduced_formula_frequency,Fe3Co2Rh,1,0.03125,,
C0,reduced_formula_frequency,Fe3Ir2N3,1,0.03125,,
C0,reduced_formula_frequency,Fe6SiNi,1,0.03125,,
C0,reduced_formula_frequency,K2Eu4O5,1,0.03125,,
C0,reduced_formula_frequency,Li2Eu5WO10,1,0.03125,,
C0,reduced_formula_frequency,Li3Ti2(FeO2)5,1,0.03125,,
C0,reduced_formula_frequency,LiEuSiO4,1,0.03125,,
C0,reduced_formula_frequency,LiFe2AsH2,1,0.03125,,
C0,reduced_formula_frequency,LiMn3(OF)3,1,0.03125,,
C0,reduced_formula_frequency,LiMn7Ni2Sb3As,1,0.03125,,
C0,reduced_formula_frequency,Nd2SmFe9,1,0.03125,,
C0,reduced_formula_frequency,RbEuO3,1,0.03125,,
C0,reduced_formula_frequency,SrEu2Sn,1,0.03125,,
C0,reduced_formula_frequency,TbEu2Au,1,0.03125,,
C0,reduced_formula_frequency,ZnFe2Ir,1,0.03125,,
C0,reduced_formula_frequency,ZnFeH,1,0.03125,,
M1,summary,structure_count,,,32,
M1,summary,total_atom_count,,,290,
M1,summary,unique_element_count,,,29,
M1,summary,unique_atom_count_count,,,12,
M1,summary,unique_composition_family_count,,,32,
M1,summary,unique_reduced_formula_count,,,32,
M1,summary,element_entropy_nats,,,2.511614786357167,
M1,summary,atom_count_entropy_nats,,,2.279351688255802,
M1,summary,composition_family_entropy_nats,,,3.4657359027997265,
M1,summary,atom_count_mean,,,9.0625,
M1,summary,atom_count_median,,,8.0,
M1,summary,atom_count_std,,,4.795424251304571,
M1,summary,atom_count_min,,,3,
M1,summary,atom_count_max,,,20,
M1,summary,largest_composition_family_share,,,0.03125,
M1,summary,largest_reduced_formula_share,,,0.03125,
M1,element_frequency,As,7,0.02413793103448276,,
M1,element_frequency,Au,2,0.006896551724137931,,
M1,element_frequency,Be,1,0.0034482758620689655,,
M1,element_frequency,Cd,2,0.006896551724137931,,
M1,element_frequency,Co,9,0.03103448275862069,,
M1,element_frequency,Eu,36,0.12413793103448276,,
