method,seed,success,formula,num_atoms,elapsed_seconds,sampling_steps,corrector_steps_per_time,guidance_scale,target_dft_mag_density,checkpoint_sha256,adapter_checkpoint_sha256,dft_verified
C0,70000,True,LiEuSiO4,14,119.01104021910578,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
M1,70000,True,Eu7Pd6Au,14,116.95054819900542,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,7b55836bd69eb315465c2bb91230c2a6e04498d22054d39127805dd9196bc7bc,False
M2,70000,True,LiMn4FeO8,14,114.58513114717789,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,9bdbaa254e8cec9cf3710e6028d003575b6d54f3a9f4ae6cd19313e21657bfd1,False
C0,70001,True,Fe10Co7B3,20,113.7092135809362,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
M1,70001,True,MgMn(FeO3)2,20,123.94346952601336,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,7b55836bd69eb315465c2bb91230c2a6e04498d22054d39127805dd9196bc7bc,False
M2,70001,True,Li5Mn2Ni3O10,20,118.0928449081257,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,9bdbaa254e8cec9cf3710e6028d003575b6d54f3a9f4ae6cd19313e21657bfd1,False
C0,70002,True,Fe2Co3Rh,6,115.01829668600112,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
M1,70002,True,Fe3Ni2Rh,6,114.88937022094615,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,7b55836bd69eb315465c2bb91230c2a6e04498d22054d39127805dd9196bc7bc,False
M2,70002,True,Co2Rh,6,116.08375936397351,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,9bdbaa254e8cec9cf3710e6028d003575b6d54f3a9f4ae6cd19313e21657bfd1,False
C0,70003,True,LiMn7Ni2Sb3As,14,114.31408675620332,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
