comparison,metric,preferred_direction,n_pairs,other_mean,m2_mean,mean_delta_m2_minus_other,median_paired_delta,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_replicates,favorable_pairs,unfavorable_pairs,ties,leave_one_out_delta_min,leave_one_out_delta_max,leave_one_out_sign_robust
M2-C0,e_hull_ev_per_atom,lower,32,0.1318584969063746,0.0819031304759565,-0.049955366430418105,-0.03014203186903286,-0.09343920747869389,-0.009098668238004015,20000,23,9,0,-0.05623875167917108,-0.03905904895864388,True
M2-C0,stable,higher,32,0.59375,0.65625,0.0625,0.0,-0.15625,0.28125,20000,8,6,18,0.03225806451612903,0.0967741935483871,True
M2-C0,novel_unique_stable,higher,32,0.3125,0.3125,0.0,0.0,-0.21875,0.21875,20000,6,6,20,-0.03225806451612903,0.03225806451612903,False
M2-C0,novel,higher,32,0.6875,0.5625,-0.125,0.0,-0.28125,0.03125,20000,2,6,24,-0.16129032258064516,-0.0967741935483871,True
M2-C0,unique,higher,32,1.0,0.96875,-0.03125,0.0,-0.09375,0.0,20000,0,1,31,-0.03225806451612903,0.0,True
M2-C0,rmsd_a,lower,32,0.09477097590974956,0.05314676982671668,-0.04162420608303288,-0.006635455821114312,-0.15060276232097897,0.04946628700767708,20000,23,9,0,-0.06765868604235027,-0.00010617289261522482,True
M2-C0,atomic_force_mean_ev_per_a,lower,32,0.2023108620318875,0.08928607790350895,-0.11302478412837855,-0.03345515978167527,-0.20126087209871943,-0.03384750206673262,20000,22,10,0,-0.1302785021930115,-0.08881038194962985,True
M2-C0,structure_max_force_ev_per_a,lower,32,0.46767704628747386,0.1798093058913329,-0.287867740396141,-0.08747254762775086,-0.49796568008530157,-0.10361332058525685,20000,20,12,0,-0.31864582849011236,-0.2284918108544223,True
M2-C0,relaxation_steps,lower,32,51.96875,27.09375,-24.875,-10.5,-47.21875,-5.53125,20000,22,10,0,-28.225806451612904,-19.322580645161292,True
M2-M1,e_hull_ev_per_atom,lower,32,0.10237888680351315,0.0819031304759565,-0.020475756327556646,-0.008611233516865102,-0.0590948079398952,0.015214924107050708,20000,18,14,0,-0.02645690589848085,-0.011544993926717121,True
M2-M1,stable,higher,32,0.6875,0.65625,-0.03125,0.0,-0.25,0.1875,20000,6,7,19,-0.06451612903225806,0.0,True
M2-M1,novel_unique_stable,higher,32,0.4375,0.3125,-0.125,0.0,-0.34375,0.09375,20000,4,8,20,-0.16129032258064516,-0.0967741935483871,True
M2-M1,novel,higher,32,0.65625,0.5625,-0.09375,0.0,-0.3125,0.125,20000,5,8,19,-0.12903225806451613,-0.06451612903225806,True
M2-M1,unique,higher,32,1.0,0.96875,-0.03125,0.0,-0.09375,0.0,20000,0,1,31,-0.03225806451612903,0.0,True
M2-M1,rmsd_a,lower,32,0.019938805343739336,0.05314676982671668,0.033207964482977345,-0.00012940117931131223,-0.0074406765694057,0.09518621549113586,20000,16,16,0,0.008293199910380291,0.03839099207872593,True
M2-M1,atomic_force_mean_ev_per_a,lower,32,0.08886822169237465,0.08928607790350895,0.00041785621113431086,0.0001377847821024303,-0.04188536228848648,0.046544237658096795,20000,14,18,0,-0.01563453088196089,0.012370657327937462,False
M2-M1,structure_max_force_ev_per_a,lower,32,0.18387342339726634,0.1798093058913329,-0.004064117505933452,-0.0020285885644897813,-0.08471073455020324,0.09110521076040824,20000,17,15,0,-0.034641972047943496,0.011599361560662038,False
M2-M1,relaxation_steps,lower,32,25.96875,27.09375,1.125,0.5,-9.40625,12.1875,20000,14,16,2,-1.967741935483871,3.870967741935484,False
