stage,method,seed,success,formula,num_atoms,elapsed_seconds,sampling_steps,corrector_steps_per_time,guidance_scale,target_dft_mag_density,checkpoint_sha256,adapter_checkpoint_sha256,dft_verified
screen16,C0,71000,True,Gd2Co3Ni4,9,115.19630769803189,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
screen16,M1,71000,True,Eu2Ni7,9,116.44971501780674,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,7b55836bd69eb315465c2bb91230c2a6e04498d22054d39127805dd9196bc7bc,False
screen16,M2,71000,True,Eu2Ni7,9,113.48303188802674,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,9bdbaa254e8cec9cf3710e6028d003575b6d54f3a9f4ae6cd19313e21657bfd1,False
screen16,M2-L1,71000,True,Co4Ni5,9,124.22958932816982,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,76eecaf64ccf81c08fa34839366ee352b63704434c023f15d5cd04acf7222693,False
screen16,M2-L2,71000,True,Co4Ni5,9,118.69403897505254,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,83421ca821f44baee339cb08ddbb8b3c77be4bb97952001e8be1e491d858dcb2,False
screen16,C0,71001,True,Mn4FePd5,10,115.13936481904238,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
screen16,M1,71001,True,EuMnN3,10,125.32561165490188,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,7b55836bd69eb315465c2bb91230c2a6e04498d22054d39127805dd9196bc7bc,False
screen16,M2,71001,True,LiMn3OF5,10,117.04120928281918,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,9bdbaa254e8cec9cf3710e6028d003575b6d54f3a9f4ae6cd19313e21657bfd1,False
screen16,M2-L1,71001,True,LiMn2FeF6,10,116.24895764701068,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,76eecaf64ccf81c08fa34839366ee352b63704434c023f15d5cd04acf7222693,False
screen16,M2-L2,71001,True,Zn2Fe3Pd5,10,116.68049052008428,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,83421ca821f44baee339cb08ddbb8b3c77be4bb97952001e8be1e491d858dcb2,False
screen16,C0,71002,True,Fe7Ni5,12,117.42328009009361,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
screen16,M1,71002,True,FeNi,12,116.40034348401241,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,7b55836bd69eb315465c2bb91230c2a6e04498d22054d39127805dd9196bc7bc,False
screen16,M2,71002,True,Fe5Ni7,12,115.24486387497745,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,9bdbaa254e8cec9cf3710e6028d003575b6d54f3a9f4ae6cd19313e21657bfd1,False
screen16,M2-L1,71002,True,Eu7Ge5,12,114.69869463192299,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,76eecaf64ccf81c08fa34839366ee352b63704434c023f15d5cd04acf7222693,False
screen16,M2-L2,71002,True,FeNi,12,115.50102781597525,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,83421ca821f44baee339cb08ddbb8b3c77be4bb97952001e8be1e491d858dcb2,False
screen16,C0,71003,True,Al2Fe11H7,20,115.22675664792769,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
screen16,M1,71003,True,Mn2FeCo13B4,20,116.80554619804025,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,7b55836bd69eb315465c2bb91230c2a6e04498d22054d39127805dd9196bc7bc,False
screen16,M2,71003,True,LiMn3FeO5,20,115.68212030408904,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,9bdbaa254e8cec9cf3710e6028d003575b6d54f3a9f4ae6cd19313e21657bfd1,False
screen16,M2-L1,71003,True,MgTiMn4Fe2HO11,20,119.90161917312071,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,76eecaf64ccf81c08fa34839366ee352b63704434c023f15d5cd04acf7222693,False
