stage,comparison,metric,preferred_direction,n_pairs,reference_mean,candidate_mean,mean_delta_candidate_minus_reference,median_paired_delta,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_replicates,favorable_pairs,unfavorable_pairs,ties,leave_one_out_delta_min,leave_one_out_delta_max
screen16_exploratory,M2-L1-C0,e_hull_ev_per_atom,lower,16,0.12055695347912965,0.11709558944903675,-0.003461364030092895,-0.01771093100227894,-0.06661744840346019,0.058977903659646905,20000,9,7,0,-0.019627584811135593,0.016321676117060945
screen16_exploratory,M2-L1-C0,stable,higher,16,0.375,0.5,0.125,0.0,-0.1875,0.4375,20000,5,3,8,0.06666666666666667,0.2
screen16_exploratory,M2-L1-C0,nus,higher,16,0.3125,0.375,0.0625,0.0,-0.25,0.375,20000,4,3,9,0.0,0.13333333333333333
screen16_exploratory,M2-L1-C0,novel,higher,16,0.9375,0.875,-0.0625,0.0,-0.1875,0.0,20000,0,1,15,-0.06666666666666667,0.0
screen16_exploratory,M2-L1-C0,unique,higher,16,1.0,1.0,0.0,0.0,0.0,0.0,20000,0,0,16,0.0,0.0
screen16_exploratory,M2-L1-C0,rmsd_a,lower,16,0.04693742969480348,0.10410208728889843,0.05716465759409496,0.002299893720773553,-0.025463830048912305,0.15414881588385307,20000,7,9,0,0.022419190502520014,0.07772531160338327
screen16_exploratory,M2-L1-C0,structure_force_mean_ev_per_a,lower,16,0.20638892525823063,0.18679853729999263,-0.019590387958238017,-0.03492816810391773,-0.17430484913493158,0.13482386889377307,20000,9,7,0,-0.07246425597369507,0.03534225183636124
screen16_exploratory,M2-L1-C0,structure_max_force_ev_per_a,lower,16,0.4382357448724925,0.494639535922703,0.05640379105021058,-0.07576131761263265,-0.3230682186742614,0.5387036124860416,20000,9,7,0,-0.1375671644679865,0.1699088218702964
screen16_exploratory,M2-L1-M1,e_hull_ev_per_atom,lower,16,0.12825867833440652,0.11709558944903675,-0.011163088885369765,-0.006782114199965772,-0.06573975010607025,0.04810870367973337,20000,9,7,0,-0.03046464479261495,-0.0005946826942830441
screen16_exploratory,M2-L1-M1,stable,higher,16,0.4375,0.5,0.0625,0.0,-0.25,0.375,20000,4,3,9,0.0,0.13333333333333333
screen16_exploratory,M2-L1-M1,nus,higher,16,0.25,0.375,0.125,0.0,-0.125,0.375,20000,3,1,12,0.06666666666666667,0.2
screen16_exploratory,M2-L1-M1,novel,higher,16,0.8125,0.875,0.0625,0.0,-0.1875,0.3125,20000,3,2,11,0.0,0.13333333333333333
screen16_exploratory,M2-L1-M1,unique,higher,16,1.0,1.0,0.0,0.0,0.0,0.0,20000,0,0,16,0.0,0.0
screen16_exploratory,M2-L1-M1,rmsd_a,lower,16,0.09044609194725242,0.10410208728889843,0.01365599534164601,-0.0003089086766907515,-0.057631226363451867,0.08485246703751512,20000,8,8,0,-0.009116433334386498,0.03887939327776365
screen16_exploratory,M2-L1-M1,structure_force_mean_ev_per_a,lower,16,0.3725059749140993,0.18679853729999263,-0.18570743761410669,-0.07125158012024714,-0.47831919171660986,-0.008290752530723408,20000,12,4,0,-0.21265542488220426,-0.052722451797016255
screen16_exploratory,M2-L1-M1,structure_max_force_ev_per_a,lower,16,1.1775406343829085,0.494639535922703,-0.6829010984602052,-0.09151548216352798,-1.8727515125403866,-0.017642733028127265,20000,12,4,0,-0.759187503948388,-0.12407757182929385
screen16_exploratory,M2-L1-M2,e_hull_ev_per_atom,lower,16,0.13427183927841302,0.11709558944903675,-0.017176249829376267,0.0014125350101732437,-0.09213375946741148,0.05658457132643718,20000,8,8,0,-0.03762601692271061,0.004752965651745988
screen16_exploratory,M2-L1-M2,stable,higher,16,0.4375,0.5,0.0625,0.0,-0.3125,0.4375,20000,5,4,7,0.0,0.13333333333333333
screen16_exploratory,M2-L1-M2,nus,higher,16,0.125,0.375,0.25,0.0,-0.0625,0.5625,20000,6,2,8,0.2,0.3333333333333333
screen16_exploratory,M2-L1-M2,novel,higher,16,0.625,0.875,0.25,0.0,-0.0625,0.5625,20000,6,2,8,0.2,0.3333333333333333
screen16_exploratory,M2-L1-M2,unique,higher,16,1.0,1.0,0.0,0.0,0.0,0.0,20000,0,0,16,0.0,0.0
screen16_exploratory,M2-L1-M2,rmsd_a,lower,16,0.06941626971936912,0.10410208728889843,0.03468581756952931,-0.0008243551349420364,-0.08255381291664488,0.14817488156378966,20000,8,8,0,0.0004925240594659893,0.0766359547386641
screen16_exploratory,M2-L1-M2,structure_force_mean_ev_per_a,lower,16,0.14378964249808812,0.18679853729999263,0.043008894801904465,-0.01839368853529432,-0.07285805226526469,0.20591319188058602,20000,10,6,0,-0.02400815838376828,0.06202241488549683
screen16_exploratory,M2-L1-M2,structure_max_force_ev_per_a,lower,16,0.2867053347348874,0.494639535922703,0.20793420118781555,-0.06051469899633419,-0.1067625181176326,0.7228954631444342,20000,10,6,0,-0.02300638486819772,0.2428283818683834
screen16_exploratory,M2-L2-C0,e_hull_ev_per_atom,lower,16,0.12055695347912965,0.10084573964550486,-0.019711213833624786,-0.005064171057859834,-0.06834706170411435,0.02058849025740238,20000,9,7,0,-0.028864637411465863,-0.0010120056330084873
screen16_exploratory,M2-L2-C0,stable,higher,16,0.375,0.5625,0.1875,0.0,0.0,0.375,20000,3,0,13,0.13333333333333333,0.2
screen16_exploratory,M2-L2-C0,nus,higher,16,0.3125,0.25,-0.0625,0.0,-0.25,0.125,20000,1,2,13,-0.13333333333333333,0.0
screen16_exploratory,M2-L2-C0,novel,higher,16,0.9375,0.6875,-0.25,0.0,-0.5,-0.0625,20000,0,4,12,-0.26666666666666666,-0.2
screen16_exploratory,M2-L2-C0,unique,higher,16,1.0,1.0,0.0,0.0,0.0,0.0,20000,0,0,16,0.0,0.0
screen16_exploratory,M2-L2-C0,rmsd_a,lower,16,0.04693742969480348,0.02658747194312918,-0.02034995775167429,0.0013942664176909768,-0.05841907793237814,0.010258483946074834,20000,8,8,0,-0.028247104653877697,-0.004902793393951174
screen16_exploratory,M2-L2-C0,structure_force_mean_ev_per_a,lower,16,0.20638892525823063,0.07718544590282561,-0.12920347935540502,-0.04183348356178927,-0.2515346259521415,-0.03323569025720864,20000,12,4,0,-0.14301666604260654,-0.08138764253615302
screen16_exploratory,M2-L2-C0,structure_max_force_ev_per_a,lower,16,0.4382357448724925,0.1546310404112426,-0.28360470446124986,-0.11037793876776851,-0.5407215642626091,-0.07297665457769927,20000,12,4,0,-0.31897381969690936,-0.19200513570519356
screen16_exploratory,M2-L2-M1,e_hull_ev_per_atom,lower,16,0.12825867833440652,0.10084573964550486,-0.027412938688901656,0.01269136276936944,-0.083376559567198,0.024587183967493,20000,6,9,1,-0.03763568157834734,-0.01434108628144326
screen16_exploratory,M2-L2-M1,stable,higher,16,0.4375,0.5625,0.125,0.0,-0.1875,0.4375,20000,4,2,10,0.06666666666666667,0.2
screen16_exploratory,M2-L2-M1,nus,higher,16,0.25,0.25,0.0,0.0,-0.3125,0.3125,20000,3,3,10,-0.06666666666666667,0.06666666666666667
screen16_exploratory,M2-L2-M1,novel,higher,16,0.8125,0.6875,-0.125,0.0,-0.375,0.125,20000,1,3,12,-0.2,-0.06666666666666667
screen16_exploratory,M2-L2-M1,unique,higher,16,1.0,1.0,0.0,0.0,0.0,0.0,20000,0,0,16,0.0,0.0
