comparison,metric,preferred_direction,unit,n_pairs,candidate_mean,baseline_mean,mean_delta_candidate_minus_baseline,median_paired_delta,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_resamples,bootstrap_seed,favorable_pairs,unfavorable_pairs,ties,leave_one_out_delta_min,leave_one_out_delta_max
TCL-C0,e_hull,lower,eV/atom,8,0.09939296608876869,0.07795416372860797,0.021438802360160714,0.006964114035612035,-0.013732899473332913,0.06894765468511954,20000,20260918,3,5,0,0.0009257360621309932,0.029235610892014714
TCL-C0,stable,higher,percentage_points,8,50.0,62.5,-12.5,0.0,-37.5,0.0,20000,20260918,0,1,7,-14.285714285714286,0.0
TCL-C0,nus,higher,percentage_points,8,37.5,25.0,12.5,0.0,-25.0,50.0,20000,20260918,2,1,5,0.0,28.571428571428573
TCL-C0,novel,higher,percentage_points,8,87.5,62.5,25.0,0.0,0.0,62.5,20000,20260918,2,0,6,14.285714285714286,28.571428571428573
TCL-C0,unique,higher,percentage_points,8,100.0,100.0,0.0,0.0,0.0,0.0,20000,20260918,0,0,8,0.0,0.0
TCL-C0,rmsd,lower,angstrom,8,0.1488175611751993,0.028621574195810046,0.12019598697938924,0.020601353860690737,0.003590279788908435,0.27584893285889767,20000,20260918,2,6,0,0.05466465177847129,0.1469856537881872
TCL-C0,atomic_force_mean,lower,eV/angstrom,8,0.1909568491141544,0.17218507868846772,0.01877177042568668,0.022077099436420722,-0.07802964561038558,0.09340657899791777,20000,20260918,1,7,0,-0.003788614038710717,0.060926075594255204
TCL-C0,structure_max_force,lower,eV/angstrom,8,0.3270728939304877,0.34824315008960155,-0.02117025615911381,0.06783499224448959,-0.23709940221682818,0.10742941556910812,20000,20260918,1,7,0,-0.04736837618153578,0.0810854814114111
TCL-C0,relaxation_steps,lower,steps,8,70.0,42.0,28.0,12.0,-11.0,70.25312499999973,20000,20260918,2,6,0,12.0,41.714285714285715
GBSA-TCL-C0,e_hull,lower,eV/atom,8,0.0692781802481155,0.07795416372860797,-0.008675983480492477,-0.01256463094380722,-0.051036611243595265,0.031567911389197234,20000,20260918,5,3,0,-0.022730886528684633,0.007718039015225513
GBSA-TCL-C0,stable,higher,percentage_points,8,87.5,62.5,25.0,0.0,0.0,62.5,20000,20260918,2,0,6,14.285714285714286,28.571428571428573
GBSA-TCL-C0,nus,higher,percentage_points,8,75.0,25.0,50.0,50.0,12.5,87.5,20000,20260918,4,0,4,42.857142857142854,57.142857142857146
GBSA-TCL-C0,novel,higher,percentage_points,8,87.5,62.5,25.0,0.0,0.0,62.5,20000,20260918,2,0,6,14.285714285714286,28.571428571428573
GBSA-TCL-C0,unique,higher,percentage_points,8,100.0,100.0,0.0,0.0,0.0,0.0,20000,20260918,0,0,8,0.0,0.0
GBSA-TCL-C0,rmsd,lower,angstrom,8,0.03429665019330397,0.028621574195810046,0.0056750759974939155,-0.0016582533690394094,-0.03858769233382174,0.054612911037961426,20000,20260918,5,3,0,-0.01272136459606149,0.02203782736588252
GBSA-TCL-C0,atomic_force_mean,lower,eV/angstrom,8,0.06013737501587117,0.17218507868846772,-0.11204770367259655,-0.042033555747859705,-0.23765758472688175,-0.003585797150065065,20000,20260918,6,2,0,-0.13937046721814314,-0.06579937161512753
GBSA-TCL-C0,structure_max_force,lower,eV/angstrom,8,0.09832524594798922,0.34824315008960155,-0.2499179041416123,-0.06106475659492501,-0.524493602933321,-0.01815812748346993,20000,20260918,5,3,0,-0.29312000113337605,-0.1630142000736814
GBSA-TCL-C0,relaxation_steps,lower,steps,8,21.625,42.0,-20.375,-3.5,-47.0,1.5,20000,20260918,5,2,1,-24.714285714285715,-9.571428571428571
GBSA-TCL-TCL,e_hull,lower,eV/atom,8,0.0692781802481155,0.09939296608876869,-0.03011478584065319,-0.031900169319798,-0.07611465309329524,0.015770482195947677,20000,20260918,6,2,0,-0.046052639602195126,-0.01597343786717076
GBSA-TCL-TCL,stable,higher,percentage_points,8,87.5,50.0,37.5,0.0,12.5,75.0,20000,20260918,3,0,5,28.571428571428573,42.857142857142854
GBSA-TCL-TCL,nus,higher,percentage_points,8,75.0,37.5,37.5,0.0,12.5,75.0,20000,20260918,3,0,5,28.571428571428573,42.857142857142854
GBSA-TCL-TCL,novel,higher,percentage_points,8,87.5,87.5,0.0,0.0,0.0,0.0,20000,20260918,0,0,8,0.0,0.0
GBSA-TCL-TCL,unique,higher,percentage_points,8,100.0,100.0,0.0,0.0,0.0,0.0,20000,20260918,0,0,8,0.0,0.0
GBSA-TCL-TCL,rmsd,lower,angstrom,8,0.03429665019330397,0.1488175611751993,-0.11452091098189532,-0.02711954796757017,-0.2869011442113161,0.01755738156907223,20000,20260918,6,2,0,-0.1488301022164582,-0.04298413962761315
GBSA-TCL-TCL,atomic_force_mean,lower,eV/angstrom,8,0.06013737501587117,0.1909568491141544,-0.13081947409828323,-0.07503410477214773,-0.2810853940414553,-0.024161644055642646,20000,20260918,7,1,0,-0.15616408762901632,-0.06201075757641682
GBSA-TCL-TCL,structure_max_force,lower,eV/angstrom,8,0.09832524594798922,0.3270728939304877,-0.2287476479824985,-0.09813940568197739,-0.4749693726694896,-0.055828801428716865,20000,20260918,7,1,0,-0.261966508790712,-0.11564582389214562
GBSA-TCL-TCL,relaxation_steps,lower,steps,8,21.625,70.0,-48.375,-18.0,-100.125,-10.25,20000,20260918,8,0,0,-55.142857142857146,-26.571428571428573
