method,seed,formula,num_atoms,e_hull_ev_per_atom,stable,nus,novel,unique,rmsd_a,atomic_force_mean_ev_per_a,structure_max_force_ev_per_a,relaxation_steps,tail_flags,generation_seconds,dft_verified
C0,84000,LiFe3O4,8,0.05482860536254908,True,False,False,True,0.01575458241959419,0.10901342481912565,0.17577299133397487,22,,115.65360307903028,False
C0,84001,Fe5Co3,8,0.04419887028320346,True,False,False,True,0.003977452559493104,0.05211665673628479,0.11569346204821646,16,,115.15156150097027,False
C0,84002,Eu3Ti(FeO3)3,16,0.13727422685139956,False,False,True,True,0.11089086539653342,0.4572667566363667,0.8973248743086304,122,,115.10437750001438,False
C0,84003,Eu2HNO6,10,-0.021571389180774503,True,True,True,True,0.038291416748732855,0.36790125496647774,0.9022339826900637,68,,114.70184509502724,False
C0,84004,Mn2GeS4,7,0.05316759304129537,True,True,True,True,0.004501738080131528,0.04604938443213575,0.061721613531073534,29,,112.73240649909712,False
C0,84005,SrEu2Hg,4,0.030422485513509123,True,False,False,True,0.0013657139107240914,0.00884232065707483,0.017385359974751744,1,,114.79638871294446,False
C0,84006,Mn3SiC,10,0.1366488752011712,False,False,True,True,0.03572866859833426,0.195093003510318,0.3018981735161299,40,,124.89984059589916,False
C0,84007,EuGdO3,10,0.1886640427565105,False,False,True,True,0.01846215585293693,0.14119782774995826,0.31391474331397146,38,,115.5879240289796,False
TCL,84000,EuZnGe2,8,0.0857241266381843,True,True,True,True,0.026331178812087262,0.11591030668537446,0.2710901173460453,25,,113.856739543844,False
TCL,84001,EuFeN2,8,0.08869174832031312,True,True,True,True,0.012784185051829933,0.08473547726566599,0.15604632052512518,29,,122.50498101301493,False
TCL,84002,Mn12PC3,16,0.14553237421811183,False,False,True,True,0.04355918471433696,0.6339612183128351,1.0595414583064704,54,MaxF>1,123.46000789711252,False
TCL,84003,LaGd4DyCo3I,10,0.14345887726559425,False,False,True,True,0.6172067501345477,0.09159288921218475,0.16527356353727568,208,RMSD>0.5;Steps>200,114.24307557800785,False
TCL,84004,Gd2Al3Fe2,7,0.02002873567847807,True,True,True,True,0.03512784940901993,0.05758476277559599,0.09733024309217972,28,,115.2556065618992,False
TCL,84005,EuHg,4,0.01133978619506859,True,False,False,True,0.0013540092648783547,0.016171495263384024,0.02543456861062322,12,,113.51681498507968,False
TCL,84006,Mn5VSiGeC2,10,0.10603395693337703,False,False,True,True,0.17799618942654577,0.2880261500303588,0.43253136560765115,88,,120.64091142988764,False
TCL,84007,Eu2Mn3C5,10,0.1943341234610223,False,False,True,True,0.27618114258834836,0.23967249336783594,0.409335514418531,116,,115.5633509841282,False
GBSA-TCL,84000,Eu3Pt2Pb3,8,0.04028873303059832,True,True,True,True,0.013624585775976776,0.031402216671024656,0.06757122704238172,17,,113.67484632483684,False
GBSA-TCL,84001,Eu3Pb,8,0.033609480727539776,True,True,True,True,0.13842761271187487,0.1313282978825145,0.1598306982001211,26,,119.65153819695117,False
GBSA-TCL,84002,EuPt3,16,0.22698256470825218,False,False,True,True,0.002026681815307104,0.021480728561486986,0.039081041691501776,26,,115.3851547120139,False
GBSA-TCL,84003,Gd6Pb2CN,10,0.03283644500781335,True,True,True,True,0.0019284396726771589,0.025826207148132125,0.047131169464108356,7,,115.1936577821616,False
GBSA-TCL,84004,Li4Eu2Tl,7,0.05628716158314617,True,True,True,True,0.07797705328611762,0.0404101905296985,0.06776934913129165,27,,112.82587037584744,False
GBSA-TCL,84005,EuHg,4,0.011322143220215075,True,False,False,True,0.00017920381626268574,0.002386417309456407,0.003457611076494868,10,,116.82382600498386,False
GBSA-TCL,84006,Sc2Zn2C,10,0.087669011901367,True,True,True,True,0.03883071382623767,0.203724622550116,0.3543949483168637,40,,115.08403242588976,False
GBSA-TCL,84007,Eu5MgAu4,10,0.06522990180599209,True,True,True,True,0.0013789106419778293,0.024540319474540245,0.047365922661150604,20,,115.24053111393005,False
