comparison,metric,preferred_direction,unit,n_pairs,candidate_mean,baseline_mean,mean_delta_candidate_minus_baseline,median_paired_delta,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_resamples,bootstrap_seed,wins,ties,losses
GBSA-TCL-TCL,e_hull,lower,eV/atom,32,0.11865513209697015,0.10304255454993291,0.015612577547037237,-0.0024394245930992042,-0.019134045675444942,0.0551693863432236,20000,20260920,17,0,15
GBSA-TCL-TCL,stable,higher,percentage_points,32,59.375,50.0,9.375,0.0,-15.625,31.25,20000,20260920,9,17,6
GBSA-TCL-TCL,nus,higher,percentage_points,32,46.875,31.25,15.625,0.0,-3.125,34.375,20000,20260920,8,21,3
GBSA-TCL-TCL,novel,higher,percentage_points,32,84.375,78.125,6.25,0.0,-12.5,25.0,20000,20260920,6,22,4
GBSA-TCL-TCL,unique,higher,percentage_points,32,100.0,100.0,0.0,0.0,0.0,0.0,20000,20260920,0,32,0
GBSA-TCL-TCL,rmsd,lower,angstrom,32,0.04411394727590728,0.06663240307176228,-0.022518455795855007,-0.00832076431415794,-0.06677658801384986,0.015883189251811904,20000,20260920,17,0,15
GBSA-TCL-TCL,atomic_force_mean,lower,eV/angstrom,32,0.17952128622274477,0.16554427348669398,0.013977012736050773,-0.011027750749109024,-0.11094189043250302,0.20786448770737836,20000,20260920,18,0,14
GBSA-TCL-TCL,structure_max_force,lower,eV/angstrom,32,0.39111680979955327,0.354639547645824,0.036477262153729345,0.0034794135167448004,-0.2327772185253988,0.4347879444828047,20000,20260920,15,0,17
GBSA-TCL-TCL,relaxation_steps,lower,steps,32,36.875,58.59375,-21.71875,-9.5,-46.96875,2.125,20000,20260920,22,0,10
GBSA-TCL-C0,e_hull,lower,eV/atom,32,0.11865513209697015,0.13957895281241792,-0.020923820715447766,-0.021730523036295413,-0.0808188324156172,0.037636309920810206,20000,20260920,20,0,12
GBSA-TCL-C0,stable,higher,percentage_points,32,59.375,43.75,15.625,0.0,-6.25,37.5,20000,20260920,9,19,4
GBSA-TCL-C0,nus,higher,percentage_points,32,46.875,21.875,25.0,0.0,6.25,43.75,20000,20260920,10,20,2
GBSA-TCL-C0,novel,higher,percentage_points,32,84.375,75.0,9.375,0.0,-9.375,28.125,20000,20260920,6,23,3
GBSA-TCL-C0,unique,higher,percentage_points,32,100.0,100.0,0.0,0.0,0.0,0.0,20000,20260920,0,32,0
GBSA-TCL-C0,rmsd,lower,angstrom,32,0.04411394727590728,0.08799352581280293,-0.04387957853689564,0.0017141147494606876,-0.11456090316089886,0.013896696584882117,20000,20260920,14,0,18
GBSA-TCL-C0,atomic_force_mean,lower,eV/angstrom,32,0.17952128622274477,0.127401024241208,0.05212026198153674,-0.010178325475550233,-0.05627826859268644,0.2335659090129761,20000,20260920,18,0,14
GBSA-TCL-C0,structure_max_force,lower,eV/angstrom,32,0.39111680979955327,0.24620737989911634,0.144909429900437,-0.011971479647107493,-0.08792614993449249,0.5232479630766697,20000,20260920,18,0,14
GBSA-TCL-C0,relaxation_steps,lower,steps,32,36.875,58.34375,-21.46875,1.5,-57.0625,7.032031249999932,20000,20260920,15,0,17
GBSA-TCL-FT0,e_hull,lower,eV/atom,32,0.11865513209697015,0.14815414895341553,-0.029499016856445376,-0.03192925453186035,-0.08290742172289313,0.030958071421325804,20000,20260920,22,0,10
GBSA-TCL-FT0,stable,higher,percentage_points,32,59.375,37.5,21.875,0.0,-3.125,46.875,20000,20260920,13,13,6
GBSA-TCL-FT0,nus,higher,percentage_points,32,46.875,18.75,28.125,0.0,9.375,46.875,20000,20260920,11,19,2
GBSA-TCL-FT0,novel,higher,percentage_points,32,84.375,78.125,6.25,0.0,-12.5,25.0,20000,20260920,6,22,4
GBSA-TCL-FT0,unique,higher,percentage_points,32,100.0,100.0,0.0,0.0,0.0,0.0,20000,20260920,0,32,0
GBSA-TCL-FT0,rmsd,lower,angstrom,32,0.04411394727590728,0.09892997660800593,-0.054816029332098656,-0.008004282356572818,-0.1083776092369984,-0.0053616845061405,20000,20260920,19,0,13
GBSA-TCL-FT0,atomic_force_mean,lower,eV/angstrom,32,0.17952128622274477,0.26841336825000317,-0.08889208202725842,-0.14782006836274525,-0.21934801147796038,0.11643497557460836,20000,20260920,27,0,5
GBSA-TCL-FT0,structure_max_force,lower,eV/angstrom,32,0.39111680979955327,0.5216360759660874,-0.13051926616653403,-0.23991486255608402,-0.3891624531542264,0.28465109405865735,20000,20260920,25,0,7
GBSA-TCL-FT0,relaxation_steps,lower,steps,32,36.875,86.75,-49.875,-11.5,-98.37578125,-11.59375,20000,20260920,23,1,8
