method,seed,formula,e_hull_ev_per_atom,stable,nus,novel,unique,rmsd_angstrom,atomic_force_mean_ev_per_angstrom,structure_max_force_ev_per_angstrom,relaxation_steps,tail_flags,dft_verified
C0,85000,LiMn6O3F7,0.10037883228170763,False,False,True,True,0.027402314316229224,0.12590904700367245,0.262545604142512,48,,False
C0,85001,EuFe2PCl3,0.7026949363895101,False,False,True,True,0.0028236635745998878,0.009368447342950762,0.015800549128324622,15,,False
C0,85002,Fe7Co11Ni,0.13701852512746893,False,False,True,True,0.06902013690314342,0.22635083152952384,0.5812042281523981,160,,False
C0,85003,Fe3Co2(NiH2)2,0.07248451919744436,True,True,True,True,0.03701357379844335,0.07216803962367796,0.147736244985141,14,,False
C0,85004,Zn2GaFe4H,0.11527950361848216,False,False,True,True,0.026742085120432177,0.0889835011940007,0.13960943205894794,16,,False
C0,85005,MnNi5H8,0.05428365869140794,True,True,True,True,0.11763972460015408,0.14542642255312072,0.2638488042773463,36,,False
C0,85006,SrEuGd2O5,0.04853665612630209,True,True,True,True,0.026102951411250935,0.12970230067925811,0.2041196579733226,49,,False
C0,85007,SrEu3,0.05578620489583308,True,False,False,True,0.0016039288471295038,0.0014018653868117627,0.00183078552001593,3,,False
C0,85008,TaFe3B2,0.37428848853352825,False,False,True,True,0.03479327385570498,0.16961097832185257,0.31249751355144156,45,,False
C0,85009,Eu3ScCu4,0.13884876378784128,False,False,True,True,0.3019962681543878,0.07333540025711785,0.1711584966778001,71,,False
C0,85010,EuGaNi,0.06280200383952028,True,False,False,True,0.0010811472645154917,0.014858901703242033,0.0198257227221809,12,,False
C0,85011,EuMgCu,-0.0017231864442281974,True,False,False,True,0.001964563841801518,0.010578392207966017,0.019233422539766554,4,,False
C0,85012,Mn7(SbPd)2,0.28759093077151476,False,False,True,True,0.03577558667689199,0.2134556344540943,0.4877823037966347,41,,False
C0,85013,Eu2Al2FeNi4,0.16421301965169288,False,False,True,True,0.026393892794465492,0.14883031717594977,0.26728949883408754,42,,False
C0,85014,MgMnFe3O5F,0.19771115036221687,False,False,True,True,0.8311573763180503,0.4915016781901522,1.0898020799515615,263,RMSD>0.5;MaxF>1;Steps>200,False
C0,85015,LiEu3,0.11726682635660701,False,False,False,True,0.005177791152651853,0.046761228037832274,0.06503086675567611,9,,False
C0,85016,Fe5Co3,0.05021083317382846,True,False,False,True,0.0011972392275837883,0.041733089146945276,0.06936153217797959,15,,False
C0,85017,MgFe7O12,0.13288343419531579,False,False,True,True,0.023304930610732265,0.25229834211753543,0.4758940177948045,66,,False
C0,85018,Fe4HW,0.14888879872558647,False,False,True,True,0.02978477966604993,0.12985799529962924,0.1756314821285324,14,,False
C0,85019,MgMn6O9,0.09693546597167924,True,True,True,True,0.3404660618673024,0.3053581637946212,0.7818561563356539,443,Steps>200;Steps>400,False
C0,85020,Mn2FeGe,0.38356286859008826,False,False,True,True,0.014841271916201184,0.2274386116570421,0.33038369961001374,21,,False
