index,sample_seed,sample_index_within_seed,formula,num_atoms,pre_relaxation_max_force,relaxation_steps,final_energy_ev
0,85000,0,F7LiMn6O3,17,0.2625456154346466,48,-113.05857849121094
1,85001,0,Cl3EuFe2P,7,0.01580054685473442,15,-42.77940368652344
2,85002,0,Co11Fe7Ni,19,0.5812042355537415,160,-141.71292114257812
3,85003,0,H4Co2Fe3Ni2,11,0.14773625135421753,14,-64.27005004882812
4,85004,0,HFe4GaZn2,8,0.1396094262599945,16,-42.60230255126953
5,85005,0,H8MnNi5,14,0.26384881138801575,36,-64.63655090332031
6,85006,0,EuGd2O5Sr,9,0.20411965250968933,49,-92.93573760986328
7,85007,0,Eu3Sr,4,0.0018307800637558103,3,-32.36474609375
8,85008,0,B4Fe6Ta2,12,0.31249749660491943,45,-102.32840728759766
9,85009,0,Cu4Eu3Sc,8,0.17115850746631622,71,-54.012699127197266
10,85010,0,EuGaNi,3,0.01982572115957737,12,-20.289262771606445
11,85011,0,Cu3Eu3Mg3,9,0.019233424216508865,4,-49.19196701049805
12,85012,0,Mn7Pd2Sb2,11,0.4877822995185852,41,-81.3546371459961
13,85013,0,Al2Eu2FeNi4,9,0.26728948950767517,42,-61.616580963134766
14,85014,0,FFe3MgMnO5,11,1.0898020267486572,263,-71.44766235351562
15,85015,0,Eu6Li2,8,0.06503086537122726,9,-64.67650604248047
16,85016,0,Co3Fe5,8,0.06936153024435043,15,-63.813323974609375
17,85017,0,Fe7MgO12,20,0.475894033908844,66,-129.67425537109375
18,85018,0,HFe4W,6,0.17563147842884064,14,-49.544857025146484
19,85019,0,MgMn6O9,16,0.781856119632721,443,-118.17459106445312
20,85020,0,FeGeMn2,4,0.33038368821144104,21,-30.34711265563965
21,85021,0,Fe9Mn2Mo,12,0.22222284972667694,26,-102.74818420410156
22,85022,0,Al8Eu4,12,0.1528981775045395,41,-75.68476104736328
23,85023,0,B2Eu2O6,10,0.18922004103660583,27,-90.80681610107422
24,85024,0,AsMn2Ni,4,0.006282680667936802,11,-28.694805145263672
25,85025,0,H2Co4Fe2Ga2,10,0.14917442202568054,17,-58.61764144897461
26,85026,0,EuF8Gd2,11,0.14335255324840546,14,-97.30545043945312
27,85027,0,Fe9Ni7,16,0.21973207592964172,230,-116.57772827148438
28,85028,0,Eu6Ge5Ni,12,0.4203644096851349,58,-96.8121337890625
29,85029,0,Fe6Zn2,8,0.27035394310951233,23,-52.991390228271484
30,85030,0,Co2Fe2,4,0.04785566031932831,4,-31.161893844604492
31,85031,0,CuEu2MoO6,10,0.17473724484443665,29,-82.03485107421875
