index,sample_seed,sample_index_within_seed,formula,num_atoms,pre_relaxation_max_force,relaxation_steps,final_energy_ev
0,85000,0,C4As2Mn11,17,0.6637187004089355,172,-146.04734802246094
1,85001,0,As2Eu4O,7,0.13401885330677032,23,-66.84532928466797
2,85002,0,C7FeMn11,19,1.0373659133911133,706,-171.26283264160156
3,85003,0,C2As3Mn6,11,0.7575089335441589,55,-86.804931640625
4,85004,0,CAs3Mn4,8,1.4286614656448364,74,-59.73645782470703
5,85005,0,C4Mn10,14,0.32976701855659485,71,-129.1903533935547
6,85006,0,CMn6P2,9,0.45716896653175354,38,-77.67163848876953
7,85007,0,Eu3Pt,4,0.032961491495370865,16,-39.073123931884766
8,85008,0,Mn8P4,12,0.214778870344162,55,-101.07207489013672
9,85009,0,C4Mn4,8,0.05621066689491272,11,-71.52886199951172
10,85010,0,AuEu2,3,0.1159113198518753,14,-25.403696060180664
11,85011,0,As5Mn4,9,0.5606105923652649,42,-60.63123321533203
12,85012,0,As2Mn7Sb2,11,0.33307120203971863,53,-80.4034194946289
13,85013,0,As4Mn5,9,0.4701854884624481,41,-64.65409088134766
14,85014,0,As4Mn7,11,1.0385000705718994,40,-84.41574096679688
15,85015,0,Mn4P4,8,0.6204810738563538,38,-63.06459045410156
16,85016,0,AsMn4P3,8,0.34245818853378296,36,-61.49115753173828
17,85017,0,C7Mn12Sn,20,0.7471901774406433,251,-174.95257568359375
18,85018,0,CMn4V,6,0.3979696035385132,139,-54.779380798339844
19,85019,0,C5Mn11,16,1.037340521812439,313,-144.1161346435547
20,85020,0,Pt3Si,4,0.3107072114944458,12,-25.168861389160156
21,85021,0,C4Mn8,12,1.146372675895691,67,-109.26277923583984
22,85022,0,C4AlMn7,12,0.4967609643936157,51,-104.63862609863281
23,85023,0,C2Mn8,10,0.8343634605407715,75,-90.83889770507812
24,85024,0,Mn3Rh,4,0.03834708407521248,14,-34.23649978637695
25,85025,0,C3Mn6Si,10,0.3737112581729889,50,-88.19374084472656
26,85026,0,C3Mn8,11,0.8007696866989136,36,-99.31631469726562
27,85027,0,C5Mn11,16,0.9088441133499146,169,-144.80856323242188
28,85028,0,C4Fe3Mn5,12,0.31699061393737793,38,-107.70870208740234
29,85029,0,C2Mn6,8,0.24506273865699768,26,-73.07686614990234
30,85030,0,Au2Eu2,4,0.027465401217341423,6,-30.282453536987305
31,85031,0,As4Mn6,10,0.4170801341533661,44,-74.88253784179688
