index,sample_seed,sample_index_within_seed,formula,num_atoms,pre_relaxation_max_force,relaxation_steps,final_energy_ev
0,85000,0,CMn13Pt3,17,0.466207355260849,46,-146.18841552734375
1,85001,0,Eu3In2Pt2,7,0.2147137075662613,28,-52.9774284362793
2,85002,0,Au10Gd4InLi3Mg,19,0.3277607858181,77,-110.7759017944336
3,85003,0,Eu7Gd2Li2,11,0.18601521849632263,13,-102.73246765136719
4,85004,0,Eu4Pt4,8,0.349568635225296,17,-71.38532257080078
5,85005,0,Au2Eu9Pt3,14,0.13581089675426483,32,-127.04788208007812
6,85006,0,Gd5Pt4,9,0.15714412927627563,54,-104.0084228515625
7,85007,0,Eu3Li,4,0.03728795051574707,9,-32.37971496582031
8,85008,0,Eu4Pt8,12,0.13385999202728271,214,-99.1387939453125
9,85009,0,Cu2Eu6,8,0.10870024561882019,18,-70.46707916259766
10,85010,0,AuEu2,3,0.03809664398431778,3,-25.506092071533203
11,85011,0,Au3Eu5Pb,9,0.18850496411323547,30,-70.49929809570312
12,85012,0,Fe2MnPt8,11,0.16643710434436798,19,-77.18701171875
13,85013,0,Ag3Eu3Pb3,9,0.22146077454090118,46,-53.061241149902344
14,85014,0,Al2Gd2Mn7,11,6.3422322273254395,63,-95.03922271728516
15,85015,0,Cu2Eu2GdTl3,8,0.05172903835773468,26,-51.82249069213867
16,85016,0,AuEu2GdPt2Si2,8,0.3202573359012604,34,-67.873291015625
17,85017,0,Fe4Gd4O12,20,0.14904284477233887,40,-187.5633544921875
18,85018,0,Au5Eu,6,0.0822715163230896,8,-29.198909759521484
19,85019,0,Mg4Mn4O8,16,0.10451646149158478,36,-109.78955841064453
20,85020,0,EuPt3,4,0.017669670283794403,8,-30.73438835144043
21,85021,0,Eu2Gd4Se6,12,0.5146015882492065,83,-117.95343017578125
22,85022,0,Eu8Pt4,12,0.09986468404531479,16,-115.52732849121094
23,85023,0,B2Eu6GdO,10,1.1504616737365723,61,-96.76643371582031
24,85024,0,AgEu3,4,0.09760455787181854,14,-34.16332244873047
25,85025,0,Au4Eu4Li2,10,0.11448988318443298,25,-64.11676788330078
26,85026,0,Eu8NiPb2,11,0.14416289329528809,26,-98.3298110961914
27,85027,0,EuGd4Li5Pd6,16,0.2106190323829651,45,-115.67185974121094
28,85028,0,Eu8Li3Mg,12,0.08898996561765671,16,-89.16581726074219
29,85029,0,Eu6Pt2,8,0.07246646285057068,25,-78.59355163574219
30,85030,0,Au2Eu2,4,0.037214525043964386,14,-30.40135955810547
31,85031,0,HCu5Eu4,10,0.1859750896692276,34,-66.59479522705078
