index,sample_seed,sample_index_within_seed,formula,num_atoms,pre_relaxation_max_force,relaxation_steps,final_energy_ev
0,85000,0,C4Co3Mn10,17,1.8889070749282837,102,-146.9847412109375
1,85001,0,ClEu4Ge2,7,0.01632864587008953,24,-57.9515266418457
2,85002,0,C3Fe4Mn12,19,0.9830380082130432,338,-170.0886993408203
3,85003,0,Eu7Lu2Si2,11,0.13297197222709656,28,-93.22076416015625
4,85004,0,Eu2Pd2Zn4,8,0.15344300866127014,61,-39.75373458862305
5,85005,0,Eu10Si4,14,0.2125529795885086,59,-129.4794158935547
6,85006,0,Gd6Pb2Si,9,0.1478135883808136,26,-101.7198486328125
7,85007,0,Eu2IN,4,0.29826000332832336,5,-35.12229919433594
8,85008,0,Eu8Sn4,12,0.1272297203540802,22,-105.70162963867188
9,85009,0,Cu4Eu4,8,0.09018411487340927,20,-57.959197998046875
10,85010,0,AsAuEu,3,0.03009031154215336,7,-20.946372985839844
11,85011,0,BeCu2Eu2Pd4,9,0.24876543879508972,46,-56.73394775390625
12,85012,0,DyFe5Ge5,11,0.5813355445861816,54,-72.1061782836914
13,85013,0,Ag2Eu4Ge3,9,0.21246473491191864,69,-64.33331298828125
14,85014,0,HfMn9Zn,11,1.1624314785003662,273,-92.47541809082031
15,85015,0,Eu7Mg,8,0.019727149978280067,14,-73.37480163574219
16,85016,0,Ge2Mn6,8,0.07024969160556793,42,-64.3853759765625
17,85017,0,Co9Mn11,20,0.2889478802680969,62,-162.0890655517578
18,85018,0,Eu4Y2,6,0.08194296807050705,17,-53.427268981933594
19,85019,0,C4Mn12,16,1.0129767656326294,111,-146.39755249023438
20,85020,0,BePt3,4,0.21693767607212067,18,-23.25900650024414
21,85021,0,Fe9Si3,12,0.6046732664108276,43,-95.31466674804688
22,85022,0,Eu3Ga4MgPt4,12,0.18890580534934998,43,-79.23545837402344
23,85023,0,Ge2Mn4O2Sm2,10,0.612181544303894,52,-66.5918960571289
24,85024,0,Eu2LiRh,4,0.13636793196201324,12,-30.651247024536133
25,85025,0,DyGd4Rh5,10,0.07915288209915161,51,-105.7545166015625
26,85026,0,Cu4Eu3Mg4,11,0.06875785440206528,25,-55.00144958496094
27,85027,0,Fe3Mn13,16,0.5507678985595703,104,-141.85302734375
28,85028,0,C5Fe3Mn4,12,0.9951697587966919,76,-106.3795166015625
29,85029,0,Eu4Pd4,8,0.08619450777769089,16,-67.53807067871094
30,85030,0,DyGd2Pb,4,0.009762028232216835,18,-37.749935150146484
31,85031,0,Al4Cu3Eu2Pd,10,0.039933279156684875,37,-57.306095123291016
