method,seed,formula,e_hull_ev_per_atom,stable,nus,novel,unique,rmsd_angstrom,atomic_force_mean_ev_per_angstrom,structure_max_force_ev_per_angstrom,relaxation_steps,tail_flags,dft_verified
C0,85014,MgMnFe3O5F,0.19771115036221687,False,False,True,True,0.8311573763180503,0.4915016781901522,1.0898020799515615,263,RMSD>0.5;MaxF>1;Steps>200,False
C0,85019,MgMn6O9,0.09693546597167924,True,True,True,True,0.3404660618673024,0.3053581637946212,0.7818561563356539,443,Steps>200;Steps>400,False
C0,85027,Fe9Ni7,0.06603022928222657,True,True,True,True,0.6382092626689682,0.09855117610716085,0.21973208763699376,230,RMSD>0.5;Steps>200,False
FT0,85002,Mn11FeC7,0.20498988441799426,False,False,True,True,0.5160412652156856,0.5008572239952763,1.0373658848541005,706,RMSD>0.5;MaxF>1;Steps>200;Steps>400,False
FT0,85004,Mn4As3C,0.23245965708825267,False,False,True,True,0.272432407558284,0.7103764987718397,1.4286614649048048,74,MaxF>1,False
FT0,85014,Mn7As4,0.04722005721909284,True,True,True,True,0.03859982745367548,0.4382901118780127,1.0385001288971423,40,MaxF>1,False
FT0,85017,Mn12SnC7,0.25126241029313867,False,False,True,True,0.2058493444237637,0.4591485676164253,0.7471901772327908,251,Steps>200,False
FT0,85019,Mn11C5,0.2571346004367996,False,False,True,True,0.4137189620188066,0.6384715526255962,1.0373404787461213,313,MaxF>1;Steps>200,False
FT0,85021,Mn2C,0.15807876045537483,False,False,True,True,0.07462214514321655,0.42463125013100583,1.1463726997947463,67,MaxF>1,False
TCL,85000,Mn10Co3C4,0.23889424312899443,False,False,True,True,0.0951312904016976,0.6217349468467601,1.8889070981360492,102,MaxF>1,False
TCL,85002,Mn12Fe4C3,0.1466140426428506,False,False,True,True,0.23796324397953697,0.5204519556268176,0.9830380305558175,338,Steps>200,False
TCL,85014,HfMn9Zn,0.184622687618738,False,False,True,True,0.6282654008615938,0.47050204537806567,1.162431433032117,273,RMSD>0.5;MaxF>1;Steps>200,False
TCL,85019,Mn3C,0.1177939416701328,False,False,True,True,0.08403327361961371,0.487880241882587,1.0129767487099883,111,MaxF>1,False
GBSA-TCL,85008,EuPt2,0.19197692455729154,False,False,True,True,0.3355601417528636,0.08720970653272186,0.1338600024237158,214,Steps>200,False
GBSA-TCL,85014,Gd2Mn7Al2,0.5809197429270565,False,False,True,True,0.1052279113961685,3.046884414318734,6.342232233031367,63,MaxF>1;MaxF>2,False
GBSA-TCL,85023,Eu6GdB2O,0.4716213724679683,False,False,True,True,0.09576853238372753,0.3776408592182952,1.1504616785986963,61,MaxF>1,False
