omitted_seed,atomic_force_ratio,atomic_force_absolute_delta,atomic_force_ratio_ci95_low,atomic_force_ratio_ci95_high,atomic_force_status,max_force_gt1_delta_pp,max_force_gt1_ci95_low,max_force_gt1_ci95_high,max_force_gt1_status,max_force_gt2_delta_pp,max_force_gt2_ci95_low,max_force_gt2_ci95_high,max_force_gt2_status
87000,1.1042483490173003,0.012158171149059108,0.5848543127234705,1.96777941359118,BORDERLINE,3.225806451612903,-6.451612903225806,12.903225806451612,BORDERLINE,0.0,0.0,0.0,PASS
87001,1.2726485343251341,0.02760452777141871,0.7287882976856085,2.1122011045137468,BORDERLINE,6.451612903225806,0.0,16.129032258064516,BORDERLINE,0.0,0.0,0.0,PASS
87002,1.0822511148989944,0.00991398985857224,0.5873537544450631,1.901136499556766,BORDERLINE,3.225806451612903,-6.451612903225806,12.903225806451612,BORDERLINE,0.0,0.0,0.0,PASS
87003,1.1061538399811792,0.01162019161893764,0.5674413292203279,2.0217169364280636,BORDERLINE,3.225806451612903,-6.451612903225806,12.903225806451612,BORDERLINE,0.0,0.0,0.0,PASS
87004,1.0841520714045867,0.010124440531715365,0.5888955766012054,1.908891523685442,BORDERLINE,3.225806451612903,-6.451612903225806,12.903225806451612,BORDERLINE,0.0,0.0,0.0,PASS
87005,1.1279585100285217,0.014518377893663365,0.6044734643083254,2.0090614926186494,BORDERLINE,3.225806451612903,-6.451612903225806,12.903225806451612,BORDERLINE,0.0,0.0,0.0,PASS
87006,1.1465495167776296,0.016197198638829402,0.60967057709837,2.0441648523809812,BORDERLINE,3.225806451612903,-6.451612903225806,12.903225806451612,BORDERLINE,0.0,0.0,0.0,PASS
87007,1.0490045443510585,0.005838256864705224,0.5552070188927176,1.8668043275935526,BORDERLINE,3.225806451612903,-6.451612903225806,12.903225806451612,BORDERLINE,0.0,0.0,0.0,PASS
87008,1.0617896447597432,0.007426779157929095,0.5679106384133253,1.8728575065338493,BORDERLINE,3.225806451612903,-6.451612903225806,12.903225806451612,BORDERLINE,0.0,0.0,0.0,PASS
87009,1.0750338823652323,0.009044361412828938,0.5806364312251818,1.8934292421755405,BORDERLINE,3.225806451612903,-6.451612903225806,12.903225806451612,BORDERLINE,0.0,0.0,0.0,PASS
87010,0.9918634379909117,-0.000969583861603146,0.5281208560619056,1.767192478883116,BORDERLINE,0.0,-9.67741935483871,9.67741935483871,BORDERLINE,0.0,0.0,0.0,PASS
87011,1.0820583909570913,0.009757750201533785,0.5832747961465136,1.9183937214293048,BORDERLINE,3.225806451612903,-6.451612903225806,12.903225806451612,BORDERLINE,0.0,0.0,0.0,PASS
87012,1.0730770059882109,0.008680033675173324,0.5753226926282159,1.9059088104566053,BORDERLINE,3.225806451612903,-6.451612903225806,12.903225806451612,BORDERLINE,0.0,0.0,0.0,PASS
87013,0.8676935190799256,-0.015498291023431698,0.5128310252446161,1.4481947908177173,BORDERLINE,0.0,-9.67741935483871,9.67741935483871,BORDERLINE,0.0,0.0,0.0,PASS
87014,1.0786246754827105,0.009418495394564227,0.5827824072205009,1.903103537428712,BORDERLINE,3.225806451612903,-6.451612903225806,16.129032258064516,BORDERLINE,0.0,0.0,0.0,PASS
87015,1.0627812575621751,0.007617604381959367,0.5739811797957902,1.869651590144759,BORDERLINE,3.225806451612903,-6.451612903225806,16.129032258064516,BORDERLINE,0.0,0.0,0.0,PASS
87016,1.0841193624379355,0.01003142208956291,0.5853906821332566,1.9173497566950903,BORDERLINE,3.225806451612903,-6.451612903225806,16.129032258064516,BORDERLINE,0.0,0.0,0.0,PASS
