comparison,metric,unit,n_pairs,candidate_mean,baseline_mean,mean_delta,median_paired_delta,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_resamples,bootstrap_seed,wins,ties,losses,baseline_fail_to_candidate_success,baseline_success_to_candidate_fail,mcnemar_exact_p
GBSA-TCL-C0,e_hull,native,32,0.10841914491566343,0.07875841196383646,0.029660732951826974,-0.015017420439045637,-0.03345029726011469,0.11822368114677509,20000,20260908,18,0,14,,,
GBSA-TCL-C0,stable,percentage_points,32,75.0,59.375,15.625,0.0,-9.375,40.625,20000,20260908,12,13,7,12.0,7.0,0.359283447265625
GBSA-TCL-C0,nus,percentage_points,32,56.25,37.5,18.75,0.0,-6.25,43.75,20000,20260908,12,14,6,12.0,6.0,0.237884521484375
GBSA-TCL-C0,novel,percentage_points,32,81.25,65.625,15.625,0.0,-3.125,34.375,20000,20260908,7,23,2,7.0,2.0,0.1796875
GBSA-TCL-C0,unique,percentage_points,32,100.0,100.0,0.0,0.0,0.0,0.0,20000,20260908,0,32,0,0.0,0.0,1.0
GBSA-TCL-C0,composition_validity,percentage_points,32,81.25,93.75,-12.5,0.0,-25.0,-3.125,20000,20260908,0,28,4,0.0,4.0,0.125
GBSA-TCL-C0,structure_validity,percentage_points,32,100.0,100.0,0.0,0.0,0.0,0.0,20000,20260908,0,32,0,0.0,0.0,1.0
GBSA-TCL-C0,rmsd,native,32,0.10726491366347904,0.025716690621839438,0.08154822304163961,0.0010521492059075745,0.007344443863991536,0.18423231142508897,20000,20260908,14,0,18,,,
GBSA-TCL-C0,atomic_force,native,32,0.12657961103979543,0.11759218915531398,0.00898742188448143,-0.012554679981270179,-0.06016662040612252,0.08369543015023752,20000,20260908,19,0,13,,,
GBSA-TCL-C0,max_force,native,32,0.2518095904952063,0.2493188560729683,0.0024907344222379717,-0.02355311657543893,-0.1511612525920918,0.17466542827841758,20000,20260908,19,0,13,,,
GBSA-TCL-C0,steps,native,32,65.625,32.5625,33.0625,8.5,-2.78125,83.75156249999986,20000,20260908,13,1,18,,,
