method,seed,formula,e_hull,stable,nus,novel,unique,rmsd,atomic_force,max_force,final_max_force,steps,invalid,diagnostic_flags,dft_verified
C0,87000,Eu3Fe2O7,0.0589093504768865,True,True,True,True,0.01756064788610889,0.14751336573498622,0.3000738090168812,0.04499281517196385,28,False,,False
C0,87001,Eu3CN6,0.1010913960019515,False,False,True,True,0.05412641786253144,0.6243292530008555,1.1313411621692024,0.04481520693340264,48,False,MaxF>1,False
C0,87002,LiEuCd,0.04317798077517221,True,True,True,True,0.01401534730439747,0.026420937308210532,0.061482000803875926,0.038406545857332705,17,False,,False
C0,87003,FeRhPbO4,0.17639391450613662,False,False,True,True,0.15434109119199355,0.36951708576948655,0.6953147676885201,0.04971994972817551,167,False,,False
C0,87004,Fe4PtRh,0.06198038165038966,True,False,False,True,0.0012228074235004504,0.03330143892452511,0.04759979589069369,0.04025986688679808,3,False,,False
C0,87005,Gd3Co7,0.23114351808683864,False,False,True,True,0.04098718375221473,0.24564030465205774,0.6126777268194517,0.04300433766705634,52,False,,False
C0,87006,Zn2Fe3O5,0.13439511573242147,False,False,True,True,0.035549432542153925,0.33671454674449647,0.9337182028042005,0.039884795414038415,33,False,,False
C0,87007,NdEu2MnO6,0.10404555763606638,False,False,True,True,0.011118677586555277,0.06970149403405039,0.14052864923153285,0.031058285906123344,44,False,,False
C0,87008,Fe2Co,0.04196213818684846,True,False,False,True,0.003199988799530246,0.03691869624342918,0.06461472141043556,0.04807352442377197,9,False,,False
C0,87009,EuAu3,0.06218152549845346,True,False,False,True,0.002841177223181961,0.02630208861505999,0.046518982045034046,0.015302267090924795,29,False,,False
C0,87010,MgMn4Ni3O8,0.07271151365193607,True,True,True,True,0.006986632513145492,0.06887143891601777,0.17070607665472398,0.020490652896667298,19,False,,False
C0,87011,EuAlCu,0.0920799934939236,True,True,True,True,0.05871126667038148,0.07666943353015471,0.15165114208839278,0.032065653260552794,42,False,,False
C0,87012,Fe3Co5,0.04679707813964917,True,False,False,True,0.00835974211208096,0.08079257687172364,0.15946371977137277,0.04202329669941781,42,False,,False
C0,87013,Fe3Si,0.11636125907226624,False,False,False,True,0.01180091812627372,0.1316311758802849,0.17527883719904208,0.0459501597846471,19,False,,False
C0,87014,MnCo,0.10006828594726613,False,False,False,True,0.01776262368827781,0.04944210601901707,0.13654766216824,0.04374880414072252,23,False,,False
C0,87015,Eu2YPb,0.10310862022558531,False,False,False,True,0.0006817474682835299,0.0015450571100285812,0.0019426528355061283,0.0015003578662772428,12,False,,False
C0,87016,Fe5Ni9,0.037089513999720936,True,True,True,True,0.01757431638232859,0.06613072667175617,0.10828866773068038,0.029755891580858403,36,False,,False
C0,87017,Dy3Fe7Ni2,0.05515258918456922,True,True,True,True,0.01316551308603007,0.09626603449253014,0.2021499529203116,0.04833601870037498,19,False,,False
C0,87018,Eu5P3,-0.19018630018554816,True,True,True,True,0.047386195031655885,0.078621837759942,0.18353797474399786,0.04839277216053137,63,False,,False
C0,87019,MnIr,0.1183207095263672,False,False,False,True,9.456149605283724e-05,0.004147351909656556,0.005979541796442266,0.005057508326478563,8,False,,False
C0,87020,GdMgZn2,0.0068417668505862395,True,False,False,True,0.0014634201161522423,0.013630077915415945,0.022188898371341016,0.008604966573264535,6,False,,False
C0,87021,Eu2MnNi2,0.11309482576145058,False,False,True,True,0.003907593520245912,0.020004685339989357,0.04431443727920168,0.03580101523423044,7,False,,False
C0,87022,MgMn3O4,0.04840859086914229,True,True,True,True,0.001368939077640706,0.02866906886383455,0.0656796887472223,0.0393963668095968,11,False,,False
C0,87023,Fe2HRh,0.1556309071801758,False,False,True,True,0.023986196149804538,0.117229611411235,0.17831473793119682,0.041171948193597784,15,False,,False
C0,87024,FeNi,0.04976623389404278,True,False,False,True,0.012919266910420158,0.08086707848891592,0.10652405783985137,0.028092217364403618,14,False,,False
C0,87025,Mn2GaSnO6,0.07014557450390502,True,True,True,True,0.012504544102775746,0.11149780237136823,0.16589223147430535,0.04654241879252624,29,False,,False
C0,87026,Fe5Pt7,0.03814771902343761,True,True,True,True,0.01048468893559871,0.06607672713930611,0.12337648193663248,0.04777114801314074,44,False,,False
C0,87027,SmGd4Pb2O3,0.050644211957811436,True,True,True,True,0.1161742365245338,0.09861489150441642,0.2623073954205247,0.041137198877441813,76,False,,False
C0,87028,MnNi2O3,0.16298697852593147,False,False,True,True,0.004132466899238876,0.0751482058874308,0.10839331238844765,0.04967039436764922,23,False,,False
C0,87029,Eu2Zn2SO3,0.08084590517577883,True,True,True,True,0.05870465255376167,0.29786597543956117,0.9113995399866999,0.047229606255892086,53,False,,False
C0,87030,Eu2ZnSn,0.052456603727621065,True,False,False,True,0.0010490948743293663,0.0033620016294500076,0.005133959895772463,0.0034449517041172,6,False,,False
C0,87031,Li3Fe3O5,0.12451572376598286,False,False,True,True,0.05875271208768188,0.27950697679085473,0.6552626072752528,0.04516548284029851,45,False,,False
GBSA-TCL,87000,EuAu2,0.00953517808105353,True,False,False,True,0.0027826659746797433,0.058207560417559416,0.06886381605039979,0.04825897852796927,13,False,,False
GBSA-TCL,87001,Eu6Pt3N,0.09711378536132464,True,True,True,True,0.0445552575390176,0.056186392390281156,0.08464289735693895,0.048597146645391644,44,False,,False
GBSA-TCL,87002,Eu6PtPb2,-0.010546538433159114,True,True,True,True,0.0024812959918918695,0.006684751995876949,0.014083035402305854,0.023162018269434124,26,False,,False
GBSA-TCL,87003,Eu3Gd3O8,0.026780098108259764,True,True,True,True,0.023844648638053283,0.29688864588582586,0.6736323600383703,0.04521950721943904,40,False,,False
GBSA-TCL,87004,Eu2PtAu3,0.14220606620768184,False,False,True,True,0.0021869162237812345,0.007041282744754715,0.010146631454044243,0.0071146878269956445,16,False,,False
GBSA-TCL,87005,Eu2Au3,0.021663648466796914,True,True,True,True,1.3931742308975659,0.0831680902518989,0.17379240219934156,0.046743496307849075,425,False,RMSD>0.5;Steps>200;Steps>400,False
GBSA-TCL,87006,Eu3PbO,0.23014043869531342,False,False,True,True,0.08702236576300904,0.12219888924419134,0.16729653260730482,0.043310596826784786,48,False,,False
GBSA-TCL,87007,EuGd2YO6,0.0901717244941409,True,True,True,True,0.01944467670942117,0.17631303153159475,0.33122652562413857,0.0396581702062135,58,False,,False
GBSA-TCL,87008,EuGaI,0.06969126267578041,True,True,True,True,0.02216107649262011,0.09428604265103352,0.13005546994203127,0.0430131047889803,17,False,,False
GBSA-TCL,87009,EuAu,0.04213086729003912,True,False,False,True,0.00021566581824130176,0.033524385120770016,0.047145671825809206,0.027217399314971295,14,False,,False
GBSA-TCL,87010,LiGd3Fe4SO7,0.3733866150830085,False,False,True,True,0.5071422227085808,0.3865260389291212,1.050943099205005,0.0522241920242573,658,False,RMSD>0.5;MaxF>1;Steps>200;Steps>400;FinalMaxF>0.05,False
GBSA-TCL,87011,Eu6ScAl2,0.11295794264973935,False,False,True,True,0.04207371026045937,0.06177667758601416,0.13270603798542324,0.029595641343153893,14,False,,False
GBSA-TCL,87012,Eu3Au,0.0005641826066078437,True,True,True,True,0.051190860719845445,0.09930903324475676,0.13403989427064464,0.014977623945986894,16,False,,False
GBSA-TCL,87013,GdPt3,0.02239569055419821,True,True,True,True,0.08960285882934371,0.8996756979100736,1.9744332694421727,0.030140521922178122,53,False,MaxF>1,False
GBSA-TCL,87014,Eu2Au,0.023413239063041047,True,True,True,True,0.09908446642237491,0.04506624909093149,0.08897522983984307,0.046291444188020316,51,False,,False
GBSA-TCL,87015,LiEu3,0.08694761248941951,True,True,True,True,0.039732933939802144,0.05299682157269434,0.10596120472204437,0.04275114830819518,11,False,,False
GBSA-TCL,87016,Gd3Pt4,0.08964009005022255,True,True,True,True,0.0023270422235436078,0.042754142198711854,0.06595359786205146,0.04892671162959351,33,False,,False
GBSA-TCL,87017,EuPt2,0.2867607075162759,False,False,True,True,0.012594536728345675,0.04911052334062174,0.10986991466138671,0.027915004163601695,33,False,,False
GBSA-TCL,87018,Eu5P3,-0.15110186567627082,True,True,True,True,0.07415700849230665,0.15522862029888781,0.3154086899443574,0.04941395980638062,92,False,,False
GBSA-TCL,87019,Eu2HgPb,0.022108847194823866,True,False,False,True,0.0012347511075872022,0.0024851275316393035,0.003375067282010834,0.0033211963042855505,6,False,,False
GBSA-TCL,87020,Eu3Mg,0.05395076179443414,True,False,False,True,0.0022992742219218394,0.015998316017203616,0.03127125594812591,0.008528411556374375,16,False,,False
GBSA-TCL,87021,Eu3HPb,0.03922348797851605,True,False,False,True,0.0007678654336182925,0.001285418490532242,0.001979862842799975,0.0016467369740186194,6,False,,False
GBSA-TCL,87022,GdPt3,1.1943698726831045,False,False,True,True,0.04058274195129292,0.39011706093514437,0.5174564564561991,0.018763521447449572,34,False,E-hull>0.5,False
GBSA-TCL,87023,Eu4Pt3Au,0.055601141987304814,True,True,True,True,0.020359497736883028,0.04687298719513293,0.07412317103995485,0.04776652145664367,26,False,,False
GBSA-TCL,87024,Eu2PtAu,0.05029025472656201,True,False,False,True,0.0004902903938867724,0.0023897682508860142,0.004145195034362075,0.0027166822577180424,6,False,,False
GBSA-TCL,87025,Gd3HgH,0.10217541779492123,False,False,True,True,0.06362715875376594,0.08424478832528112,0.2723167574209479,0.04201612891817023,29,False,,False
GBSA-TCL,87026,Eu7Pt5,0.06609221404134225,True,True,True,True,0.023630656497319675,0.055860123120906297,0.1655002445238275,0.043137202659356576,34,False,,False
GBSA-TCL,87027,Gd2Pt3,0.018473698785156145,True,True,True,True,0.10211198426127924,0.1346757610876054,0.19036091080665907,0.05011289201903239,107,False,FinalMaxF>0.05,False
GBSA-TCL,87028,GdZn2Pt3,-0.00821262069661266,True,True,True,True,0.004097418985422758,0.026811598920556956,0.072185233727838,0.04946227515665348,25,False,,False
GBSA-TCL,87029,Eu3Pt,0.00957019458740227,True,True,True,True,0.02074334458172947,0.03660310040355473,0.0509279791662746,0.041207357578455575,25,False,,False
GBSA-TCL,87030,HgPt3,0.22152859241210976,False,False,True,True,0.5743176952681041,0.05402691411578389,0.09500279509198084,0.03553422145099847,59,False,RMSD>0.5,False
GBSA-TCL,87031,Gd5O6,0.08039002872869183,True,True,True,True,0.062440117665634745,0.4722337124736269,0.9000856860720075,0.04113322006996413,65,False,,False
