index,sample_seed,sample_index_within_seed,formula,num_atoms,pre_relaxation_max_force,relaxation_steps,final_energy_ev
0,87000,0,Eu3Fe2O7,12,0.3000738024711609,28,-104.13912200927734
1,87001,0,CEu3N6,10,1.1313410997390747,48,-96.44115447998047
2,87002,0,Cd3Eu3Li3,9,0.06148199364542961,17,-41.16319274902344
3,87003,0,Fe2O8Pb2Rh2,14,0.6953147649765015,167,-86.30445861816406
4,87004,0,Fe4PtRh,6,0.04759979620575905,3,-47.567665100097656
5,87005,0,Co7Gd3,10,0.6126776933670044,52,-91.33781433105469
6,87006,0,Fe3O5Zn2,10,0.933718204498291,33,-57.17511749267578
7,87007,0,Eu4Mn2Nd2O12,20,0.14052864909172058,44,-176.6026153564453
8,87008,0,Co2Fe4,6,0.06461472064256668,9,-48.218360900878906
9,87009,0,Au3Eu,4,0.04651898145675659,29,-22.24675941467285
10,87010,0,MgMn4Ni3O8,16,0.17070606350898743,19,-103.55147552490234
11,87011,0,Al3Cu3Eu3,9,0.15165114402770996,42,-56.30656433105469
12,87012,0,Co5Fe3,8,0.15946371853351593,42,-60.98481750488281
13,87013,0,Fe6Si2,8,0.17527884244918823,19,-63.314422607421875
14,87014,0,Co6Mn6,12,0.13654766976833344,23,-96.74409484863281
15,87015,0,Eu2PbY,4,0.0019426523940637708,12,-31.919227600097656
16,87016,0,Fe5Ni9,14,0.10828866064548492,36,-94.9773941040039
17,87017,0,Dy3Fe7Ni2,12,0.20214994251728058,19,-86.10269927978516
18,87018,0,Eu10P6,16,0.18353797495365143,63,-151.85076904296875
19,87019,0,Ir2Mn2,4,0.005979538429528475,8,-36.36035919189453
20,87020,0,GdMgZn2,4,0.02218889817595482,6,-19.517860412597656
21,87021,0,Eu2MnNi2,5,0.044314440339803696,7,-41.53423309326172
22,87022,0,MgMn3O4,8,0.06567968428134918,11,-58.720916748046875
23,87023,0,H2Fe4Rh2,8,0.17831474542617798,15,-54.599388122558594
24,87024,0,Fe2Ni2,4,0.10652405023574829,14,-28.570697784423828
25,87025,0,GaMn2O6Sn,10,0.16589222848415375,29,-68.11082458496094
26,87026,0,Fe5Pt7,12,0.12337648868560791,44,-87.02996826171875
27,87027,0,Gd4O3Pb2Sm,10,0.26230740547180176,76,-102.35739135742188
28,87028,0,Mn2Ni4O6,12,0.10839331895112991,23,-69.24364471435547
29,87029,0,Eu2O3SZn2,8,0.9113995432853699,53,-57.31976318359375
30,87030,0,Eu2SnZn,4,0.005133960396051407,6,-27.81658363342285
31,87031,0,Fe3Li3O5,11,0.6552625894546509,45,-64.60076141357422
