index,sample_seed,sample_index_within_seed,formula,num_atoms,pre_relaxation_max_force,relaxation_steps,final_energy_ev
0,87000,0,Au8Eu4,12,0.06886380910873413,13,-76.32418060302734
1,87001,0,Eu6NPt3,10,0.08464289456605911,44,-96.07256317138672
2,87002,0,Eu6Pb2Pt,9,0.01408303715288639,26,-80.24742126464844
3,87003,0,Eu3Gd3O8,14,0.6736323833465576,40,-156.74765014648438
4,87004,0,Au3Eu2Pt,6,0.010146633721888065,16,-40.491554260253906
5,87005,0,Au6Eu4,10,0.17379240691661835,425,-68.45154571533203
6,87006,0,Eu6O2Pb2,10,0.16729652881622314,48,-91.82443237304688
7,87007,0,Eu2Gd4O12Y2,20,0.33122652769088745,58,-214.1519012451172
8,87008,0,Eu2Ga2I2,6,0.1300554722547531,17,-35.92585754394531
9,87009,0,Au2Eu2,4,0.047145672142505646,14,-30.280357360839844
10,87010,0,Fe4Gd3LiO7S,16,1.0509430170059204,658,-136.47311401367188
11,87011,0,Al2Eu6Sc,9,0.13270603120326996,14,-76.11348724365234
12,87012,0,Au2Eu6,8,0.13403989374637604,16,-71.91088104248047
13,87013,0,Gd2Pt6,8,1.9744333028793335,53,-70.9350357055664
14,87014,0,Au4Eu8,12,0.08897523581981659,51,-102.35196685791016
15,87015,0,Eu3Li,4,0.10596120357513428,11,-32.459529876708984
16,87016,0,Gd6Pt8,14,0.06595358997583389,33,-148.11984252929688
17,87017,0,Eu4Pt8,12,0.10986991226673126,33,-98.00138854980469
18,87018,0,Eu10P6,16,0.3154086768627167,92,-151.2254180908203
19,87019,0,Eu2HgPb,4,0.0033750685397535563,6,-26.943470001220703
20,87020,0,Eu3Mg,4,0.031271256506443024,16,-32.433841705322266
21,87021,0,HEu3Pb,5,0.0019798618741333485,6,-40.25724411010742
22,87022,0,Gd2Pt6,8,0.5174564719200134,34,-61.559242248535156
23,87023,0,AuEu4Pt3,8,0.07412317395210266,26,-69.67201232910156
24,87024,0,AuEu2Pt,4,0.0041451952420175076,6,-33.32073974609375
25,87025,0,H2Gd6Hg2,10,0.27231675386428833,29,-94.93659210205078
26,87026,0,Eu7Pt5,12,0.16550025343894958,34,-112.1482925415039
27,87027,0,Gd4Pt6,10,0.1903609186410904,107,-103.98863220214844
28,87028,0,Gd2Pt6Zn4,12,0.07218523323535919,25,-79.13900756835938
29,87029,0,Eu6Pt2,8,0.050927985459566116,25,-78.59333038330078
30,87030,0,HgPt3,4,0.09500279277563095,59,-17.748672485351562
31,87031,0,Gd5O6,11,0.9000856876373291,65,-134.01620483398438
