method,seed,success,formula,num_atoms,elapsed_seconds,sampling_steps,corrector_steps_per_time,guidance_scale,target_dft_mag_density,checkpoint_sha256,adapter_checkpoint_sha256,dft_verified
C0,75000,True,GdFeO3,10,117.1454101970885,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,75000,True,Fe3SbO6,10,115.87381478096358,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
Transformer,75000,True,Eu2GdFe(IO2)2,10,124.6225690068677,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,4f8ba858f690ed6c7dc4a763843cc0e9b64445569a34e0658bd05ec55ff5956c,False
C0,75001,True,FeCo,8,114.67689039208926,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,75001,True,EuFeF6,8,113.44717950001359,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
Transformer,75001,True,Eu3Tl,8,128.1824639372062,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,4f8ba858f690ed6c7dc4a763843cc0e9b64445569a34e0658bd05ec55ff5956c,False
C0,75002,True,Fe7O6F5,18,116.93098042486235,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,75002,True,Eu5C2O11,18,115.7222835291177,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
Transformer,75002,True,LiFe6O5F6,18,130.8655612131115,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,4f8ba858f690ed6c7dc4a763843cc0e9b64445569a34e0658bd05ec55ff5956c,False
C0,75003,True,Li2Cr5O8,15,117.22242420399562,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,75003,True,CrFe3P2O9,15,115.88433915306814,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
Transformer,75003,True,Gd4Pd2O9,15,124.48152714502066,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,4f8ba858f690ed6c7dc4a763843cc0e9b64445569a34e0658bd05ec55ff5956c,False
C0,75004,True,Eu2AlHg,4,116.72047637403011,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,75004,True,Eu2PI,4,120.78165197419003,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
Transformer,75004,True,EuNi3,4,127.71921281307004,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,4f8ba858f690ed6c7dc4a763843cc0e9b64445569a34e0658bd05ec55ff5956c,False
C0,75005,True,K2EuGd3O6,12,115.03303253487684,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,75005,True,GdAlZn,12,122.2905092840083,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
Transformer,75005,True,Eu3GdTaO7,12,122.56812630197965,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,4f8ba858f690ed6c7dc4a763843cc0e9b64445569a34e0658bd05ec55ff5956c,False
C0,75006,True,Eu(Fe3Ge2)2,11,124.07689762907103,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,75006,True,Li4Eu3Ge4,11,122.34355750097893,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
Transformer,75006,True,Be(Fe4Ge)2,11,129.10689016291872,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,4f8ba858f690ed6c7dc4a763843cc0e9b64445569a34e0658bd05ec55ff5956c,False
C0,75007,True,Eu3Ni2,10,123.10954318591394,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,75007,True,Eu6Tl2PtN,10,113.45949436002411,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
Transformer,75007,True,Eu4Ni,10,119.47463617613539,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,4f8ba858f690ed6c7dc4a763843cc0e9b64445569a34e0658bd05ec55ff5956c,False
