study,resample_n,metric,c0_mean,null_difference_low,null_difference_high
Adaptive Formal256,32,e_hull,0.1436665541422974,-0.04882780197254619,0.04846512799426093
Adaptive Formal256,32,nus,22.265625,-21.875,18.75
Adaptive Formal256,32,rmsd,0.06457459745030025,-0.0843249885735334,0.08303210130717943
Adaptive Formal256,64,e_hull,0.1436665541422974,-0.03514633025092067,0.034548184372638305
Adaptive Formal256,64,nus,22.265625,-14.0625,14.0625
Adaptive Formal256,64,rmsd,0.06457459745030025,-0.058940792144926486,0.05869203938645073
Adaptive Formal256,256,e_hull,0.1436665541422974,-0.017348483638203988,0.017730565289754745
Adaptive Formal256,256,nus,22.265625,-7.421875,7.041015624999147
Adaptive Formal256,256,rmsd,0.06457459745030025,-0.028810047657450783,0.0287044181252683
E3-PCR Formal256,32,e_hull,0.1561356966317432,-0.1737888901798521,0.1736124157601236
E3-PCR Formal256,32,nus,22.265625,-18.75,21.875
E3-PCR Formal256,32,rmsd,0.04938950865947697,-0.06597908283640497,0.06635331393229847
E3-PCR Formal256,32,max_force,0.34296426286559617,-0.3785013513784301,0.37087523165606856
E3-PCR Formal256,64,e_hull,0.1561356966317432,-0.12980750098503493,0.1271882413226888
E3-PCR Formal256,64,nus,22.265625,-14.0625,14.0625
E3-PCR Formal256,64,rmsd,0.04938950865947697,-0.04470469535474701,0.045033759580274745
E3-PCR Formal256,64,max_force,0.34296426286559617,-0.2520854286381067,0.25873410063321967
E3-PCR Formal256,256,e_hull,0.1561356966317432,-0.060925326705170965,0.060076335259659816
E3-PCR Formal256,256,nus,22.265625,-7.03125,7.03125
E3-PCR Formal256,256,rmsd,0.04938950865947697,-0.021863350667882604,0.021862127591196677
E3-PCR Formal256,256,max_force,0.34296426286559617,-0.12515839187638567,0.12476139796157043
Corrector V2 Formal256,32,e_hull,0.1021406741625574,-0.048441354791037,0.049034646007675806
Corrector V2 Formal256,32,nus,31.640625,-21.875,21.875
Corrector V2 Formal256,32,rmsd,0.08037439152788267,-0.11062486905497876,0.11008037066883299
Corrector V2 Formal256,32,atomic_force,0.13419980194334086,-0.10540934417430298,0.10631533951286089
Corrector V2 Formal256,32,max_force,0.2842409821368349,-0.2564836041566727,0.2573028911632229
Corrector V2 Formal256,64,e_hull,0.1021406741625574,-0.033973963118889526,0.03417997356008375
Corrector V2 Formal256,64,nus,31.640625,-15.625,15.625
Corrector V2 Formal256,64,rmsd,0.08037439152788267,-0.07725006565968338,0.07556249062730105
Corrector V2 Formal256,64,atomic_force,0.13419980194334086,-0.07444349063553671,0.07411828189418475
Corrector V2 Formal256,64,max_force,0.2842409821368349,-0.17940794230988127,0.17995414833900847
Corrector V2 Formal256,256,e_hull,0.1021406741625574,-0.01734998585995953,0.016918590082651945
Corrector V2 Formal256,256,nus,31.640625,-8.203125,8.203125
Corrector V2 Formal256,256,rmsd,0.08037439152788267,-0.038663264730885966,0.039159728266584114
Corrector V2 Formal256,256,atomic_force,0.13419980194334086,-0.036514755531847354,0.03620252680482282
Corrector V2 Formal256,256,max_force,0.2842409821368349,-0.08748900469539952,0.08666650289583344
TCL Formal256,32,e_hull,0.11233169987359276,-0.0625259167239865,0.06305297805874223
TCL Formal256,32,nus,32.03125,-21.875,21.875
TCL Formal256,32,rmsd,0.04930017174609165,-0.0652363981516023,0.06525688809936567
TCL Formal256,32,atomic_force,0.148647962448829,-0.08771983858133019,0.08901131171740864
TCL Formal256,32,max_force,0.3372120836042153,-0.25231021196845477,0.2513717638360359
TCL Formal256,64,e_hull,0.11233169987359276,-0.04333051696853788,0.04331070397125936
TCL Formal256,64,nus,32.03125,-15.625,15.625
TCL Formal256,64,rmsd,0.04930017174609165,-0.043817755881702225,0.04397224268138022
TCL Formal256,64,atomic_force,0.148647962448829,-0.06092786910449586,0.06341568589009365
TCL Formal256,64,max_force,0.3372120836042153,-0.17343571292716448,0.1797796514191796
TCL Formal256,256,e_hull,0.11233169987359276,-0.02155520392259023,0.020949883730979942
TCL Formal256,256,nus,32.03125,-8.203125,7.8125
TCL Formal256,256,rmsd,0.04930017174609165,-0.02158457370277719,0.02139857215320904
TCL Formal256,256,atomic_force,0.148647962448829,-0.031063385665717664,0.030878087481909598
TCL Formal256,256,max_force,0.3372120836042153,-0.08829088950023915,0.08799783036042931
