study,method,n,e_hull,e_hull_median,e_hull_p95,e_hull_p99,e_hull_max,nus,nus_median,nus_p95,nus_p99,nus_max,stable,stable_median,stable_p95,stable_p99,stable_max,novel,novel_median,novel_p95,novel_p99,novel_max,unique,unique_median,unique_p95,unique_p99,unique_max,rmsd,rmsd_median,rmsd_p95,rmsd_p99,rmsd_max,steps,steps_median,steps_p95,steps_p99,steps_max,post_relax_max_force,post_relax_max_force_median,post_relax_max_force_p95,post_relax_max_force_p99,post_relax_max_force_max,rmsd_gt0p5,steps_gt200,steps_gt400,max_force,max_force_median,max_force_p95,max_force_p99,max_force_max,force_gt1,force_gt2,atomic_force,atomic_force_median,atomic_force_p95,atomic_force_p99,atomic_force_max
Adaptive Formal256,C0,256,0.1436665541422974,0.11934209785388275,0.3350943866236737,0.4303007712190328,0.5283094275102513,0.22265625,0.0,1.0,1.0,1.0,0.41015625,0.0,1.0,1.0,1.0,0.73828125,1.0,1.0,1.0,1.0,0.95703125,1.0,1.0,1.0,1.0,0.06457459745030025,0.019563454217827903,0.28268227870380014,1.1363693759845974,1.2722462813275413,54.42578125,28.0,192.5,431.14999999999947,485.0,0.03661558427847918,0.041831806302070604,0.050164230167865725,0.05178827494382852,0.054609291255474,6,13,5,,,,,,,,,,,,
Adaptive Formal256,Adaptive CFG,256,0.14023160920514416,0.11099701746103015,0.32718181152913955,0.4662430725050481,0.5539969012392323,0.2578125,0.0,1.0,1.0,1.0,0.46875,0.0,1.0,1.0,1.0,0.765625,1.0,1.0,1.0,1.0,0.98046875,1.0,1.0,1.0,1.0,0.0738217266760687,0.0211629763613666,0.33897153942348784,0.8497981697864523,1.1709011932808655,60.375,30.0,271.5,500.0,500.0,0.03924302862560576,0.04215288348495955,0.05070575233548873,0.12252223491668622,0.1994694620370865,10,18,9,,,,,,,,,,,,
E3-PCR Formal256,C0,256,0.1561356966317432,0.11160220664333925,0.3068235229962574,0.4196008185020447,4.508074356399064,0.22265625,0.0,1.0,1.0,1.0,0.4453125,0.0,1.0,1.0,1.0,0.71875,1.0,1.0,1.0,1.0,0.984375,1.0,1.0,1.0,1.0,0.04938950865947697,0.02224742820400675,0.13753421017418593,0.6861391770095505,1.2811552484989537,40.08203125,27.0,116.25,255.6499999999998,297.0,,,,,,3,6,0,0.34296426286559617,0.18274502903184903,0.9362080966229167,3.046153272884772,8.082431505511433,11.0,5.0,,,,,
E3-PCR Formal256,E3-A,256,0.15617885541764848,0.112914561667754,0.30147949452294087,0.41955573386662814,4.508085979781631,0.22265625,0.0,1.0,1.0,1.0,0.4453125,0.0,1.0,1.0,1.0,0.71875,1.0,1.0,1.0,1.0,0.984375,1.0,1.0,1.0,1.0,0.04505749632343868,0.0210886003508195,0.13433832327669665,0.4709432281881315,1.2811820758522474,40.2421875,27.0,119.0,278.9,480.0,,,,,,2,6,1,0.24395595983940943,0.15606544682105417,0.646822494682505,1.3697803464333667,3.5856220509347896,7.0,2.0,,,,,
E3-PCR Formal256,E3-G,256,0.1561766907002915,0.11290373078854271,0.30148004801734735,0.41958465143356316,4.508073828063491,0.22265625,0.0,1.0,1.0,1.0,0.4453125,0.0,1.0,1.0,1.0,0.71875,1.0,1.0,1.0,1.0,0.984375,1.0,1.0,1.0,1.0,0.04593743918984518,0.02165349973418825,0.1343385281275734,0.47089185222392177,1.2812171118010556,40.0,27.0,119.0,275.45,440.0,,,,,,2,5,1,0.26310701792559776,0.1694568552852036,0.7413804197006331,1.5308055907106524,3.585622645830758,9.0,2.0,,,,,
Corrector V2 Formal256,C0,256,0.1021406741625574,0.0786482266307113,0.25972931874464056,0.4510268107666764,0.575332319357905,0.31640625,0.0,1.0,1.0,1.0,0.5859375,1.0,1.0,1.0,1.0,0.69140625,1.0,1.0,1.0,1.0,0.98828125,1.0,1.0,1.0,1.0,0.08037439152788267,0.0143593580667308,0.4462955117093814,1.225423121732243,1.4368647031705382,53.6953125,25.0,158.0,674.6499999999996,893.0,,,,,,12,12,7,0.2842409821368349,0.13556904591056845,0.9331557366220937,1.6544061641803094,6.18952817533498,13.0,2.0,0.13419980194334086,0.0750171821673838,0.4052644896924478,0.7483273907731834,2.5428238988259237
Corrector V2 Formal256,V2_Frozen_Atomic75_Late30,256,0.10587888220866257,0.0853361677354782,0.27631885852457816,0.4425275263760461,1.0762077124291984,0.33203125,0.0,1.0,1.0,1.0,0.58984375,1.0,1.0,1.0,1.0,0.71484375,1.0,1.0,1.0,1.0,0.9765625,1.0,1.0,1.0,1.0,0.053015100170754274,0.01584327172462935,0.156822522543485,0.7976087654714574,1.1759216829553132,42.69921875,24.5,134.0,437.34999999999883,570.0,,,,,,5,8,3,0.29031214301527064,0.14711798472581616,0.9830104690438626,2.0462642050482316,5.58136088969615,12.0,3.0,0.12955892662121157,0.07623020349468385,0.4108229737566397,0.6395116387339536,1.6891405742420469
TCL Formal256,C0,256,0.11233169987359276,0.08913820376210402,0.2813510037417198,0.49279518794216537,1.33784702417829,0.3203125,0.0,1.0,1.0,1.0,0.5546875,1.0,1.0,1.0,1.0,0.75390625,1.0,1.0,1.0,1.0,0.984375,1.0,1.0,1.0,1.0,0.04930017174609165,0.020270163141677504,0.17598354079091302,0.3893391244278281,1.6850458519986171,47.08203125,28.5,142.5,395.0999999999989,656.0,,,,,,1,8,3,0.3372120836042153,0.16026632582077024,1.048537763934761,2.200286130593083,4.243140910048079,16.0,3.0,0.148647962448829,0.08682084540920526,0.4494007790892978,0.8164863889273075,1.3415851025217536
TCL Formal256,FT0,256,0.1510189186706039,0.13303461092062052,0.31849900797394504,0.47934654516960146,0.51580798377929,0.125,0.0,1.0,1.0,1.0,0.34765625,0.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.890625,1.0,1.0,1.0,1.0,0.11565836923732387,0.04107607957728,0.4896821054650723,1.2427848444629352,1.5159046001250451,81.88671875,40.0,295.0,649.9999999999995,1043.0,,,,,,13,27,9,0.6004462678848372,0.4192294070664079,1.5387535521817992,3.9453319297430207,8.433248979246752,30.0,10.0,0.3018588199164783,0.23486704731603092,0.7909911787146997,1.3775135858723901,4.619371417312242
TCL Formal256,TCL,256,0.11444269896574466,0.09644988271364101,0.27564394188803676,0.44564619622074186,0.927617328423297,0.28515625,0.0,1.0,1.0,1.0,0.51171875,1.0,1.0,1.0,1.0,0.765625,1.0,1.0,1.0,1.0,0.98828125,1.0,1.0,1.0,1.0,0.08288153394088515,0.025115571098172,0.3990021722188035,1.1379610235139725,1.367040158739976,62.75,33.5,184.25,551.6999999999992,1321.0,,,,,,10,12,8,0.38790677446395255,0.18719777768021362,1.4065242827605766,2.4133641085393083,5.597731819176095,24.0,5.0,0.18240249661470045,0.10298994780424714,0.6207478343375517,1.118312907364764,1.6035753688047094
GBSA P0,C0,8,0.07795416372860775,0.053998099201922,0.17067760718972114,0.18506675564315223,0.18866404275651003,0.25,0.0,1.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.028621574195809626,0.017108369136265,0.08548105836980262,0.10580890399118692,0.110890865396533,42.0,33.5,103.09999999999997,118.21999999999998,122.0,,,,,,0,0,0,0.34824315008960155,0.23883558242505237,0.9005157947565621,0.9018903451033634,0.9022339826900637,0.0,0.0,0.17218507868846772,0.12510562628454197,0.4259888310519055,0.45101117151947445,0.4572667566363667
GBSA P0,TCL,8,0.09939296608876838,0.09736285262684502,0.17725351122600314,0.19091800101401823,0.19433412346102202,0.375,0.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14881756117519862,0.039343517061677505,0.4978477874933772,0.593334957606313,0.6172067501345471,70.0,41.5,175.79999999999995,201.55999999999997,208.0,,,,,,1,1,0,0.3270728939304877,0.2181818404416605,0.8400879258618833,1.0156507518175528,1.0595414583064704,1.0,0.0,0.1909568491141544,0.10375159794877961,0.5128839444139682,0.6097457635330616,0.6339612183128351
GBSA P0,GBSA-TCL,8,0.06927818024811526,0.048287947306872005,0.17822282122584218,0.21723061601177002,0.226982564708252,0.75,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03429665019330338,0.007825633795641499,0.11726991691285903,0.134196073552071,0.138427612711874,21.625,23.0,35.449999999999996,39.089999999999996,40.0,,,,,,0,0,0,0.09832524594798922,0.057468574851766166,0.2862974607760037,0.34077545080869165,0.3543949483168637,0.0,0.0,0.06013737501587117,0.028614211909578392,0.17838590891645545,0.19865687982338387,0.203724622550116
GBSA P1,C0,32,0.13957895281241786,0.11627316498754456,0.3784619595589802,0.6037639953716897,0.7026949363895101,0.21875,0.0,1.0,1.0,1.0,0.4375,0.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08799352581280287,0.02624842210285815,0.47445050222805174,0.771343461086835,0.8311573763180503,58.34375,26.5,244.84999999999997,387.2000000000002,443.0,,,,,,2,3,1,0.2462073798991163,0.1824257625728195,0.671497595834863,0.9943388436306305,1.0898020799515615,1.0,0.0,0.12740102424120797,0.11072585111136435,0.27617526187222396,0.43379718872753786,0.4915016781901522
GBSA P1,FT0,32,0.14815414895341547,0.1577202962033155,0.2598409252593394,0.2979196463149936,0.3135413957675563,0.1875,0.0,1.0,1.0,1.0,0.375,0.0,1.0,1.0,1.0,0.78125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0989299766080059,0.03735260611715715,0.41385520097061085,0.48441520472478505,0.5160412652156856,86.75,43.0,278.9,584.1700000000005,706.0,,,,,,1,3,1,0.5216360759660874,0.4371245333874464,1.087042785801064,1.341151947720687,1.4286614649048048,5.0,0.0,0.2684133682500031,0.23637312686453904,0.5627836718789202,0.6880859654665044,0.7103764987718397
