study,candidate,baseline,metric,n,delta,ci95_low,ci95_high,wins,ties,losses,bootstrap_resamples,bootstrap_seed,interpretation
Adaptive Formal256,Adaptive CFG,C0,e_hull,256,-0.0034349449371532522,-0.017933952924857933,0.0109980503098859,137,1,118,20000,20260908,retrospective; fixed sample uniqueness labels; unadjusted CI
Adaptive Formal256,Adaptive CFG,C0,nus,256,3.515625,-3.125,10.15625,40,185,31,20000,20260908,retrospective; fixed sample uniqueness labels; unadjusted CI
Adaptive Formal256,Adaptive CFG,C0,stable,256,5.859375,-1.5625,13.28125,54,163,39,20000,20260908,retrospective; fixed sample uniqueness labels; unadjusted CI
Adaptive Formal256,Adaptive CFG,C0,novel,256,2.734375,-4.296875,9.765625,45,173,38,20000,20260908,retrospective; fixed sample uniqueness labels; unadjusted CI
Adaptive Formal256,Adaptive CFG,C0,unique,256,2.34375,-0.390625,5.46875,10,242,4,20000,20260908,retrospective; fixed sample uniqueness labels; unadjusted CI
Adaptive Formal256,Adaptive CFG,C0,rmsd,256,0.009247129225768454,-0.01926316182614801,0.037156732024183244,118,0,138,20000,20260908,retrospective; fixed sample uniqueness labels; unadjusted CI
Adaptive Formal256,Adaptive CFG,C0,steps,256,5.94921875,-6.2697265625,18.406445312499983,110,10,136,20000,20260908,retrospective; fixed sample uniqueness labels; unadjusted CI
Adaptive Formal256,Adaptive CFG,C0,post_relax_max_force,256,0.0026274443471265866,0.00014667127786652153,0.005330250732026797,126,0,130,20000,20260908,retrospective; fixed sample uniqueness labels; unadjusted CI
E3-PCR Formal256,E3-A,C0,e_hull,256,4.3158785905263586e-05,-0.0009560541340969207,0.0010105720434052336,130,8,118,20000,20260908,retrospective; fixed sample uniqueness labels; unadjusted CI
E3-PCR Formal256,E3-A,C0,nus,256,0.0,0.0,0.0,0,256,0,20000,20260908,retrospective; fixed sample uniqueness labels; unadjusted CI
E3-PCR Formal256,E3-A,C0,stable,256,0.0,0.0,0.0,0,256,0,20000,20260908,retrospective; fixed sample uniqueness labels; unadjusted CI
E3-PCR Formal256,E3-A,C0,novel,256,0.0,0.0,0.0,0,256,0,20000,20260908,retrospective; fixed sample uniqueness labels; unadjusted CI
E3-PCR Formal256,E3-A,C0,unique,256,0.0,0.0,0.0,0,256,0,20000,20260908,retrospective; fixed sample uniqueness labels; unadjusted CI
E3-PCR Formal256,E3-A,C0,rmsd,256,-0.004332012336038291,-0.012458781782477864,0.0019998593628445254,197,1,58,20000,20260908,retrospective; fixed sample uniqueness labels; unadjusted CI
E3-PCR Formal256,E3-A,C0,max_force,256,-0.09900830302618673,-0.16409824688573318,-0.05045028338908236,191,0,65,20000,20260908,retrospective; fixed sample uniqueness labels; unadjusted CI
E3-PCR Formal256,E3-A,C0,steps,256,0.16015625,-2.58203125,4.26953125,107,85,64,20000,20260908,retrospective; fixed sample uniqueness labels; unadjusted CI
