comparison,metric,preferred_direction,unit,n_pairs,candidate_mean,baseline_mean,mean_delta_candidate_minus_baseline,median_paired_delta,favorable_pairs,unfavorable_pairs,ties,leave_one_out_delta_min,leave_one_out_delta_max,leave_one_out_sign_robust
TCL-FT0,e_hull,lower,eV/atom,8,0.10046243108093345,0.10999776277275397,-0.009535331691820526,-0.007686236684692371,4,4,0,-0.034904765188472124,0.015174099944300983,False
TCL-FT0,stable,higher,fraction,8,0.625,0.625,0.0,0.0,3,3,2,-0.14285714285714285,0.14285714285714285,False
TCL-FT0,nus,higher,fraction,8,0.375,0.125,0.25,0.0,3,1,4,0.14285714285714285,0.42857142857142855,True
TCL-FT0,novel,higher,fraction,8,0.75,0.5,0.25,0.0,3,1,4,0.14285714285714285,0.42857142857142855,True
TCL-FT0,unique,higher,fraction,8,1.0,1.0,0.0,0.0,0,0,8,0.0,0.0,True
TCL-FT0,rmsd,lower,angstrom,8,0.03370190095899386,0.053439152503574235,-0.01973725154458037,-0.028539393389973664,5,3,0,-0.03385873894327488,-0.006525860044117989,True
TCL-FT0,atomic_force_mean,lower,eV/angstrom,8,0.10233824264013086,0.1860332218850673,-0.08369497924493643,-0.11849550606356715,6,2,0,-0.11320998160973716,-0.05990018487075527,True
TCL-FT0,structure_max_force,lower,eV/angstrom,8,0.19265105858551135,0.4350599760438701,-0.24240891745835874,-0.2743114369532631,6,2,0,-0.3218967492958348,-0.16475730610200282,True
TCL-FT0,relaxation_steps,lower,steps,8,36.0,45.125,-9.125,-15.0,5,3,0,-14.0,-6.142857142857143,True
TCL-C0,e_hull,lower,eV/atom,8,0.10046243108093345,0.10611330909451888,-0.005650878013585436,0.0053523737646457015,4,4,0,-0.020708186595883075,0.017498822140339345,False
TCL-C0,stable,higher,fraction,8,0.625,0.375,0.25,0.0,3,1,4,0.14285714285714285,0.42857142857142855,True
TCL-C0,nus,higher,fraction,8,0.375,0.375,0.0,0.0,2,2,4,-0.14285714285714285,0.14285714285714285,False
TCL-C0,novel,higher,fraction,8,0.75,1.0,-0.25,0.0,0,2,6,-0.2857142857142857,-0.14285714285714285,True
TCL-C0,unique,higher,fraction,8,1.0,1.0,0.0,0.0,0,0,8,0.0,0.0,True
TCL-C0,rmsd,lower,angstrom,8,0.03370190095899386,0.15722431997923428,-0.12352241902024041,-0.04945275779073646,5,3,0,-0.14890040946497526,-0.07487082652450207,True
TCL-C0,atomic_force_mean,lower,eV/angstrom,8,0.10233824264013086,0.23635455055888446,-0.13401630791875363,-0.08640437147334969,6,2,0,-0.16953671328978678,-0.06304138179927143,True
TCL-C0,structure_max_force,lower,eV/angstrom,8,0.19265105858551135,0.4796741624659897,-0.28702310388047836,-0.16879559437163932,6,2,0,-0.33685095333440734,-0.14461700583237133,True
TCL-C0,relaxation_steps,lower,steps,8,36.0,112.0,-76.0,-19.0,5,3,0,-89.14285714285714,-38.285714285714285,True
DML-FT0,e_hull,lower,eV/atom,8,0.16762978902872272,0.10999776277275397,0.05763202625596875,0.08276710641740426,3,5,0,0.04297512113430851,0.0785473585598812,True
DML-FT0,stable,higher,fraction,8,0.375,0.625,-0.25,0.0,0,2,6,-0.2857142857142857,-0.14285714285714285,True
DML-FT0,nus,higher,fraction,8,0.125,0.125,0.0,0.0,1,1,6,-0.14285714285714285,0.14285714285714285,False
DML-FT0,novel,higher,fraction,8,0.75,0.5,0.25,0.0,3,1,4,0.14285714285714285,0.42857142857142855,True
DML-FT0,unique,higher,fraction,8,1.0,1.0,0.0,0.0,0,0,8,0.0,0.0,True
DML-FT0,rmsd,lower,angstrom,8,0.053178521061999606,0.053439152503574235,-0.00026063144157462397,0.003935535027896201,3,5,0,-0.014987471421327019,0.013844518438792672,False
DML-FT0,atomic_force_mean,lower,eV/angstrom,8,0.22399348388570728,0.1860332218850673,0.037960262000639955,0.00987450367383513,4,4,0,0.004194781635285559,0.05556701130590078,True
DML-FT0,structure_max_force,lower,eV/angstrom,8,0.42226845668306473,0.4350599760438701,-0.012791519360805394,-0.030600258924168084,4,4,0,-0.06903900509190658,0.0339879155618903,False
DML-FT0,relaxation_steps,lower,steps,8,50.25,45.125,5.125,4.5,3,5,0,-2.7142857142857144,9.857142857142858,False
DML-C0,e_hull,lower,eV/atom,8,0.16762978902872272,0.10611330909451888,0.06151647993420384,0.050258555990164044,1,7,0,0.04289300881610674,0.07590020714299632,True
DML-C0,stable,higher,fraction,8,0.375,0.375,0.0,0.0,1,1,6,-0.14285714285714285,0.14285714285714285,False
DML-C0,nus,higher,fraction,8,0.125,0.375,-0.25,0.0,1,3,4,-0.42857142857142855,-0.14285714285714285,True
DML-C0,novel,higher,fraction,8,0.75,1.0,-0.25,0.0,0,2,6,-0.2857142857142857,-0.14285714285714285,True
DML-C0,unique,higher,fraction,8,1.0,1.0,0.0,0.0,0,0,8,0.0,0.0,True
DML-C0,rmsd,lower,angstrom,8,0.053178521061999606,0.15722431997923428,-0.10404579891723467,-0.06629795471442256,6,2,0,-0.12493445670551917,-0.0624303847507875,True
DML-C0,atomic_force_mean,lower,eV/angstrom,8,0.22399348388570728,0.23635455055888446,-0.012361066673177216,-0.010992409328074867,4,4,0,-0.052895095269566754,0.04291304463728803,False
DML-C0,structure_max_force,lower,eV/angstrom,8,0.42226845668306473,0.4796741624659897,-0.05740570578292502,-0.06373838690672383,5,3,0,-0.13140447445161516,0.06201221641717319,False
DML-C0,relaxation_steps,lower,steps,8,50.25,112.0,-61.75,-23.0,5,3,0,-72.57142857142857,-34.857142857142854,True
