method,seed,formula,e_hull_ev_per_atom,stable,rmsd_a,atomic_force_mean_ev_per_a,structure_max_force_ev_per_a,relaxation_steps,outlier_flags,dft_verified
C0,80000,MnFe2Co3,0.11635510142415395,0.0,0.05941704523480267,0.14750136738997222,0.32037058086784387,20,e_hull_gt_0.1,False
C0,80001,Eu6Ga2As4PO,0.2555371696469111,0.0,0.4919447396585788,0.13431963498372432,0.4461069391560666,270,e_hull_gt_0.1;steps_gt_100;steps_gt_200,False
C0,80002,EuTeO4,-0.017631030996093422,1.0,0.39352434427505245,0.3263602938488587,0.57725458900952,372,steps_gt_100;steps_gt_200,False
C0,80003,Eu3Ni2(PIr)2,0.12190602163411413,0.0,0.057609217090970916,0.19869179488181057,0.42029773635774165,78,e_hull_gt_0.1,False
C0,80004,Mn3SnO6,0.13448770771875473,0.0,0.027684254643101643,0.18678629333113556,0.335947635396606,40,e_hull_gt_0.1,False
C0,80005,Eu3OF3,0.1329579204813065,0.0,0.1176289181941088,0.6595511268505352,1.3608700799749514,40,e_hull_gt_0.1;max_force_gt_1,False
FT0,80001,EuMn7(AsP2)2,0.19993568729771471,0.0,0.09278261151660677,0.44099135436817266,1.0081375123888447,75,e_hull_gt_0.1;max_force_gt_1,False
FT0,80002,EuMn6C5,0.1963828222201922,0.0,0.060852719437065696,0.22641885819514074,0.873731709644842,62,e_hull_gt_0.1,False
FT0,80005,K(MnAs)3,0.22999588238699786,0.0,0.11337223480533323,0.2789688759596108,0.39383436182990256,39,e_hull_gt_0.1,False
TCL,80003,Eu4PPt4,0.18009571691189485,0.0,0.06849212982247406,0.16270685549175887,0.28225523527995966,59,e_hull_gt_0.1,False
TCL,80004,Eu5Zn2Si3,0.14741913150781194,0.0,0.08180776873600516,0.08866140506994477,0.13639894773110933,41,e_hull_gt_0.1,False
TCL,80006,Eu2Ga2Pt,0.16595545766015363,0.0,0.060121309830043414,0.1515181836382582,0.366797357618078,24,e_hull_gt_0.1,False
DML,80000,Mn2Pt,0.20634802551875708,0.0,0.006540860577744475,0.11037638766953091,0.2366642502387494,34,e_hull_gt_0.1,False
DML,80001,EuMn7FeP2C3,0.3251960824805913,0.0,0.09659104157621394,0.40569676848527386,0.9066926140539726,92,e_hull_gt_0.1,False
DML,80002,Mn6FeCoC4,0.1076075223487738,0.0,0.16367996785375782,0.33997399276759205,0.5334841458251668,122,e_hull_gt_0.1;steps_gt_100,False
DML,80004,Mn3C2,0.16534590686540263,0.0,0.06985906024385843,0.3876395712060334,0.7491326303223598,45,e_hull_gt_0.1,False
DML,80005,Mn4As2P,0.32483869824219,0.0,0.03790919342232189,0.2602712810041012,0.4675389187913389,32,e_hull_gt_0.1,False
