comparison,metric,preferred_direction,unit,n_pairs,candidate_mean,baseline_mean,mean_delta_candidate_minus_baseline,median_paired_delta,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_resamples,bootstrap_seed,favorable_pairs,ties,unfavorable_pairs,raw_one_sided_pvalue,raw_superiority_supported,holm_adjusted_pvalue,holm_superiority_supported
FT0-C0,e_hull,lower,eV/atom,256,0.15101891867060438,0.11233169987359322,0.038687218797011175,0.042890368033677184,0.01915741697454664,0.05713575878663276,20000,20260912,91,0,165,1.0,False,,False
FT0-C0,stable,higher,percentage_points,256,34.765625,55.46875,-20.703125,0.0,-28.90625,-12.5,20000,20260912,35,133,88,1.0,False,,False
FT0-C0,nus,higher,percentage_points,256,12.5,32.03125,-19.53125,0.0,-26.171875,-12.890625,20000,20260912,18,170,68,1.0,False,,False
FT0-C0,novel,higher,percentage_points,256,75.0,75.390625,-0.390625,0.0,-7.03125,5.859375,20000,20260912,36,183,37,0.5702714864256787,False,,False
FT0-C0,unique,higher,percentage_points,256,89.0625,98.4375,-9.375,0.0,-13.671875,-5.46875,20000,20260912,4,224,28,1.0,False,,False
FT0-C0,rmsd,lower,angstrom,256,0.11565836923732434,0.04930017174609214,0.06635819749123222,0.014284264014277579,0.03563894041941421,0.09914110834175048,20000,20260912,87,0,169,1.0,False,,False
FT0-C0,atomic_force_mean,lower,eV/angstrom,256,0.3018588199164783,0.148647962448829,0.1532108574676493,0.09422606683089652,0.10906353254371484,0.20540167382569602,20000,20260912,54,0,202,1.0,False,,False
FT0-C0,structure_max_force,lower,eV/angstrom,256,0.6004462678848372,0.3372120836042153,0.263234184280622,0.1526328390550013,0.15813783912280868,0.38098212309622154,20000,20260912,69,0,187,0.999750012499375,False,,False
FT0-C0,force_gt1,lower,percentage_points,256,11.71875,6.25,5.46875,0.0,1.171875,9.765625,20000,20260912,10,222,24,0.9939503024848757,False,,False
FT0-C0,force_gt2,lower,percentage_points,256,3.90625,1.171875,2.734375,0.0,0.390625,5.46875,20000,20260912,2,245,9,0.9860006999650017,False,,False
