method,seed,formula,e_hull_ev_per_atom,stable,nus,novel,unique,rmsd_angstrom,atomic_force_mean_ev_per_angstrom,structure_max_force_ev_per_angstrom,relaxation_steps,outlier_flags,dft_verified
C0,83014,Eu2MnO6,0.47795373836371446,0.0,0.0,1.0,1.0,0.17680046035585473,0.3773843439243032,1.1847912823847055,97,max_force_gt_1,False
C0,83018,Eu2CO3F2,0.2813427024902264,0.0,0.0,1.0,1.0,0.407053805800564,0.79085647507038,1.7480545718202585,337,max_force_gt_1;steps_gt_200;steps_gt_300,False
C0,83049,Eu4Ni3B4C,0.21478903941026672,0.0,0.0,1.0,1.0,0.06326487223940283,0.3730110579223565,1.0462290679184627,39,max_force_gt_1,False
C0,83057,LiGdMn6O12,0.14167216078706346,0.0,0.0,1.0,1.0,0.035088878335332425,0.43273298343881983,1.0468442318297921,76,max_force_gt_1,False
C0,83099,GdCrReO7,0.19187297347135335,0.0,0.0,1.0,1.0,0.047741800453086854,0.7490015199811738,1.6121932888501889,75,max_force_gt_1,False
C0,83129,ZnFe4O4F9,0.4157875565802245,0.0,0.0,1.0,1.0,0.4573137931824847,0.76235742832903,1.660629432163782,656,max_force_gt_1;steps_gt_200;steps_gt_300;steps_gt_400,False
C0,83140,EuNiC2,0.10413204159423906,0.0,0.0,1.0,1.0,0.1118181984960821,0.775380004540818,2.6978021950487676,111,max_force_gt_1;max_force_gt_2,False
C0,83156,Eu2LuO2,0.2579868313886706,0.0,0.0,1.0,1.0,1.6850458519986173,0.847811839196887,1.7932275324020877,217,rmsd_gt_0.5;max_force_gt_1;steps_gt_200,False
C0,83163,Mn2GaFe2O9,0.5354173076171866,0.0,0.0,1.0,1.0,0.16964165055195907,0.9074801378274812,4.046093190664072,213,max_force_gt_1;max_force_gt_2;steps_gt_200,False
C0,83166,Gd3(OF3)2,0.12436731262251577,0.0,0.0,1.0,1.0,0.09134073045618885,0.5985306450611216,1.7214703852471271,94,max_force_gt_1,False
C0,83171,Li2MnNi3(OF)3,0.3091139113962127,0.0,0.0,1.0,1.0,0.2623968245626079,0.45848530899163215,1.0296192253010188,142,max_force_gt_1,False
C0,83198,BaEu4Fe4O11,0.08395684398439762,1.0,1.0,1.0,1.0,0.24908446520550206,0.25989906875834334,0.711450386655536,547,steps_gt_200;steps_gt_300;steps_gt_400,False
C0,83214,Fe3O8F3,0.2899527533031101,0.0,0.0,1.0,1.0,0.26474836874891944,1.3415851025217536,4.243140910048079,449,max_force_gt_1;max_force_gt_2;steps_gt_200;steps_gt_300;steps_gt_400,False
C0,83224,Mg3Fe4O9,0.24712707507568332,0.0,0.0,1.0,1.0,0.2217694036335515,0.4075862213860945,1.160491339506494,134,max_force_gt_1,False
C0,83238,DyMn3TlO8,0.22232493666915776,0.0,0.0,1.0,1.0,0.3748452942137722,0.4648088387844081,1.2819693449106075,351,max_force_gt_1;steps_gt_200;steps_gt_300,False
C0,83241,Eu(CoN)2,0.0796601375234367,1.0,1.0,1.0,1.0,0.04286570995059225,0.4325467188070742,1.0536183602496678,46,max_force_gt_1,False
C0,83247,Eu3SiO6,0.05817766569725613,1.0,1.0,1.0,1.0,0.17571123426926671,0.31536592773075633,0.9988560384299119,212,steps_gt_200,False
C0,83254,Eu2Fe6HO11,0.17609314873502413,0.0,0.0,1.0,1.0,0.0787114555987829,0.437924141994504,1.1872835329791849,144,max_force_gt_1,False
