method,group,element,count,fraction
C0,all,I,2,0.0008080808080808081
C0,all,Eu,431,0.17414141414141415
C0,all,Au,12,0.0048484848484848485
C0,all,Rh,30,0.012121212121212121
C0,all,Fe,415,0.16767676767676767
C0,all,Mn,145,0.05858585858585859
C0,all,O,477,0.19272727272727272
C0,all,Ni,108,0.04363636363636364
C0,all,B,24,0.009696969696969697
C0,all,Mg,20,0.00808080808080808
C0,all,Sn,12,0.0048484848484848485
C0,all,P,16,0.006464646464646465
C0,all,Si,32,0.01292929292929293
C0,all,Cd,7,0.0028282828282828283
C0,all,Al,25,0.010101010101010102
C0,all,Ge,30,0.012121212121212121
C0,all,Co,150,0.06060606060606061
C0,all,Sr,10,0.00404040404040404
C0,all,Pd,14,0.0056565656565656566
C0,all,Li,43,0.017373737373737375
C0,all,Cr,7,0.0028282828282828283
C0,all,F,83,0.033535353535353536
C0,all,C,20,0.00808080808080808
C0,all,Pt,23,0.009292929292929294
C0,all,H,57,0.02303030303030303
C0,all,Ca,13,0.0052525252525252525
C0,all,Ti,7,0.0028282828282828283
C0,all,Cu,10,0.00404040404040404
C0,all,Y,4,0.0016161616161616162
C0,all,Cl,10,0.00404040404040404
C0,all,N,36,0.014545454545454545
C0,all,Ga,18,0.007272727272727273
C0,all,As,22,0.008888888888888889
C0,all,Gd,30,0.012121212121212121
C0,all,Hg,1,0.00040404040404040404
C0,all,Pb,7,0.0028282828282828283
C0,all,Ir,6,0.0024242424242424242
C0,all,Ba,4,0.0016161616161616162
C0,all,Nb,8,0.0032323232323232323
C0,all,Er,1,0.00040404040404040404
C0,all,Lu,3,0.0012121212121212121
C0,all,Tb,2,0.0008080808080808081
C0,all,W,7,0.0028282828282828283
C0,all,Sb,17,0.006868686868686869
C0,all,V,6,0.0024242424242424242
C0,all,Dy,2,0.0008080808080808081
C0,all,K,2,0.0008080808080808081
C0,all,In,4,0.0016161616161616162
C0,all,Nd,7,0.0028282828282828283
C0,all,Tl,3,0.0012121212121212121
C0,all,Zr,1,0.00040404040404040404
C0,all,Re,3,0.0012121212121212121
C0,all,Be,1,0.00040404040404040404
C0,all,Br,4,0.0016161616161616162
C0,all,Zn,23,0.009292929292929294
C0,all,Hf,1,0.00040404040404040404
C0,all,Ag,1,0.00040404040404040404
C0,all,Ce,1,0.00040404040404040404
C0,all,Ru,1,0.00040404040404040404
C0,all,Sm,3,0.0012121212121212121
C0,all,S,5,0.00202020202020202
C0,all,Tm,3,0.0012121212121212121
C0,all,Na,4,0.0016161616161616162
C0,all,Ho,1,0.00040404040404040404
