seed,num_atoms,c0_formula,ft0_formula,tcl_formula,tcl_exact_composition_as_c0,ft0_exact_composition_as_c0,tcl_c0_composition_fraction_l1,ft0_c0_composition_fraction_l1,tcl_c0_element_set_jaccard,ft0_c0_element_set_jaccard,tcl_severe,c0_severe
83000,4,AuEu2I,As2Mn2,Eu2IIr,False,False,0.5,2.0,0.5,0.0,False,False
83001,2,FeRh,EuLu,Eu2,False,False,2.0,2.0,0.0,0.0,False,False
83002,8,Fe2Mn2O4,C2Mn6,Eu6Pt2,False,False,2.0,1.5,0.0,0.25,False,False
83003,12,B4Fe3Ni5,C3Mn9,Mn8SnTi3,False,False,2.0,2.0,0.0,0.0,False,False
83004,12,Eu5Mg3Sn4,C4Mn8,Eu6Pt5Sn,False,False,1.0,1.9999999999999998,0.5,0.0,False,False
83005,15,Eu9P6,Mn15,Mn12Mo3,False,False,2.0,2.0,0.0,0.0,False,False
83006,10,Eu2Mn2O6,As3Mn7,H2Gd2Pt3Si3,False,False,2.0,1.6,0.0,0.25,False,False
83007,7,Eu5Si2,As3Eu2Fe2,Eu5Pt2,False,False,0.5714285714285714,1.4285714285714284,0.3333333333333333,0.25,False,False
83008,11,CdFe4O6,B4Mg2Mn5,Fe4Gd4O3,False,False,0.7272727272727273,2.0,0.5,0.0,True,False
83009,5,Al2EuGe2,Al2EuPt2,Al2Gd2Pt,False,False,1.2000000000000002,0.8,0.2,0.5,False,False
83010,8,Co2Fe6,C4MgMn3,Fe5Pt3,False,False,0.75,2.0,0.3333333333333333,0.0,False,False
83011,12,Eu8Mg4,C4Mn8,Eu5Mg3Pt4,False,False,0.6666666666666665,1.9999999999999998,0.6666666666666666,0.0,False,False
83012,5,Eu3PSr,Eu2LiOP,Eu2Li2Sr,False,False,0.8,0.8,0.5,0.4,False,False
83013,6,Eu2Pd4,Mn4P2,BaCdEu4,False,False,1.3333333333333333,2.0,0.25,0.0,False,False
83014,9,Eu2MnO6,H2Mn7,Eu5O2Sn2,False,False,1.1111111111111112,1.7777777777777777,0.5,0.25,False,True
83015,14,Cr2Fe2Li2O8,C5Mn9,C5Mn9,False,False,2.0,2.0,0.0,0.0,True,False
83016,9,BMnNi6Pd,AlMn8,Eu3NiPd2Sn3,False,False,1.5555555555555556,1.7777777777777777,0.3333333333333333,0.2,False,False
83017,12,Eu4O6Sr2,C6Mn6,Eu8Ge4,False,False,1.3333333333333333,2.0,0.25,0.0,False,False
83018,8,CEu2F2O3,C2Mn6,Eu4In2Pd2,False,False,1.5,1.75,0.16666666666666666,0.2,False,True
83019,4,Eu2Mg2,Mn2Pt2,Eu3Mg,False,False,0.5,2.0,1.0,0.0,False,False
83020,5,Fe2Mn3,CoEuFeGe2,Fe3GeN,False,False,1.2,1.5999999999999999,0.25,0.2,False,False
83021,16,Co6Fe6Si4,C3Mn10N3,Cu2Mg11Mn3,False,False,2.0,2.0,0.0,0.0,False,False
83022,3,AlEu2,EuPPd,AlEu2,True,False,0.0,1.3333333333333333,1.0,0.25,False,False
