method,category,parameter_count,tensor_count,l2_drift,relative_l2_drift,cosine_to_c0,rms_parameter_drift,mean_abs_parameter_drift,fraction_of_total_drift_sq
FT0_vs_C0,embedding_input,1693184,8,3.320444247979664,0.015530428368813663,0.9998794701988364,0.002551785202346337,0.0018776725527259916,0.046260098286093856
FT0_vs_C0,cell_head,2667008,21,2.8942445044464034,0.01690408746123304,0.9998571159127226,0.001772242136819575,0.0013061771396607725,0.03514670373866063
FT0_vs_C0,other_shared,20480,4,0.33605841643691986,0.0019209591863294149,0.9999981691784053,0.002348279573637142,0.0018109425281490539,0.00047385309231699486
FT0_vs_C0,position_head,18437130,100,7.231003138938378,0.022135819655012438,0.9997550685072335,0.0016840380157459656,0.0009143647498022085,0.21938719025777417
FT0_vs_C0,gemnet_block_1,5423107,27,6.1032486411294515,0.03278795325723787,0.9994628385143206,0.0026208186854271075,0.002067134913399492,0.1562918357068273
FT0_vs_C0,gemnet_block_2,5423107,27,6.1314348461276635,0.03349715377594064,0.9994394421090479,0.0026329222284865827,0.002085393557912003,0.15773875234538612
FT0_vs_C0,gemnet_block_3,5423107,27,6.208584517389273,0.03398445421406585,0.9994230339128003,0.002666051355596758,0.002111827744501588,0.1617332676272531
FT0_vs_C0,gemnet_block_4,5423107,27,6.131727236494192,0.028021150694241766,0.9996076521698204,0.0026330477849207203,0.0020770037589265453,0.15775379691243013
FT0_vs_C0,condition_modules,4198400,20,3.874672556974968,0.09681234447365634,0.9953052539890103,0.0018910068415916408,0.0014211783205873925,0.06299182334830934
FT0_vs_C0,atomic_head,51813,2,0.7278321901163136,0.027815846601090353,0.9996131350042285,0.003197509842133589,0.002152101021296001,0.0022226786849483225
FT0_vs_C0,ALL_TRAINABLE_PARAMETERS,48760443,263,15.438066844358662,0.02558687844758002,0.9996727909452595,0.0022108490724699927,0.0015355161848469117,1.0
TCL_vs_C0,embedding_input,1693184,8,2.5812351086554095,0.012072989023210157,0.9999271433030172,0.0019836976808303435,0.0014315816734183186,0.050045994755971886
TCL_vs_C0,cell_head,2667008,21,2.6038914537120736,0.015208255144126248,0.9998843488282915,0.0015944493103064894,0.001158170166052853,0.05092839051233813
TCL_vs_C0,other_shared,20480,4,0.3130591237386805,0.001789491856761566,0.9999983994955284,0.002187567130175649,0.0016922489661077623,0.0007361510394062986
TCL_vs_C0,position_head,18437130,100,5.249228978422954,0.016069137816927436,0.9998709059642383,0.0012224999745080246,0.0006216236057008375,0.20696896810709164
TCL_vs_C0,gemnet_block_1,5423107,27,4.838345632852956,0.02599262454806139,0.999662414259714,0.0020776519828608953,0.001610420032978123,0.175836073804284
TCL_vs_C0,gemnet_block_2,5423107,27,4.616783961365375,0.02522233803101108,0.9996821270476791,0.001982510361938557,0.0015511504275360327,0.1601007270542153
TCL_vs_C0,gemnet_block_3,5423107,27,4.339455413799191,0.02375324414303891,0.9997180565380478,0.0018634216794677558,0.0014572364621755123,0.1414440424944041
TCL_vs_C0,gemnet_block_4,5423107,27,4.452881854385207,0.020349058047259533,0.9997930348331009,0.0019121285489382262,0.001488072810377509,0.14893492252580867
TCL_vs_C0,condition_modules,4198400,20,2.8947014473756494,0.07232684299147951,0.997381125706256,0.0014127387955657751,0.0010470542290807686,0.06293927784165312
TCL_vs_C0,atomic_head,51813,2,0.5243852165935893,0.02004063428730161,0.9997991690837437,0.0023037273067840003,0.0015426939916635188,0.0020654518648268727
TCL_vs_C0,ALL_TRAINABLE_PARAMETERS,48760443,263,11.538328531589572,0.019123496005195036,0.9998171919965506,0.0016523767638200423,0.0011198122026550884,1.0
