comparison,kind,field_or_block,sampling_progress,forward_diffusion_t,stage,n,mean_abs_diff_mean,mean_abs_diff_median,mean_abs_diff_p95,rms_diff_mean,rms_diff_median,rms_diff_p95,relative_l2_diff_mean,relative_l2_diff_median,relative_l2_diff_p95,cosine_to_c0_mean,cosine_to_c0_median,cosine_to_c0_p95,one_minus_cosine_mean,one_minus_cosine_median,one_minus_cosine_p95,candidate_to_c0_norm_ratio_mean,candidate_to_c0_norm_ratio_median,candidate_to_c0_norm_ratio_p95,c0_rms_mean,c0_rms_median,c0_rms_p95,candidate_rms_mean,candidate_rms_median,candidate_rms_p95
FT0_vs_C0,cfg2_score,atomic_numbers,0.05,0.95,early_0_30_high_to_mid_noise,256,2.938003698976007,2.734399452275311,5.131023674841398,3.3336245030074014,3.209715129645395,5.363598476503617,0.28376929970083153,0.2608020089933857,0.5006675285727076,0.9667641282416541,0.9744070470156483,0.9926996776891585,0.03323587175834585,0.02559295298435177,0.07284902577586141,1.0973340533988785,1.0955934749283527,1.2480285679771261,12.019860839870198,11.353646261541124,15.260320538645658,13.107552797489328,12.994976103283161,16.284144123747268
FT0_vs_C0,cfg2_score,pos,0.05,0.95,early_0_30_high_to_mid_noise,256,0.0040130856621997234,0.0036859873561533515,0.00705726530480509,0.004965744146407679,0.00457892151829727,0.008381582333750765,0.40758383301124507,0.3446870690311066,0.794083811561927,0.9295224160644525,0.9515785057875441,0.9884505533567435,0.07047758393554746,0.04842149421245584,0.20018806661741442,1.027235056491165,0.9668604556350525,1.422309795402108,0.01556188608017615,0.01364337026526114,0.030374770189704595,0.014649844603687876,0.0120628647532736,0.027089822183971227
FT0_vs_C0,cfg2_score,cell,0.05,0.95,early_0_30_high_to_mid_noise,256,0.032744255882284454,0.029454264789819717,0.054907735178454056,0.04117132763921187,0.037376859867137784,0.07346934072579533,0.045071203527705765,0.04181238991384427,0.08488981327261466,0.9992265033107233,0.9994380697349352,0.9999032234168485,0.0007734966892767388,0.0005619302650647362,0.002370546569784332,0.9774491175106657,0.9780707009775786,1.0069377093073955,0.9633868590496947,0.9421650845861291,1.470305036692706,0.9433457201462372,0.9147297060309547,1.437519231605744
FT0_vs_C0,conditional_hidden,gemnet_h1,0.05,0.95,early_0_30_high_to_mid_noise,256,0.20224567923720532,0.20056262509414052,0.2203891793966819,0.29191442676048085,0.28835992399428717,0.33238096516266596,0.21357802180896285,0.21130643294881532,0.24152902359697104,0.9776116071593555,0.9780121411264473,0.9827348279965703,0.022388392840644512,0.0219878588735527,0.027789999968661716,1.0131601832086026,1.0109775720943235,1.0451100859471971,1.366177847601329,1.354945892305571,1.4525236383858569,1.38435961627443,1.3697772093451968,1.4986155516151731
FT0_vs_C0,conditional_hidden,gemnet_h2,0.05,0.95,early_0_30_high_to_mid_noise,256,0.213355785287003,0.2125355054835212,0.23020002360954894,0.283421395045518,0.2810368234501479,0.309729623406419,0.32487025736269026,0.323084243311223,0.3519514638197312,0.9492153412637512,0.9496554690392923,0.9570215995358778,0.05078465873624889,0.05034453096070768,0.059639802336067,1.031058407174992,1.0297800059239217,1.0458394933189021,0.8724366445969355,0.8654999827111751,0.9216214911422118,0.899594205063614,0.8922606318988513,0.9506479685314463
FT0_vs_C0,conditional_hidden,gemnet_h3,0.05,0.95,early_0_30_high_to_mid_noise,256,0.324220139748584,0.332257694569989,0.38302311776760317,0.41973655027440554,0.4224691141991928,0.5181964513782839,0.5618911824612871,0.5619848898815336,0.6726311248864956,0.8644571255681108,0.8664941353813373,0.9012492024824754,0.1355428744318892,0.13350586461866265,0.1846270516338668,1.118029180075961,1.1158595907860982,1.184135658407899,0.7456751519868967,0.746896530931388,0.7946147072640142,0.8336391505304728,0.8379349346050593,0.9085045997930962
FT0_vs_C0,conditional_hidden,gemnet_h4,0.05,0.95,early_0_30_high_to_mid_noise,256,0.5276151275516866,0.5482829277191121,0.7149423826430418,0.7428814055986557,0.7754767278392307,1.028860090023989,0.8458524246974665,0.8506518263096948,1.176078497697591,0.7325848450424357,0.7151292791037855,0.8754306303013814,0.2674151549575643,0.2848707208962144,0.42361503846059845,1.2395784260975025,1.2068923267366478,1.4758037557466697,0.904423488929087,0.8031635038294955,1.3117742693046828,1.0988108037666158,1.0947126181019873,1.4455574232269672
FT0_vs_C0,cfg2_score,atomic_numbers,0.15,0.85,early_0_30_high_to_mid_noise,256,2.7662504721886503,2.5114063047953783,5.0311054478609485,3.17775317513719,2.990535265980666,5.333074592542915,0.271150399473587,0.2370875314617354,0.5156948651282874,0.9699545509518619,0.9797212640398891,0.9926433149530547,0.030045449048138113,0.020278735960110816,0.0809193365168474,1.0940192723885933,1.0827080325805918,1.2634841110775488,12.138935298809148,11.629680713183948,16.370836975239843,13.165976909173253,12.868711018081623,16.785997124471937
FT0_vs_C0,cfg2_score,pos,0.15,0.85,early_0_30_high_to_mid_noise,256,0.0030867915065644564,0.002920585886992437,0.004973661588640728,0.0038527940950760903,0.003624669700715106,0.0060942627648142116,1.9365650724804289,1.9237115051559779,3.618085283933606,0.5767445103162485,0.5975725457342494,0.9208194934773789,0.4232554896837515,0.40242745426575055,0.8393327419683383,2.324921131727164,2.239939262502009,3.8838092909581663,0.002862739786999172,0.0017517774170718002,0.007400482069610557,0.0052095684354190545,0.004577144208492529,0.009950968257975557
FT0_vs_C0,cfg2_score,cell,0.15,0.85,early_0_30_high_to_mid_noise,256,0.028034030876369798,0.02592086225437621,0.04841113307823737,0.035634754340998116,0.03220905154707472,0.06288886296656579,0.03947203864287373,0.03644831212109251,0.07130562023424089,0.9993970462538893,0.9996321920323614,0.9998983924762597,0.0006029537461107394,0.00036780796763852264,0.002063689568570337,0.9817182001806197,0.982641206719206,1.010795282644201,0.9508027957877113,0.9408080941698493,1.4226893300844021,0.9349628363540374,0.925657367143388,1.4124439573598768
FT0_vs_C0,conditional_hidden,gemnet_h1,0.15,0.85,early_0_30_high_to_mid_noise,256,0.198078759358219,0.19691301504267178,0.21365387132562638,0.2845690682389035,0.28440798809274265,0.3219487741537178,0.22819477304750183,0.22693953810331235,0.25408006463443933,0.9746899479002202,0.9749495707595375,0.97912480003827,0.02531005209977981,0.02505042924046258,0.03100892387970905,1.0187500323212275,1.015882296170988,1.0524595791203195,1.247202765199995,1.2389467278962818,1.3133265688014553,1.270654093153072,1.260368752869834,1.3710276830231027
FT0_vs_C0,conditional_hidden,gemnet_h2,0.15,0.85,early_0_30_high_to_mid_noise,256,0.21107088567158735,0.210328822880351,0.23052280632483113,0.28064478856276265,0.27897027050295287,0.31202229644750457,0.3591297911800356,0.3585179346945977,0.39438509355936247,0.9391502873015469,0.9394854914231068,0.9490801621945297,0.06084971269845306,0.06051450857689317,0.07265611244209988,1.0452722526899125,1.04462502056604,1.0624245219801924,0.7815894145058381,0.7760710543422651,0.8305824338206758,0.8169534832748713,0.8129706829472105,0.8634587065058342
FT0_vs_C0,conditional_hidden,gemnet_h3,0.15,0.85,early_0_30_high_to_mid_noise,256,0.31084008455187384,0.3072075508341188,0.37882177547664986,0.40621794969485325,0.4060593625148092,0.5023395623018452,0.5933360659912144,0.5924977077729146,0.7054521110137317,0.8518884369001672,0.8528317237361773,0.8927368610019533,0.1481115630998327,0.14716827626382262,0.20101526227944752,1.1331374056139163,1.129204625910638,1.211270646121607,0.6835636880720701,0.6785067743744497,0.7389285888497332,0.774498006550617,0.7678641212274113,0.8489840696716537
FT0_vs_C0,conditional_hidden,gemnet_h4,0.15,0.85,early_0_30_high_to_mid_noise,256,0.5220027881310575,0.5384868307192073,0.7388010632512506,0.7416455634499448,0.7626475129202338,1.0745409505261863,0.7636646809796106,0.6889438542754232,1.1977985445105228,0.7629375501985787,0.7858968011163188,0.8950306080606134,0.23706244980142138,0.21410319888368118,0.42156053304505314,1.1719820304553776,1.1352039273924452,1.4555254055827358,1.0162489319616075,0.9958344641698755,1.5287568677821597,1.1592360678649025,1.149941111763294,1.5123548655692303
FT0_vs_C0,cfg2_score,atomic_numbers,0.25,0.75,early_0_30_high_to_mid_noise,256,2.467412975300543,2.183867487848948,4.839056102244706,2.9165927073977698,2.6295435704149197,5.148063817020263,0.23837950180561993,0.21525359822159026,0.4963797497321586,0.9779111833043651,0.984770287059969,0.9936550634741806,0.022088816695634828,0.015229712940031004,0.06387287373255726,1.086827088594145,1.0794316088822347,1.2656674632021339,12.590758961145596,12.394336389587247,16.731956081116934,13.605490508328984,13.455848655231843,17.418851069761534
FT0_vs_C0,cfg2_score,pos,0.25,0.75,early_0_30_high_to_mid_noise,256,0.0034614961251333135,0.0032464588993106093,0.00589972708247741,0.004340304903992273,0.00401260292698086,0.0071687705110548335,2.1552400685824216,1.9192247949675054,3.8951691304568055,0.2961894224087933,0.3095419393769337,0.7285466255951984,0.7038105775912067,0.6904580606230664,1.2413818214129204,2.1887767424884075,1.918461570734067,4.085596710738116,0.002486732260520015,0.001954051804613036,0.00578797909071143,0.00431149147742405,0.004034970755813319,0.006955424378384481
FT0_vs_C0,cfg2_score,cell,0.25,0.75,early_0_30_high_to_mid_noise,256,0.03214146241447856,0.029473295228348836,0.05883286976151996,0.04239333427009925,0.0384847606325472,0.08336420323963578,0.0459724356235871,0.04119214380557637,0.09211998180290584,0.9989180997094894,0.9994706152507915,0.9998844942491205,0.0010819002905105572,0.0005293847492084947,0.003266732860260496,0.9857504046821093,0.9857545227413974,1.019926268750372,0.9708242942483563,0.9474662365133029,1.5380529981280542,0.9576610501345247,0.9376553008689467,1.5074812494605692
FT0_vs_C0,conditional_hidden,gemnet_h1,0.25,0.75,early_0_30_high_to_mid_noise,256,0.19457209946924311,0.192895629008285,0.2112405059995474,0.274404854676392,0.2702438157964106,0.3120340633419835,0.23743425808446278,0.2356511415023932,0.27034022538702907,0.9729438226436814,0.9732874734682788,0.9786917557549653,0.0270561773563186,0.026712526531721237,0.034637666816490886,1.0260934906299704,1.0235405962319974,1.0655195919528175,1.1568194214422454,1.149236587053203,1.2519185613335222,1.187194296481953,1.1709022817975234,1.314073792357333
FT0_vs_C0,conditional_hidden,gemnet_h2,0.25,0.75,early_0_30_high_to_mid_noise,256,0.21080623413756217,0.2082822497986605,0.23630201224904762,0.28041586435520677,0.27554674131143003,0.3197029921417166,0.3954563834893289,0.3926982718914001,0.43566557244718845,0.9284335794855079,0.9296064491384355,0.9402238717226128,0.0715664205144921,0.07039355086156446,0.08649545645356674,1.0654493357175525,1.0655452042905575,1.0875390860959593,0.7092760182753142,0.7009785644665483,0.7627883172951433,0.7556153812814608,0.747205238029756,0.8088361326392441
FT0_vs_C0,conditional_hidden,gemnet_h3,0.25,0.75,early_0_30_high_to_mid_noise,256,0.2966378762533807,0.2928774413216291,0.3641299071646104,0.3928614275145952,0.38702865442557444,0.48828820867153694,0.614937106945068,0.6074860502931738,0.750897423722678,0.8406587514063076,0.8445315229430927,0.8849290041780653,0.15934124859369242,0.1554684770569072,0.22678374426302442,1.134918306788912,1.1281683926464763,1.225052955326307,0.6386142370442833,0.6324083651376846,0.6896929591238734,0.7245794774357539,0.7119199381742893,0.8168564294090095
FT0_vs_C0,conditional_hidden,gemnet_h4,0.25,0.75,early_0_30_high_to_mid_noise,256,0.5228072421061163,0.5136257412913182,0.7576493187153246,0.7510010247808747,0.7435878244112453,1.1121247630066622,0.666259682927344,0.6330689677713657,1.0073131364805352,0.8023198024814217,0.8210075439564356,0.9140607165729472,0.19768019751857835,0.1789924560435644,0.3515251968851234,1.1020911458650593,1.0823601707493897,1.3443325984210646,1.1624606693271546,1.1823551901771243,1.6255286912605436,1.260238292058146,1.249192768801862,1.7061761015232408
