comparison,kind,field_or_block,stage,outcome,spearman_rho,two_sided_p,n
FT0_vs_C0,cfg2_score,atomic_numbers,early_0_30_high_to_mid_noise,initial_max_force,0.16631165598535133,0.00766318866831523,256
FT0_vs_C0,cfg2_score,atomic_numbers,early_0_30_high_to_mid_noise,atomic_force_mean,0.1624642366674296,0.009213479514774659,256
FT0_vs_C0,cfg2_score,atomic_numbers,early_0_30_high_to_mid_noise,rmsd,0.1204630636301213,0.05423032530701265,256
FT0_vs_C0,cfg2_score,atomic_numbers,early_0_30_high_to_mid_noise,relaxation_steps,0.11480633403826107,0.066656895453022,256
FT0_vs_C0,cfg2_score,atomic_numbers,early_0_30_high_to_mid_noise,e_hull,0.018503948271915767,0.7682692667998596,256
FT0_vs_C0,cfg2_score,atomic_numbers,early_0_30_high_to_mid_noise,severe,0.016133207853315783,0.797267705847175,256
FT0_vs_C0,cfg2_score,atomic_numbers,late_70_100_mid_to_low_noise,initial_max_force,0.01824359121080338,0.7714389935878989,256
FT0_vs_C0,cfg2_score,atomic_numbers,late_70_100_mid_to_low_noise,atomic_force_mean,0.021058880750743875,0.7373759006357918,256
FT0_vs_C0,cfg2_score,atomic_numbers,late_70_100_mid_to_low_noise,rmsd,0.026858978027008464,0.6688566329588616,256
FT0_vs_C0,cfg2_score,atomic_numbers,late_70_100_mid_to_low_noise,relaxation_steps,0.10228669546045972,0.10249771697552458,256
FT0_vs_C0,cfg2_score,atomic_numbers,late_70_100_mid_to_low_noise,e_hull,-0.009880693522545203,0.8749916599611539,256
FT0_vs_C0,cfg2_score,atomic_numbers,late_70_100_mid_to_low_noise,severe,0.13093231497484378,0.036287935213131506,256
FT0_vs_C0,cfg2_score,atomic_numbers,mid_30_70,initial_max_force,0.012045090409704733,0.8479104170501507,256
FT0_vs_C0,cfg2_score,atomic_numbers,mid_30_70,atomic_force_mean,0.020990215152208738,0.7382009403429489,256
FT0_vs_C0,cfg2_score,atomic_numbers,mid_30_70,rmsd,0.003171492332341496,0.9597273976756551,256
FT0_vs_C0,cfg2_score,atomic_numbers,mid_30_70,relaxation_steps,0.03806609647514965,0.5443177340447543,256
FT0_vs_C0,cfg2_score,atomic_numbers,mid_30_70,e_hull,-0.02056177042801556,0.7433555822302987,256
FT0_vs_C0,cfg2_score,atomic_numbers,mid_30_70,severe,0.0494662819304145,0.4306558613783822,256
FT0_vs_C0,cfg2_score,cell,early_0_30_high_to_mid_noise,initial_max_force,0.2898718242160677,2.394480051934607e-06,256
FT0_vs_C0,cfg2_score,cell,early_0_30_high_to_mid_noise,atomic_force_mean,0.3229393167772945,1.2639471804137936e-07,256
FT0_vs_C0,cfg2_score,cell,early_0_30_high_to_mid_noise,rmsd,0.32295719844357973,1.2618136833151564e-07,256
FT0_vs_C0,cfg2_score,cell,early_0_30_high_to_mid_noise,relaxation_steps,0.3643242366984417,1.8733206721638575e-09,256
FT0_vs_C0,cfg2_score,cell,early_0_30_high_to_mid_noise,e_hull,0.12203164339665824,0.0511468188877522,256
FT0_vs_C0,cfg2_score,cell,early_0_30_high_to_mid_noise,severe,0.1938651588324062,0.0018314808426962174,256
FT0_vs_C0,cfg2_score,cell,late_70_100_mid_to_low_noise,initial_max_force,0.03544003204394598,0.5724527675774731,256
FT0_vs_C0,cfg2_score,cell,late_70_100_mid_to_low_noise,atomic_force_mean,0.045953021286335535,0.4641459927103906,256
FT0_vs_C0,cfg2_score,cell,late_70_100_mid_to_low_noise,rmsd,0.11890449759670403,0.0574453158643168,256
