method,seed,num_atoms,formula,elements,num_elements,min_distance,nearest_neighbor_p05,nearest_neighbor_median,nearest_neighbor_mean,pairs_lt_1A,pairs_lt_1p5A,pairs_lt_2A,mean_neighbors_lt_3A,relaxed_min_distance,cell_a,cell_b,cell_c,cell_alpha,cell_beta,cell_gamma,cell_length_min,cell_length_max,cell_length_aspect_ratio,cell_volume,cell_volume_per_atom,cell_determinant,cell_condition_number,relaxation_volume_change_fraction,initial_atomic_force_mean,initial_max_force,e_hull,stable,nus,novel,unique,rmsd,atomic_force_mean,relaxation_steps,severe
C0,83000,4,AuEu2I,Au;Eu;I,3,3.06428934746378,3.06428934746378,3.0762635921769044,3.18454046633401,0,0,0,0.0,3.083456719965148,4.446822980674696,4.44621666119001,8.71132755279541,75.15130873618949,75.13371966178698,59.939249057224394,4.44621666119001,8.71132755279541,1.959267443900015,142.38986712569925,35.597466781424814,142.38986712569925,2.84416241371681,-0.029021702768348655,0.10655638918018182,0.2128510256519113,0.06751023149942981,True,True,True,True,0.05996102115664132,0.10655638918018182,13,False
C0,83001,2,FeRh,Fe;Rh,2,2.641064007665994,2.641064007665994,2.641064007665994,2.641064007665994,0,0,0,1.0,2.6627741130007174,2.6907277131683074,2.692212322161795,4.551124572753906,90.04769088597808,107.18008514143497,119.96253779795384,2.6907277131683074,4.551124572753906,1.6914103015629918,26.845925480775254,13.422962740387627,26.845925480775254,2.5906225650900856,0.029520719132152696,0.0016972626217082935,0.0016972639965544547,0.07749756651733364,True,False,False,True,0.0012864467038807966,0.0016972626217082935,8,False
C0,83002,8,Fe2Mn2O4,Fe;Mn;O,3,2.120470541249741,2.120470541249741,2.158189336177733,2.15861109373328,0,0,0,3.0,2.1340776580791574,3.119784637477822,4.499377616051072,6.227367401123047,90.16842130496985,90.19031208988893,90.29266242936265,3.119784637477822,6.227367401123047,1.9960888730311648,87.4121068735762,10.926513359197026,87.4121068735762,1.9961670544751342,0.020001978861546678,0.037867475080153826,0.05914642340415437,0.0515257851554356,True,False,False,True,0.0013902488069621893,0.037867475080153826,15,False
C0,83003,12,B4Fe3Ni5,B;Fe;Ni,3,2.0365951710930563,2.0365951710930563,2.048369193711822,2.1016154491053807,0,0,0,7.666666666666667,2.030085264947236,3.1476660742672227,5.401289739195753,6.34190559387207,90.10377356334018,90.03459058109628,90.11690119250657,3.1476660742672227,6.34190559387207,2.0147961836607675,107.82121072363316,8.985100893636096,107.82121072363316,2.014811874335187,-0.0013291493209174467,0.169149127272471,0.3012369084028338,0.07302429542914624,True,True,True,True,0.023374669885295636,0.169149127272471,28,False
C0,83004,12,Eu5Mg3Sn4,Eu;Mg;Sn,3,3.0137878058248666,3.0137878058248666,3.0313698180833826,3.1745121808903836,0,0,0,0.0,3.034507504651108,5.218271654615592,5.218302486236954,15.521069526672363,89.9827562759893,89.95202042458935,119.8947093751726,5.218271654615592,15.521069526672363,2.974369782558922,366.4103296522686,30.534194137689052,366.4103296522686,4.199702828492851,-0.02261045811673459,0.1133840773444257,0.3190280861718994,0.11374275778645782,False,False,True,True,0.08447420629168732,0.1133840773444257,77,False
C0,83005,15,Eu9P6,Eu;P,2,2.815404863709651,2.815404863709651,2.895968775557092,2.911998006909349,0,0,0,1.8666666666666667,2.8073830386579335,4.5343163250548555,9.192737208487626,11.141555786132812,98.69437579513782,90.01948220498603,104.26371821711577,4.5343163250548555,11.141555786132812,2.457163326821497,444.57944697998715,29.63862979866581,444.57944697998715,2.61872812089146,-0.009376065686718399,0.07919801817698251,0.15062606427600803,-0.2232624494166675,True,True,True,True,0.029817118981041186,0.07919801817698251,51,False
C0,83006,10,Eu2Mn2O6,Eu;Mn;O,3,1.9606981012851235,1.9606981012851235,1.9644976440827104,2.0622111511212156,0,0,12,7.6,1.9701337955036997,5.426631933523257,5.429069415094977,5.4882073402404785,119.59547993583212,119.60291201163795,90.03193282977882,5.426631933523257,5.4882073402404785,1.0113468920449231,115.67357812896742,11.567357812896741,115.67357812896742,2.3747232982274435,0.016523611907066558,0.05055447084677593,0.10124636094022983,0.02689341943750101,True,False,False,True,0.0027917813815295065,0.05055447084677593,13,False
C0,83007,7,Eu5Si2,Eu;Si,2,3.0848515665536365,3.0848515665536365,3.0896531160937357,3.102494442694263,0,0,0,0.0,3.153336445858134,4.3911085050960885,6.6584358853518735,8.657228469848633,110.31118072603299,90.08003182972809,109.36418178485421,4.3911085050960885,8.657228469848633,1.9715359936566157,222.00244875940854,31.714635537058363,222.00244875940854,2.374309420472187,0.00740983744169294,0.08314499686011494,0.13981616897076032,0.0385287435816597,True,True,True,True,0.06193849737833815,0.08314499686011494,47,False
C0,83008,11,CdFe4O6,Cd;Fe;O,3,2.013016519823804,2.013016519823804,2.0663373583271514,2.0813477066430925,0,0,0,8.0,2.009937051909552,5.317737518866459,5.328684861369459,5.498441696166992,99.21640692986077,98.72054223499089,118.85146446618197,5.317737518866459,5.498441696166992,1.0339814021770395,129.89840848175896,11.80894622561445,129.89840848175896,1.8454581128867311,-0.00042506713198254376,0.08541572243159377,0.1229900567743592,0.10739423098721268,False,False,True,True,0.007447288660293607,0.08541572243159377,28,False
C0,83009,5,Al2EuGe2,Al;Eu;Ge,3,2.55681237551882,2.55681237551882,2.557367205951895,2.6628714384088625,0,0,0,1.6,2.5754864161753264,4.2402513317506045,4.239709377301314,7.163417816162109,90.0001391082592,90.06407650197346,120.12666321869328,4.239709377301314,7.163417816162109,1.6896011444826466,111.38392373473555,22.276784746947108,111.38392373473555,2.3938914607204578,0.011095489745124202,0.04606092736387172,0.06516463565126716,0.03388122003710947,True,False,False,True,0.001458894115061597,0.04606092736387172,10,False
