method,group,metric,n,mean,p01,p05,p50,p95,p99,max
C0,all,min_distance,256,2.327758346335979,1.1867657494874784,1.6369198443963944,2.3612697247009042,3.2298861067827125,3.5897484678727025,3.9245520088682424
C0,all,nearest_neighbor_p05,256,2.327758346335979,1.1867657494874784,1.6369198443963944,2.3612697247009042,3.2298861067827125,3.5897484678727025,3.9245520088682424
C0,all,nearest_neighbor_median,256,2.4176034684061065,1.5951234429049803,1.8206880558274643,2.4112535601917684,3.30584033292213,3.618107915207447,3.9260515512358496
C0,all,cell_volume_per_atom,256,18.047766299161804,8.512779581601395,9.948522111058821,14.643612961892028,35.71129424726206,42.76579835780332,44.840525840988704
C0,all,cell_condition_number,256,2.370640986047839,1.0008430293166168,1.0132150274139406,2.079278979284715,4.757671417746805,6.029240885863766,7.166389165325977
C0,all,cell_length_aspect_ratio,256,1.8560508554963144,1.0001027032917358,1.0003992511295108,1.6278264389212698,3.8829217370994478,4.876125431423973,5.847791320005337
C0,all,initial_max_force,256,0.3372120836042153,0.0035336791600630367,0.007356786867107493,0.16026632582077024,1.048537763934761,2.200286130593083,4.243140910048079
C0,all,rmsd,256,0.04930017174609214,0.0004822525546385111,0.0008585330423053048,0.02027016314167801,0.17598354079091372,0.38933912442782814,1.6850458519986173
C0,all,relaxation_steps,256,47.08203125,2.0,4.0,28.5,142.5,395.0999999999989,656.0
C0,all,e_hull,256,0.11233169987359322,-0.06998750663191174,0.0031043418811063095,0.08913820376210468,0.2813510037417202,0.49279518794216587,1.3378470241782905
C0,bad,min_distance,18,1.6261262278397803,1.046542825694723,1.1612231283145278,1.671956423923536,2.085124246195904,2.1894622011468985,2.2155466898846474
C0,bad,nearest_neighbor_p05,18,1.6261262278397803,1.046542825694723,1.1612231283145278,1.671956423923536,2.085124246195904,2.1894622011468985,2.2155466898846474
C0,bad,nearest_neighbor_median,18,1.9641562892021207,1.569269467474818,1.7429208900910729,1.938746555129982,2.2681885509167232,2.325763256642041,2.340156933073371
C0,bad,cell_volume_per_atom,18,14.445725351500881,10.144601519680945,10.72759399710584,14.713686878054439,18.552578033264254,22.670258733756157,23.699678908879143
C0,bad,cell_condition_number,18,2.8612523774900214,1.467867982103447,1.5060739015025675,2.5267482615484314,5.185252155796411,6.594596404534958,6.946932466719598
C0,bad,cell_length_aspect_ratio,18,2.2640829146155164,1.018497800516372,1.0186483918838722,2.0011075400429483,4.8528618947562405,4.90559257786977,4.918775248648153
C0,bad,initial_max_force,18,1.679098017578319,0.7603093474571798,0.9557451906637555,1.2346264389448962,4.075650348571672,4.209642797752798,4.243140910048079
C0,bad,rmsd,18,0.2730690443362538,0.03641093970992659,0.04169918520830328,0.17625584731256072,0.6414736020049029,1.4763314019998728,1.6850458519986173
C0,bad,relaxation_steps,18,218.88888888888889,40.19,44.95,143.0,563.3499999999998,637.4699999999998,656.0
C0,bad,e_hull,18,0.2339848964838744,0.06182968590770683,0.07643776674950963,0.21855698803971224,0.4865732737517352,0.5256485008440963,0.5354173076171866
C0,normal,min_distance,238,2.380822960339893,1.2966078475328753,1.7046743037532965,2.4133664504048156,3.2457407780758527,3.623340314793953,3.9245520088682424
C0,normal,nearest_neighbor_p05,238,2.380822960339893,1.2966078475328753,1.7046743037532965,2.4133664504048156,3.2457407780758527,3.623340314793953,3.9245520088682424
C0,normal,nearest_neighbor_median,238,2.4518977928837185,1.6594081491817436,1.8336214969118516,2.4446989001728348,3.3567452953019203,3.644275232720472,3.9260515512358496
C0,normal,cell_volume_per_atom,238,18.32018956411095,8.426988664596433,9.907552482861583,14.520684045435175,35.86843503005805,42.83676887661554,44.840525840988704
C0,normal,cell_condition_number,238,2.3335359228295225,1.000807840108657,1.0085577099892025,2.0238743795945204,4.604046232419028,5.915390404301127,7.166389165325977
C0,normal,cell_length_aspect_ratio,238,1.8251912879999042,1.0000973229287482,1.0003225251802514,1.6111763482104662,3.718770114198039,4.555645958609756,5.847791320005337
C0,normal,initial_max_force,238,0.23572491212718227,0.0033375653477670957,0.007290396166747155,0.145669809449456,0.7798550054692522,0.9683564918191102,0.9823613408920995
C0,normal,rmsd,238,0.032376475499777395,0.000476640899704076,0.0008242719409464684,0.01759910115750122,0.11773686835674016,0.2338279508598714,0.3128825570549388
C0,normal,relaxation_steps,238,34.088235294117645,2.0,3.8500000000000014,27.0,85.19999999999982,155.89,173.0
C0,normal,e_hull,238,0.10313103794508455,-0.07056659425839816,0.0029267291665047612,0.08601434086599413,0.2351171760221221,0.4666620362621359,1.3378470241782905
FT0,all,min_distance,256,2.169448732712593,1.5129202476283814,1.7812049054435142,1.966812961589082,2.9405526958632935,3.266599015502325,3.70375670924588
FT0,all,nearest_neighbor_p05,256,2.169448732712593,1.5129202476283814,1.7812049054435142,1.966812961589082,2.9405526958632935,3.266599015502325,3.70375670924588
FT0,all,nearest_neighbor_median,256,2.2252007986213327,1.815412693194663,1.8620087719016634,2.001138951196414,2.9779006599564735,3.2673464108240537,3.70375670924588
FT0,all,cell_volume_per_atom,256,13.382960673713724,8.577076705164444,9.179355852395789,10.905413628127166,27.690431160548137,35.230418283253954,47.097551763728305
FT0,all,cell_condition_number,256,2.1494402504504544,1.0367396573972256,1.262045460476362,2.0210256831265228,3.241311077526464,4.953944056200186,6.427749776669783
FT0,all,cell_length_aspect_ratio,256,1.6135415567583693,1.0008555005694844,1.0053193548771997,1.481235637403358,2.7620011023439925,3.726114930722158,5.315060184081044
FT0,all,initial_max_force,256,0.6004462678848372,0.015380721917773696,0.04105222601783204,0.4192294070664079,1.5387535521817992,3.9453319297430207,8.433248979246752
FT0,all,rmsd,256,0.11565836923732434,0.0003953284062624291,0.0013039000675873719,0.04107607957728053,0.48968210546507296,1.2427848444629352,1.5159046001250451
FT0,all,relaxation_steps,256,81.88671875,6.0,10.75,40.0,295.0,649.9999999999995,1043.0
FT0,all,e_hull,256,0.15101891867060438,-0.002261085458862497,0.020025002901611577,0.13303461092062108,0.31849900797394515,0.4793465451696021,0.5158079837792906
FT0,bad,min_distance,50,1.9105680994591432,1.4119383196601247,1.5092537124214458,1.8636437879679342,2.4492818474693463,2.8250908871899543,2.874291042335598
FT0,bad,nearest_neighbor_p05,50,1.9105680994591432,1.4119383196601247,1.5092537124214458,1.8636437879679342,2.4492818474693463,2.8250908871899543,2.874291042335598
FT0,bad,nearest_neighbor_median,50,2.0179182773378908,1.7688020196156484,1.8217868478209165,1.95116130569364,2.460394307390594,2.8262663930951932,2.874291042335598
FT0,bad,cell_volume_per_atom,50,11.032193553217198,8.640280627662948,8.944156628697026,10.19683658308485,18.087267268266572,21.91012239523445,24.078027200315535
FT0,bad,cell_condition_number,50,2.182823903158542,1.2134320143304684,1.3338090458224587,2.0553385946020497,3.5020894735622554,3.7674344341057715,3.8624929982369096
FT0,bad,cell_length_aspect_ratio,50,1.5446435357210313,1.0037706097583097,1.0111159662919975,1.380696588058275,3.0015673171574164,3.505715979000022,3.617372155328617
FT0,bad,initial_max_force,50,1.544914619709018,0.134425363913666,0.24341595433513313,1.0999076584606506,3.9863043212467417,7.500717328092855,8.433248979246752
FT0,bad,rmsd,50,0.4077516783862709,0.035667165961333167,0.060752684197005406,0.24296229974488143,1.2506919748346177,1.46471372495288,1.5159046001250451
FT0,bad,relaxation_steps,50,246.16,28.45,34.15,218.5,653.9999999999999,937.6499999999996,1043.0
FT0,bad,e_hull,50,0.22902720079741296,0.005719848844409263,0.08779303558516202,0.21740987534322365,0.4503829440847702,0.4935645073403845,0.4953303962606501
FT0,normal,min_distance,206,2.2322838378711967,1.7471713285976798,1.8471374849247368,2.088829826715579,3.012222832674389,3.317567951443593,3.70375670924588
FT0,normal,nearest_neighbor_p05,206,2.2322838378711967,1.7471713285976798,1.8471374849247368,2.088829826715579,3.012222832674389,3.317567951443593,3.70375670924588
FT0,normal,nearest_neighbor_median,206,2.2755120901949835,1.834305337628055,1.8818068720622765,2.244251906506488,3.046030535596686,3.3185809791395218,3.70375670924588
FT0,normal,cell_volume_per_atom,206,13.953535217523557,8.722290690787725,9.273578779494425,11.20857478458972,28.49487157909545,35.237113141456504,47.097551763728305
FT0,normal,cell_condition_number,206,2.141337422123249,1.027521493374623,1.2441791654825791,2.0119442908945753,3.079324485254694,5.287688657089629,6.427749776669783
FT0,normal,cell_length_aspect_ratio,206,1.6302643773984995,1.000528582210514,1.0049190220167559,1.5234310048817021,2.69632940146548,3.83254633743495,5.315060184081044
FT0,normal,initial_max_force,206,0.371206376665376,0.014591278754895548,0.0323964609672043,0.34660837043751963,0.8281234289673853,0.9206453648811872,0.9569949277172042
FT0,normal,rmsd,206,0.0447619349778713,0.00032683393365782147,0.00118767839219913,0.02820887662000071,0.17163835819846013,0.2704961114629919,0.30809079561902775
FT0,normal,relaxation_steps,206,42.01456310679612,6.0,10.0,36.0,112.75,156.95,179.0
FT0,normal,e_hull,206,0.1320848696106994,0.002714017768896237,0.019512731896667468,0.12108533532888899,0.2818239286032971,0.4260874566875931,0.5158079837792906
TCL,all,min_distance,256,2.5344024484295313,1.5883067013591388,1.7858555109205763,2.460090228953458,3.510309690399791,3.8581355979777174,3.887396077333257
TCL,all,nearest_neighbor_p05,256,2.5344024484295313,1.5883067013591388,1.7858555109205763,2.460090228953458,3.510309690399791,3.8581355979777174,3.887396077333257
TCL,all,nearest_neighbor_median,256,2.6149279381027695,1.7661829975038266,1.8603001647325927,2.5296662383974713,3.563233367509587,3.867637828253842,3.902999296699287
TCL,all,cell_volume_per_atom,256,20.5195038679295,8.929135112011792,9.566319561591826,19.140845294134436,39.03339947128919,43.44252155516749,46.008376980519046
