method,predictor,outcome,spearman_rho,two_sided_p,n
C0,min_distance,initial_max_force,-0.6537258239871823,1.3572957182541937e-32,256
C0,min_distance,atomic_force_mean,-0.6425812542915998,3.267532280236609e-31,256
C0,min_distance,rmsd,-0.3884770542458228,1.195344030325345e-10,256
C0,min_distance,relaxation_steps,-0.4942382010254642,3.568810829565587e-17,256
C0,min_distance,e_hull,-0.33331640535591667,4.6549445631795736e-08,256
C0,nearest_neighbor_p05,initial_max_force,-0.6537258239871823,1.3572957182541937e-32,256
C0,nearest_neighbor_p05,atomic_force_mean,-0.6425812542915998,3.267532280236609e-31,256
C0,nearest_neighbor_p05,rmsd,-0.3884770542458228,1.195344030325345e-10,256
C0,nearest_neighbor_p05,relaxation_steps,-0.4942382010254642,3.568810829565587e-17,256
C0,nearest_neighbor_p05,e_hull,-0.33331640535591667,4.6549445631795736e-08,256
C0,nearest_neighbor_median,initial_max_force,-0.5775821126115814,3.5351599049459906e-24,256
C0,nearest_neighbor_median,atomic_force_mean,-0.5713957713435567,1.3745623716830118e-23,256
C0,nearest_neighbor_median,rmsd,-0.2861037994964522,3.2732278252037774e-06,256
C0,nearest_neighbor_median,relaxation_steps,-0.40280001282308125,2.0956638147228855e-11,256
C0,nearest_neighbor_median,e_hull,-0.2746645399404897,8.227212433673823e-06,256
C0,cell_volume_per_atom,initial_max_force,-0.249743934538796,5.3323872093064705e-05,256
C0,cell_volume_per_atom,atomic_force_mean,-0.24118076218814372,9.711075127186565e-05,256
C0,cell_volume_per_atom,rmsd,-0.02540841725795376,0.6857638365765161,256
C0,cell_volume_per_atom,relaxation_steps,-0.12548733995165315,0.04486610626922394,256
C0,cell_volume_per_atom,e_hull,-0.17892681391622794,0.004078419938863786,256
C0,cell_condition_number,initial_max_force,0.28061484321354996,5.119899650669702e-06,256
C0,cell_condition_number,atomic_force_mean,0.23431992446784158,0.00015458809763285153,256
C0,cell_condition_number,rmsd,0.29109922178988323,2.16054557234603e-06,256
C0,cell_condition_number,relaxation_steps,0.2933989313642228,1.7796967905790352e-06,256
C0,cell_condition_number,e_hull,0.14214422636758983,0.022921526446329242,256
C0,cell_length_aspect_ratio,initial_max_force,0.2657587548638132,1.6394187874345824e-05,256
C0,cell_length_aspect_ratio,atomic_force_mean,0.21457355802243075,0.0005467821748043031,256
C0,cell_length_aspect_ratio,rmsd,0.31681591897459366,2.2397352845993375e-07,256
C0,cell_length_aspect_ratio,relaxation_steps,0.2957549200324656,1.456474685863938e-06,256
C0,cell_length_aspect_ratio,e_hull,0.06697971503776608,0.2856873387534753,256
C0,pairs_lt_1p5A,initial_max_force,0.33249306017269664,5.045762441840073e-08,256
C0,pairs_lt_1p5A,atomic_force_mean,0.33509743680705845,3.9068316553070875e-08,256
C0,pairs_lt_1p5A,rmsd,0.23694554169158275,0.0001295993911873669,256
C0,pairs_lt_1p5A,relaxation_steps,0.27404675311379056,8.63706481916477e-06,256
C0,pairs_lt_1p5A,e_hull,0.13145510499109433,0.035542837504523916,256
C0,mean_neighbors_lt_3A,initial_max_force,0.4395539781757503,1.614384154258876e-13,256
C0,mean_neighbors_lt_3A,atomic_force_mean,0.4339935617721295,3.5026211158365177e-13,256
C0,mean_neighbors_lt_3A,rmsd,0.17942144975155727,0.003975458483880533,256
C0,mean_neighbors_lt_3A,relaxation_steps,0.35075308212338485,7.978939341210641e-09,256
C0,mean_neighbors_lt_3A,e_hull,0.18633714827815476,0.002761939871278076,256
FT0,min_distance,initial_max_force,-0.7093606946669717,1.8300083105777452e-40,256
FT0,min_distance,atomic_force_mean,-0.7006265735866329,4.152288159894449e-39,256
FT0,min_distance,rmsd,-0.48228427557793535,2.56015852521871e-16,256
FT0,min_distance,relaxation_steps,-0.5785233315134786,2.8680200631948123e-24,256
FT0,min_distance,e_hull,-0.4171914339665827,3.3439854200986042e-12,256
FT0,nearest_neighbor_p05,initial_max_force,-0.7093606946669717,1.8300083105777452e-40,256
FT0,nearest_neighbor_p05,atomic_force_mean,-0.7006265735866329,4.152288159894449e-39,256
FT0,nearest_neighbor_p05,rmsd,-0.48228427557793535,2.56015852521871e-16,256
FT0,nearest_neighbor_p05,relaxation_steps,-0.5785233315134786,2.8680200631948123e-24,256
FT0,nearest_neighbor_p05,e_hull,-0.4171914339665827,3.3439854200986042e-12,256
FT0,nearest_neighbor_median,initial_max_force,-0.6348020141908902,2.7871375207113975e-30,256
FT0,nearest_neighbor_median,atomic_force_mean,-0.6341775864042114,3.301662075031897e-30,256
FT0,nearest_neighbor_median,rmsd,-0.3768890192263676,4.6041193339269724e-10,256
FT0,nearest_neighbor_median,relaxation_steps,-0.4858194191509376,1.441012708261053e-16,256
FT0,nearest_neighbor_median,e_hull,-0.29992775806820776,1.016774894692964e-06,256
FT0,cell_volume_per_atom,initial_max_force,-0.5684324216067749,2.607890477786798e-23,256
FT0,cell_volume_per_atom,atomic_force_mean,-0.5661221103227282,4.277485907414598e-23,256
FT0,cell_volume_per_atom,rmsd,-0.2893439574273288,2.502353931484864e-06,256
FT0,cell_volume_per_atom,relaxation_steps,-0.4945559472171427,3.3831234178722266e-17,256
FT0,cell_volume_per_atom,e_hull,-0.28699359121080337,3.041534744687758e-06,256
FT0,cell_condition_number,initial_max_force,0.14121008812085142,0.023843671278700344,256
