method,seed,num_atoms,formula,elements,num_elements,min_distance,nearest_neighbor_p05,nearest_neighbor_median,nearest_neighbor_mean,pairs_lt_1A,pairs_lt_1p5A,pairs_lt_2A,mean_neighbors_lt_3A,relaxed_min_distance,cell_a,cell_b,cell_c,cell_alpha,cell_beta,cell_gamma,cell_length_min,cell_length_max,cell_length_aspect_ratio,cell_volume,cell_volume_per_atom,cell_determinant,cell_condition_number,relaxation_volume_change_fraction,initial_atomic_force_mean,initial_max_force,e_hull,stable,nus,novel,unique,rmsd,atomic_force_mean,relaxation_steps,severe,severity_score
TCL,83203,16,B2Gd4Pd10,B;Gd;Pd,3,2.0416974870547433,2.0416974870547433,2.086676648089054,2.273363930081988,0,0,0,5.625,2.2696647904185396,5.044868035357699,5.749967283452259,10.211387634277344,90.8666373813882,89.2866028714112,89.8230186511858,5.044868035357699,10.211387634277344,2.0241139238349413,296.151724657413,18.509482791088313,296.151724657413,2.024528468236924,-0.05855867360327722,1.2134973899531407,2.3788495161666305,0.46999298927856614,False,False,True,True,0.7147017384701682,1.2134973899531407,1321,True,10.413252993106967
TCL,83043,15,C8Eu7,C;Eu,2,1.2316578319414433,1.2316578319414433,2.427834744186598,1.9606058756171365,0,5,5,4.4,1.3243649687624763,5.113717041379427,6.66767036756795,8.30866813659668,103.03634070820456,89.96570812591476,90.16961657922387,5.113717041379427,8.30866813659668,1.6247805792467964,275.9945903567869,18.399639357119124,275.9945903567869,1.6853129137696954,0.038201471327519686,1.6035753688047094,5.597731819176095,0.16165401307031324,False,False,True,True,0.08909492268903674,1.6035753688047094,90,True,7.597731819176095
TCL,83138,20,CFe4Mn15,C;Fe;Mn,3,1.7298734961386917,1.7298734961386917,2.26307968669268,2.1732324692273437,0,0,4,11.7,1.9751720312712606,6.069488199039752,6.040422889301807,6.1376261711120605,91.99625515943325,88.42246787092158,92.25016062336002,6.040422889301807,6.1376261711120605,1.016092131890701,224.63225056815125,11.231612528407563,224.63225056815125,1.0604216019816528,-0.04536076653097956,0.6110097280203113,2.455548610328139,0.1435652334077755,False,False,True,True,0.5849775032335467,0.6110097280203113,655,True,6.900503616795232
TCL,83008,11,Fe4Gd4O3,Fe;Gd;O,3,1.977586524558275,1.977586524558275,2.05269328462045,2.1487358146989073,0,0,1,4.909090909090909,2.0727978073960927,6.4092846505778605,6.056448599151311,5.73368501663208,115.37536374872118,96.92093070408527,101.49294302225519,5.73368501663208,6.4092846505778605,1.117829917755514,191.66007685302614,17.423643350275103,191.66007685302614,1.7396731541906525,0.2527239451106034,1.061852897009667,1.7491826661719365,0.9276173284232971,False,False,True,True,0.7827682928678094,1.061852897009667,588,True,6.254719251907556
TCL,83069,15,Eu4Ge5Mn6,Eu;Ge;Mn,3,2.2692299444066033,2.2692299444066033,2.675016311821374,2.6715350953027133,0,0,0,2.533333333333333,2.2737338753757,3.9839062721867484,4.196855013714504,18.093801498413086,90.0257045062125,89.99773488151149,90.00535054288282,3.9839062721867484,18.093801498413086,4.5417236908240515,302.52610374444504,20.168406916296338,302.52610374444504,4.54172392086898,0.012646083916335506,0.3255953051146508,0.7619035246810735,0.3201866800596278,False,False,True,True,1.3670401587399768,0.3255953051146508,490,True,6.184080317479953
TCL,83130,13,Mn13,Mn,1,2.270242431509962,2.270242431509962,2.2830945274520493,2.2999885409294696,0,0,0,10.76923076923077,2.2873606656335763,4.798924553676161,6.219631974134318,6.086575984954834,122.54429077753268,93.59447171588923,97.73208480828603,4.798924553676161,6.219631974134318,1.2960470423253143,149.75343053298772,11.51949465638367,149.75343053298772,1.9529652127956136,-0.04489598791669807,0.3072493310337505,0.5051549853440886,0.1650975674595898,False,False,True,True,1.1822450652572465,0.3072493310337505,494,True,5.834490130514493
TCL,83129,18,C4Fe5Mn9,C;Fe;Mn,3,1.7804574994285405,1.7804574994285405,1.8403027645745202,1.8606629200151952,0,0,20,10.11111111111111,1.8329489989861594,4.9699373366423405,6.273576814122027,7.454656600952148,120.910442811959,102.40864605288132,101.50926669925512,4.9699373366423405,7.454656600952148,1.4999498174736483,180.9500724119722,10.052781800665123,180.9500724119722,2.3198791601890365,0.009464603481100441,0.8626801944260866,1.5205036270679904,0.1914416817091258,False,False,True,True,0.9099722665943993,0.8626801944260866,441,True,5.5454481602567895
TCL,83077,14,EuFe2Mn3O8,Eu;Fe;Mn;O,4,1.8977809037190063,1.8977809037190063,2.009432574615097,2.0640434875516656,0,0,4,2.857142857142857,1.9157519868572663,3.296212601203521,3.3076841056451456,17.417598724365234,90.11850629674812,89.97160257672326,120.44234067046584,3.296212601203521,17.417598724365234,5.284124791588285,163.7208682262637,11.694347730447406,163.7208682262637,7.510234815830735,0.029719700626774766,0.6478250473701859,3.3074845378370896,0.2760158333077616,False,False,True,True,0.06971814832434065,0.6478250473701859,81,True,5.307484537837089
TCL,83109,18,EuMn8NdO7Sr,Eu;Mn;Nd;O;Sr,5,1.9705039045745079,1.9705039045745079,2.0523023676495313,2.120416708755205,0,0,1,7.222222222222222,1.9852579808508266,6.298937956816002,7.198084321457361,7.290414333343506,106.97140832505178,118.24725254983866,99.37913912800965,6.298937956816002,7.290414333343506,1.1574037374752422,260.11139408808253,14.450633004893474,260.11139408808253,2.075368324552773,0.26934231585528795,0.9068358189149435,1.5362011420595003,0.46380062357496854,False,False,True,True,0.7672374291266475,0.9068358189149435,388,True,5.010676000312795
TCL,83110,18,Fe2Mn16,Fe;Mn,2,2.303507819801125,2.303507819801125,2.3553651497184136,2.3463761110502084,0,0,0,11.777777777777779,2.211065311631593,6.284907936003358,7.286704159122014,6.144604682922363,125.85011768078306,96.45961956226829,105.23381059652694,6.144604682922363,7.286704159122014,1.1858702935558858,206.91400235414682,11.495222353008156,206.91400235414682,2.340785913093716,-0.03450191763085132,0.33749257341526345,0.7704675281211312,0.1538119565613023,False,False,True,True,0.3235790860813751,0.33749257341526345,522,True,4.609999999999999
